Topic,Count,Name,CustomName,CustomLabel
-1,170,-1_german_growth_differences_networks,"german, growth, differences, networks, cohort","german, growth, differences, networks, cohort"
0,61,0_voters_opinion_germany_climate,"voters, opinion, germany, climate, traits","voters, opinion, germany, climate, traits"
1,59,1_social media_parties_crisis_trust,"social media, parties, crisis, trust, inference","social media, parties, crisis, trust, inference"
2,55,2_cohort_web_profiles_children,"cohort, web, profiles, children, emotional","cohort, web, profiles, children, emotional"
3,46,3_errors_llms_retrieval_training,"errors, llms, retrieval, training, large language models","errors, llms, retrieval, training, large language models"
4,43,4_network_consistency_graphs_short term,"network, consistency, graphs, short term, framework","network, consistency, graphs, short term, framework"
5,40,5_digital trace_reuse_energy_domain,"digital trace, reuse, energy, domain, social sciences","digital trace, reuse, energy, domain, social sciences"
6,37,6_fake_coding_disciplines_validation,"fake, coding, disciplines, validation, social media","fake, coding, disciplines, validation, social media"
7,34,7_frameworks_willingness_sharing_machine learning,"frameworks, willingness, sharing, machine learning, social science","frameworks, willingness, sharing, machine learning, social science"
8,34,8_machine learning_index_authors_types,"machine learning, index, authors, types, baseline","machine learning, index, authors, types, baseline"
9,32,9_energy_welfare_european_migration,"energy, welfare, european, migration, labour","energy, welfare, european, migration, labour"
10,31,10_waves_bias_differences_response behavior,"waves, bias, differences, response behavior, questionnaire","waves, bias, differences, response behavior, questionnaire"
11,29,11_students_personality_success_matching,"students, personality, success, matching, higher order","students, personality, success, matching, higher order"
12,27,12_fact checking_graphs_landscape_online,"fact checking, graphs, landscape, online, prediction","fact checking, graphs, landscape, online, prediction"
13,26,13_government_trust_women_cognitive,"government, trust, women, cognitive, diversity","government, trust, women, cognitive, diversity"
14,24,14_primary_score_months_test,"primary, score, months, test, measurement invariance","primary, score, months, test, measurement invariance"
15,24,15_profile_domains_extend_heterogeneous,"profile, domains, extend, heterogeneous, hypothesis","profile, domains, extend, heterogeneous, hypothesis"
16,22,16_participation_google_engine_lower,"participation, google, engine, lower, probability based","participation, google, engine, lower, probability based"
17,21,17_behavioral_digital_web browsing_reference,"behavioral, digital, web browsing, reference, german","behavioral, digital, web browsing, reference, german"
18,20,18_content_moderation_machine learning_accuracy,"content, moderation, machine learning, accuracy, platforms","content, moderation, machine learning, accuracy, platforms"
19,19,19_reliability_search engines_engines_disparities,"reliability, search engines, engines, disparities, health","reliability, search engines, engines, disparities, health"
20,19,20_campaigning_search engines_negative_attitudes,"campaigning, search engines, negative, attitudes, regions","campaigning, search engines, negative, attitudes, regions"
21,19,21_track_inequalities_educational_emotional,"track, inequalities, educational, emotional, german","track, inequalities, educational, emotional, german"
22,18,22_variables_attitudes_german_regional,"variables, attitudes, german, regional, democracies","variables, attitudes, german, regional, democracies"
23,17,23_germany_younger_interplay_household,"germany, younger, interplay, household, attitudes","germany, younger, interplay, household, attitudes"
24,17,24_bias_gender_speech_detection,"bias, gender, speech, detection, sheds light","bias, gender, speech, detection, sheds light"
25,16,25_comparability_instruments_projects_german,"comparability, instruments, projects, german, ex ante","comparability, instruments, projects, german, ex ante"
26,15,26_psychometric_diversity_factorial_german language,"psychometric, diversity, factorial, german language, age","psychometric, diversity, factorial, german language, age"
27,15,27_gender_performance_mining_debates,"gender, performance, mining, debates, computer science","gender, performance, mining, debates, computer science"
28,15,28_gender_contextual_market_lead,"gender, contextual, market, lead, employment","gender, contextual, market, lead, employment"
29,14,29_immigration_media_voting_right wing,"immigration, media, voting, right wing, individual level","immigration, media, voting, right wing, individual level"
30,14,30_sampling_mixed mode_self administered_costs,"sampling, mixed mode, self administered, costs, germany","sampling, mixed mode, self administered, costs, germany"
31,13,31_transparency_citation_natural language processing_named entity recognition,"transparency, citation, natural language processing, named entity recognition, preferences","transparency, citation, natural language processing, named entity recognition, preferences"
32,13,32_workshop_retrieval_natural language processing_https,"workshop, retrieval, natural language processing, https, growing","workshop, retrieval, natural language processing, https, growing"
33,13,33_integrating_errors_questionnaire_versions,"integrating, errors, questionnaire, versions, language","integrating, errors, questionnaire, versions, language"
34,13,34_classification_open ended_loss_german language,"classification, open ended, loss, german language, sensitive","classification, open ended, loss, german language, sensitive"
35,12,35_model fit_magnitude_valid_distributions,"model fit, magnitude, valid, distributions, correlation","model fit, magnitude, valid, distributions, correlation"
36,12,36_electoral_multi level_united kingdom_italy,"electoral, multi level, united kingdom, italy, database","electoral, multi level, united kingdom, italy, database"
37,12,37_multilingual_socio cultural_retrieval_llms,"multilingual, socio cultural, retrieval, llms, comparison","multilingual, socio cultural, retrieval, llms, comparison"
38,12,38_open ended_cognitive_interviews_version,"open ended, cognitive, interviews, version, nonresponse","open ended, cognitive, interviews, version, nonresponse"
39,11,39_recruitment_panel_effectiveness_online access,"recruitment, panel, effectiveness, online access, fewer","recruitment, panel, effectiveness, online access, fewer"
40,11,40_privacy_mass_digital_inequalities,"privacy, mass, digital, inequalities, training","privacy, mass, digital, inequalities, training"
41,11,41_arguments_quality_mining_llms,"arguments, quality, mining, llms, graph","arguments, quality, mining, llms, graph"
42,10,42_federal_migrants_reliability_tracking,"federal, migrants, reliability, tracking, age","federal, migrants, reliability, tracking, age"
