Topic,Count,Name,Representation,Representative_Docs
-1,170,-1_german_growth_differences_networks,"['german', 'growth', 'differences', 'networks', 'cohort']","['this book examines the increasing body of research dedicated to the lasting differences between the former separate states of the federal german republic (frg) and the german democratic republic (gdr). thirty years after the fall of the berlin wall, it takes a broad view on german unification and transformation research. transformation and unification processes in east and west germany are still ongoing, and they may serve as a model for social change and its political, economic, and psychological consequences. using advanced statistical methods of analysis, this edited volume provides insights into the valuable contextualization of individual and social phenomena that current research on german unification and transformation is producing. following the open science mindset using code and data, the authors investigate temporal trends in (1) mental health, (2) political attitudes, and (3) work and family life. it explores changes in mental health and political attitudes, as well as continued differences in work and family arrangements, that may stem from heterogeneous experiences within the systems and during the transformation process. this book will appeal to scholars and students from the disciplines of sociology, political science, public health, social psychology, psychology, and communication science interested in postsocialist transition processes and temporal changes in individuals and societies.', 'this book examines the increasing body of research dedicated to the lasting differences between the former separate states of the federal german republic (frg) and the german democratic republic (gdr). thirty years after the fall of the berlin wall, it takes a broad view on german unification and transformation research. transformation and unification processes in east and west germany are still ongoing, and they may serve as a model for social change and its political, economic, and psychological consequences. using advanced statistical methods of analysis, this edited volume provides insights into the valuable contextualization of individual and social phenomena that current research on german unification and transformation is producing. following the open science mindset using code and data, the authors investigate temporal trends in (1) mental health, (2) political attitudes, and (3) work and family life. it explores changes in mental health and political attitudes, as well as continued differences in work and family arrangements, that may stem from heterogeneous experiences within the systems and during the transformation process. this book will appeal to scholars and students from the disciplines of sociology, political science, public health, social psychology, psychology, and communication science interested in postsocialist transition processes and temporal changes in individuals and societies.', 'this book examines the increasing body of research dedicated to the lasting differences between the former separate states of the federal german republic (frg) and the german democratic republic (gdr). thirty years after the fall of the berlin wall, it takes a broad view on german unification and transformation research. transformation and unification processes in east and west germany are still ongoing, and they may serve as a model for social change and its political, economic, and psychological consequences. using advanced statistical methods of analysis, this edited volume provides insights into the valuable contextualization of individual and social phenomena that current research on german unification and transformation is producing. following the open science mindset using code and data, the authors investigate temporal trends in (1) mental health, (2) political attitudes, and (3) work and family life. it explores changes in mental health and political attitudes, as well as continued differences in work and family arrangements, that may stem from heterogeneous experiences within the systems and during the transformation process. this book will appeal to scholars and students from the disciplines of sociology, political science, public health, social psychology, psychology, and communication science interested in postsocialist transition processes and temporal changes in individuals and societies.']"
0,61,0_voters_opinion_germany_climate,"['voters', 'opinion', 'germany', 'climate', 'traits']","['this study reveals the existence of a paradox in how the public views polling within the democratic process. specifically, even though the public believes that it can influence policymaking, it considers public opinion polls not as useful as other, less representative forms of public input, such as comments at town hall meetings. analyzing data from multiple surveys conducted in the united states of america, we find no evidence for the democratic representation hypothesis with respect to polling. comparisons across stakeholders (public, journalists, and politicians) demonstrate that general perceptions of inputs into the democratic process are similar, which confirms the citizen-elite congruence hypothesis. however, unlike members of the public, experts are more likely to believe that public opinion polls are the optimal method by which the public can successfully inform policymaking, a finding consistent with the legitimization hypothesis. with respect to perceptions of politicians, we found substantial differences regarding party registration with democrats and independents favoring public opinion polling and republicans preferring alternative methods (e.g., town hall meetings) of informing policymakers.', 'this study reveals the existence of a paradox in how the public views polling within the democratic process. specifically, even though the public believes that it can influence policymaking, it considers public opinion polls not as useful as other, less representative forms of public input, such as comments at town hall meetings. analyzing data from multiple surveys conducted in the united states of america, we find no evidence for the democratic representation hypothesis with respect to polling. comparisons across stakeholders (public, journalists, and politicians) demonstrate that general perceptions of inputs into the democratic process are similar, which confirms the citizen-elite congruence hypothesis. however, unlike members of the public, experts are more likely to believe that public opinion polls are the optimal method by which the public can successfully inform policymaking, a finding consistent with the legitimization hypothesis. with respect to perceptions of politicians, we found substantial differences regarding party registration with democrats and independents favoring public opinion polling and republicans preferring alternative methods (e.g., town hall meetings) of informing policymakers.', 'this study reveals the existence of a paradox in how the public views polling within the democratic process. specifically, even though the public believes that it can influence policymaking, it considers public opinion polls not as useful as other, less representative forms of public input, such as comments at town hall meetings. analyzing data from multiple surveys conducted in the united states of america, we find no evidence for the democratic representation hypothesis with respect to polling. comparisons across stakeholders (public, journalists, and politicians) demonstrate that general perceptions of inputs into the democratic process are similar, which confirms the citizen-elite congruence hypothesis. however, unlike members of the public, experts are more likely to believe that public opinion polls are the optimal method by which the public can successfully inform policymaking, a finding consistent with the legitimization hypothesis. with respect to perceptions of politicians, we found substantial differences regarding party registration with democrats and independents favoring public opinion polling and republicans preferring alternative methods (e.g., town hall meetings) of informing policymakers.']"
1,59,1_social media_parties_crisis_trust,"['social media', 'parties', 'crisis', 'trust', 'inference']","[""most scholars focus on the prevalence and democratic effects of (partisan) news exposure. this focus misses large parts of online activities of a majority of politically disinterested citizens. although political content also appears outside of news outlets and may profoundly shape public opinion, its prevalence and effects are under-studied at scale. this project combines three-wave panel survey data from three countries (total n = 7,266) with online behavioral data from the same participants (over 106m visits). we create a multi-lingual classifier to identify political content both in news and outside (e.g. in shopping or entertainment sites). we find that news consumption is infrequent: just 3.4% of participants’ online browsing comprised visits to news sites. only between 14% (nl) and 36% (us) of these visits were to news about politics. the overwhelming majority of participants' visits were to non-news sites. although only 1.6\\\\% of those visits related to politics, in absolute terms, citizens encounter politics more frequently outside of news than within news. out of every 10 visits to political content, 3.4 come from news and 6.6 from non-news sites. furthermore, exposure to political content outside news domains had the same–and in some cases stronger - associations with key democratic attitudes and behaviors as news exposure. these findings offer a comprehensive analysis of the online political (not solely news) ecosystem and demonstrate the importance of assessing the prevalence and effects of political content in non-news sources."", 'media coverage of political actors and debates is a crucial avenue for voters to learn about political parties and their policies. however, nowadays party-media agenda-setting is increasingly shaped by large-scale transformations and the fragmentation of political communication across various party channels (e.g., press releases, social media, speeches) and media types (e.g., newspapers, television, online news), potentially affecting the provision of political information. this article examines these dynamics using large-scale textual data from political parties (n = 17,677) and media outlets (n = 90,531) published in the run-up to the austrian national election in 2019. building on the measurement of text similarity with state-of-the-art transformer-based models and multiverse analysis, we investigate the success of party messages from press releases, parliamentary speeches, facebook and twitter making it into important national newspapers, online news sites as well as television and radio news programs. the article shows that the variety in party channels and media outlets—with their distinct characteristics, modalities, and (technological) affordances—create different flows of information between the parties and the media. press releases remain crucial tools for parties to get their messages into the media, while social media and parliamentary speeches also matter, albeit with varying effects by party. we also find that online news is more receptive to party messages than print, television, or radio news. despite these differences, journalistic gate-keeping consistently favors large and government parties across all media types. these findings underscore the need for nuanced research into the interaction between party communication channels and media outlets in contemporary democracies.', 'media coverage of political actors and debates is a crucial avenue for voters to learn about political parties and their policies. however, nowadays party-media agenda-setting is increasingly shaped by large-scale transformations and the fragmentation of political communication across various party channels (e.g., press releases, social media, speeches) and media types (e.g., newspapers, television, online news), potentially affecting the provision of political information. this article examines these dynamics using large-scale textual data from political parties (n = 17,677) and media outlets (n = 90,531) published in the run-up to the austrian national election in 2019. building on the measurement of text similarity with state-of-the-art transformer-based models and multiverse analysis, we investigate the success of party messages from press releases, parliamentary speeches, facebook and twitter making it into important national newspapers, online news sites as well as television and radio news programs. the article shows that the variety in party channels and media outlets—with their distinct characteristics, modalities, and (technological) affordances—create different flows of information between the parties and the media. press releases remain crucial tools for parties to get their messages into the media, while social media and parliamentary speeches also matter, albeit with varying effects by party. we also find that online news is more receptive to party messages than print, television, or radio news. despite these differences, journalistic gate-keeping consistently favors large and government parties across all media types. these findings underscore the need for nuanced research into the interaction between party communication channels and media outlets in contemporary democracies.']"
2,55,2_cohort_web_profiles_children,"['cohort', 'web', 'profiles', 'children', 'emotional']","['in the social and behavioral sciences, surveys are frequently used to collect data. during the covid-19 pandemic, surveys provided political actors and public health professionals with timely insights on the attitudes and behaviors of the general population. these insights were key in guiding actions to fight the pandemic. however, the data quality of these surveys remains unclear because systematic knowledge about how the survey data were collected during the covid-19 pandemic is lacking. this is unfortunate, since decades of survey research have shown that survey design impacts data. our survey data collection and the covid-19 pandemic (sdccp) project deals with this research gap. we collected rich metadata on survey design for 717 social and behavioral science surveys carried out in germany during the first two years of the covid-19 pandemic. in this data descriptor, we present a unique resource for a systematic assessment of the survey data collection practices and quality of surveys conducted in germany during the covid-19 pandemic.', 'in the social and behavioral sciences, surveys are frequently used to collect data. during the covid-19 pandemic, surveys provided political actors and public health professionals with timely insights on the attitudes and behaviors of the general population. these insights were key in guiding actions to fight the pandemic. however, the data quality of these surveys remains unclear because systematic knowledge about how the survey data were collected during the covid-19 pandemic is lacking. this is unfortunate, since decades of survey research have shown that survey design impacts data. our survey data collection and the covid-19 pandemic (sdccp) project deals with this research gap. we collected rich metadata on survey design for 717 social and behavioral science surveys carried out in germany during the first two years of the covid-19 pandemic. in this data descriptor, we present a unique resource for a systematic assessment of the survey data collection practices and quality of surveys conducted in germany during the covid-19 pandemic.', 'in the social and behavioral sciences, surveys are frequently used to collect data. during the covid-19 pandemic, surveys provided political actors and public health professionals with timely insights on the attitudes and behaviors of the general population. these insights were key in guiding actions to fight the pandemic. however, the data quality of these surveys remains unclear because systematic knowledge about how the survey data were collected during the covid-19 pandemic is lacking. this is unfortunate, since decades of survey research have shown that survey design impacts data. our survey data collection and the covid-19 pandemic (sdccp) project deals with this research gap. we collected rich metadata on survey design for 717 social and behavioral science surveys carried out in germany during the first two years of the covid-19 pandemic. in this data descriptor, we present a unique resource for a systematic assessment of the survey data collection practices and quality of surveys conducted in germany during the covid-19 pandemic.']"
3,46,3_errors_llms_retrieval_training,"['errors', 'llms', 'retrieval', 'training', 'large language models']","['language models can serve as a valuable tool for software developers to increase productivity. large generative models can be used for code generation and code completion, while smaller encoder-only models are capable of performing code search tasks using natural language queries. these capabilities are heavily influenced by the quality and diversity of the available training data. source code datasets used for training usually focus on the most popular languages and testing is mostly conducted on the same distributions, often overlooking low-resource programming languages. motivated by the nlp generalization taxonomy proposed by hupkes et. al., we propose a new benchmark dataset called gencodesearchnet (gecs) which builds upon existing natural language code search datasets to systemically evaluate the programming language understanding generalization capabilities of language models. as part of the full dataset, we introduce a new, manually curated subset statcodesearch that focuses on r, a popular but so far underrepresented programming language that is often used by researchers outside the field of computer science. for evaluation and comparison, we collect several baseline results using fine-tuned bert-style models and gpt-style large language models in a zero-shot setting.', 'language models can serve as a valuable tool for software developers to increase productivity. large generative models can be used for code generation and code completion, while smaller encoder-only models are capable of performing code search tasks using natural language queries. these capabilities are heavily influenced by the quality and diversity of the available training data. source code datasets used for training usually focus on the most popular languages and testing is mostly conducted on the same distributions, often overlooking low-resource programming languages. motivated by the nlp generalization taxonomy proposed by hupkes et. al., we propose a new benchmark dataset called gencodesearchnet (gecs) which builds upon existing natural language code search datasets to systemically evaluate the programming language understanding generalization capabilities of language models. as part of the full dataset, we introduce a new, manually curated subset statcodesearch that focuses on r, a popular but so far underrepresented programming language that is often used by researchers outside the field of computer science. for evaluation and comparison, we collect several baseline results using fine-tuned bert-style models and gpt-style large language models in a zero-shot setting.', 'language models can serve as a valuable tool for software developers to increase productivity. large generative models can be used for code generation and code completion, while smaller encoder-only models are capable of performing code search tasks using natural language queries. these capabilities are heavily influenced by the quality and diversity of the available training data. source code datasets used for training usually focus on the most popular languages and testing is mostly conducted on the same distributions, often overlooking low-resource programming languages. motivated by the nlp generalization taxonomy proposed by hupkes et. al., we propose a new benchmark dataset called gencodesearchnet (gecs) which builds upon existing natural language code search datasets to systemically evaluate the programming language understanding generalization capabilities of language models. as part of the full dataset, we introduce a new, manually curated subset statcodesearch that focuses on r, a popular but so far underrepresented programming language that is often used by researchers outside the field of computer science. for evaluation and comparison, we collect several baseline results using fine-tuned bert-style models and gpt-style large language models in a zero-shot setting.']"
4,43,4_network_consistency_graphs_short term,"['network', 'consistency', 'graphs', 'short term', 'framework']","[""session-based recommendation is a challenging task, which aims at making recommendation for anonymous users based on in-session data, i.e. short-term interaction data. most session-based recommendation methods only model user's preferences with the current session sequence, which ignore rich information from a global perspective. meanwhile, previous works usually apply gnn to capture the transformation relationship between items, however the graph used in gnn is built through a static mode, which may introduce noise to the graph structure if user's preferences shift. in this paper, we propose a novel method called dynamic global structure enhanced multi-channel graph neural network (dgs-mgnn) to learn accurate representations of items from multiple perspectives. in dgs-mgnn, we propose a novel gnn model named multi-channel graph neural network to generate the local, global and consensus graphs dynamically and learn more informative representations of items based on the corresponding graph. meanwhile, in order to reduce the noise information within sessions, we utilize the graph structure to assist the attention mechanism to filter noisy information within each session, so as to generate an accurate intention representation for the user. finally, combined with a repeat and explore module, a more accurate prediction probability distribution is generated. we conduct extensive experiments on three widely used datasets, and the results demonstrate that dgs-mgnn is consistently superior to the state-of-the-art baseline models."", ""session-based recommendation is a challenging task, which aims at making recommendation for anonymous users based on in-session data, i.e. short-term interaction data. most session-based recommendation methods only model user's preferences with the current session sequence, which ignore rich information from a global perspective. meanwhile, previous works usually apply gnn to capture the transformation relationship between items, however the graph used in gnn is built through a static mode, which may introduce noise to the graph structure if user's preferences shift. in this paper, we propose a novel method called dynamic global structure enhanced multi-channel graph neural network (dgs-mgnn) to learn accurate representations of items from multiple perspectives. in dgs-mgnn, we propose a novel gnn model named multi-channel graph neural network to generate the local, global and consensus graphs dynamically and learn more informative representations of items based on the corresponding graph. meanwhile, in order to reduce the noise information within sessions, we utilize the graph structure to assist the attention mechanism to filter noisy information within each session, so as to generate an accurate intention representation for the user. finally, combined with a repeat and explore module, a more accurate prediction probability distribution is generated. we conduct extensive experiments on three widely used datasets, and the results demonstrate that dgs-mgnn is consistently superior to the state-of-the-art baseline models."", ""session-based recommendation is a challenging task, which aims at making recommendation for anonymous users based on in-session data, i.e. short-term interaction data. most session-based recommendation methods only model user's preferences with the current session sequence, which ignore rich information from a global perspective. meanwhile, previous works usually apply gnn to capture the transformation relationship between items, however the graph used in gnn is built through a static mode, which may introduce noise to the graph structure if user's preferences shift. in this paper, we propose a novel method called dynamic global structure enhanced multi-channel graph neural network (dgs-mgnn) to learn accurate representations of items from multiple perspectives. in dgs-mgnn, we propose a novel gnn model named multi-channel graph neural network to generate the local, global and consensus graphs dynamically and learn more informative representations of items based on the corresponding graph. meanwhile, in order to reduce the noise information within sessions, we utilize the graph structure to assist the attention mechanism to filter noisy information within each session, so as to generate an accurate intention representation for the user. finally, combined with a repeat and explore module, a more accurate prediction probability distribution is generated. we conduct extensive experiments on three widely used datasets, and the results demonstrate that dgs-mgnn is consistently superior to the state-of-the-art baseline models.""]"
5,40,5_digital trace_reuse_energy_domain,"['digital trace', 'reuse', 'energy', 'domain', 'social sciences']","['over the past decade, research has made rapid progress in the collection and analysis of digital trace data. however, when it comes to sharing data, researchers still face major barriers that often limit or prevent the reproducibility of research results and the reuse of data. against this backdrop, we identify three broader categories of user challenges, namely researchers’ capacities & incentives, legal & ethical challenges, and technical hurdles. we describe in detail the problems researchers face in each category and why these often prevent researchers from sharing data, thus limiting both the reproducibility of research outputs and data reuse in other research projects. we conclude each category with specific needs of researchers for sharing digital trace data and making it reusable for others. these are intended to provide researchers as well as research institutes and repositories with approaches to improve the situation of data sharing.', 'over the past decade, research has made rapid progress in the collection and analysis of digital trace data. however, when it comes to sharing data, researchers still face major barriers that often limit or prevent the reproducibility of research results and the reuse of data. against this backdrop, we identify three broader categories of user challenges, namely researchers’ capacities & incentives, legal & ethical challenges, and technical hurdles. we describe in detail the problems researchers face in each category and why these often prevent researchers from sharing data, thus limiting both the reproducibility of research outputs and data reuse in other research projects. we conclude each category with specific needs of researchers for sharing digital trace data and making it reusable for others. these are intended to provide researchers as well as research institutes and repositories with approaches to improve the situation of data sharing.', 'over the past decade, research has made rapid progress in the collection and analysis of digital trace data. however, when it comes to sharing data, researchers still face major barriers that often limit or prevent the reproducibility of research results and the reuse of data. against this backdrop, we identify three broader categories of user challenges, namely researchers’ capacities & incentives, legal & ethical challenges, and technical hurdles. we describe in detail the problems researchers face in each category and why these often prevent researchers from sharing data, thus limiting both the reproducibility of research outputs and data reuse in other research projects. we conclude each category with specific needs of researchers for sharing digital trace data and making it reusable for others. these are intended to provide researchers as well as research institutes and repositories with approaches to improve the situation of data sharing.']"
6,37,6_fake_coding_disciplines_validation,"['fake', 'coding', 'disciplines', 'validation', 'social media']","['in the context of the escalating use of social media in arabic-speaking countries, driven by improved internet access, affordable smartphones, and a growing digital connectivity trend, this study addresses a significant challenge: the widespread dissemination of fake news. the ease and rapidity of spreading information on social media, coupled with a lack of stringent fact-checking measures, exacerbate the issue of misinformation. our study examines how language features, especially named entity recognition (ner) features, play a role in detecting fake news. we built two models: an arabert multi-task learning (mtl) based one for classifying arabic fake news, and a token classification model that focuses on fake news ner features. the study combines embedding vectors from these models using an embedding fusion technique and applies machine learning algorithms for fake news detection in arabic. we also introduced a feature selection algorithm named rlttao based on improving the triangulation topology aggregation optimizer (ttao) performance using reinforcement learning and random opposition-based learning to enhance the performance by selecting relevant features, thereby improving the fusion process. our results show that incorporating ner features enhances the accuracy of fake news detection in 5 out of 7 datasets, with an average improvement of 1.62%.', 'in the context of the escalating use of social media in arabic-speaking countries, driven by improved internet access, affordable smartphones, and a growing digital connectivity trend, this study addresses a significant challenge: the widespread dissemination of fake news. the ease and rapidity of spreading information on social media, coupled with a lack of stringent fact-checking measures, exacerbate the issue of misinformation. our study examines how language features, especially named entity recognition (ner) features, play a role in detecting fake news. we built two models: an arabert multi-task learning (mtl) based one for classifying arabic fake news, and a token classification model that focuses on fake news ner features. the study combines embedding vectors from these models using an embedding fusion technique and applies machine learning algorithms for fake news detection in arabic. we also introduced a feature selection algorithm named rlttao based on improving the triangulation topology aggregation optimizer (ttao) performance using reinforcement learning and random opposition-based learning to enhance the performance by selecting relevant features, thereby improving the fusion process. our results show that incorporating ner features enhances the accuracy of fake news detection in 5 out of 7 datasets, with an average improvement of 1.62%.', 'in the context of the escalating use of social media in arabic-speaking countries, driven by improved internet access, affordable smartphones, and a growing digital connectivity trend, this study addresses a significant challenge: the widespread dissemination of fake news. the ease and rapidity of spreading information on social media, coupled with a lack of stringent fact-checking measures, exacerbate the issue of misinformation. our study examines how language features, especially named entity recognition (ner) features, play a role in detecting fake news. we built two models: an arabert multi-task learning (mtl) based one for classifying arabic fake news, and a token classification model that focuses on fake news ner features. the study combines embedding vectors from these models using an embedding fusion technique and applies machine learning algorithms for fake news detection in arabic. we also introduced a feature selection algorithm named rlttao based on improving the triangulation topology aggregation optimizer (ttao) performance using reinforcement learning and random opposition-based learning to enhance the performance by selecting relevant features, thereby improving the fusion process. our results show that incorporating ner features enhances the accuracy of fake news detection in 5 out of 7 datasets, with an average improvement of 1.62%.']"
7,34,7_frameworks_willingness_sharing_machine learning,"['frameworks', 'willingness', 'sharing', 'machine learning', 'social science']","['while survey data has long been the focus of quantitative social science analyses, observational and content data, although long-established, are gaining renewed attention; especially when this type of data is obtained by and for observing digital content and behavior. today, digital technologies allow social scientists to track “everyday behavior” and to extract opinions from public discussions on online platforms. these new types of digital traces of human behavior, together with computational methods for analyzing them, have opened new avenues for analyzing, understanding, and addressing social science research questions. however, even the most innovative and extensive amounts of data are hollow if they are not of high quality. but what does data quality mean for modern social science data? to investigate this rather abstract question the present study focuses on four objectives. first, we provide researchers with a decision tree to identify appropriate data quality frameworks for a given use case. second, we determine which data types and quality dimensions are already addressed in the existing frameworks. third, we identify gaps with respect to different data types and data quality dimensions within the existing frameworks which need to be filled. and fourth, we provide a detailed literature overview for the intrinsic and extrinsic perspectives on data quality. by conducting a systematic literature review based on text mining methods, we identified and reviewed 58 data quality frameworks. in our decision tree, the three categories, namely, data type, the perspective it takes, and its level of granularity, help researchers to find appropriate data quality frameworks. we, furthermore, discovered gaps in the available frameworks with respect to visual and especially linked data and point out in our review that even famous frameworks might miss important aspects. the article ends with a critical discussion of the current state of the literature and potential future research avenues.', 'while survey data has long been the focus of quantitative social science analyses, observational and content data, although long-established, are gaining renewed attention; especially when this type of data is obtained by and for observing digital content and behavior. today, digital technologies allow social scientists to track “everyday behavior” and to extract opinions from public discussions on online platforms. these new types of digital traces of human behavior, together with computational methods for analyzing them, have opened new avenues for analyzing, understanding, and addressing social science research questions. however, even the most innovative and extensive amounts of data are hollow if they are not of high quality. but what does data quality mean for modern social science data? to investigate this rather abstract question the present study focuses on four objectives. first, we provide researchers with a decision tree to identify appropriate data quality frameworks for a given use case. second, we determine which data types and quality dimensions are already addressed in the existing frameworks. third, we identify gaps with respect to different data types and data quality dimensions within the existing frameworks which need to be filled. and fourth, we provide a detailed literature overview for the intrinsic and extrinsic perspectives on data quality. by conducting a systematic literature review based on text mining methods, we identified and reviewed 58 data quality frameworks. in our decision tree, the three categories, namely, data type, the perspective it takes, and its level of granularity, help researchers to find appropriate data quality frameworks. we, furthermore, discovered gaps in the available frameworks with respect to visual and especially linked data and point out in our review that even famous frameworks might miss important aspects. the article ends with a critical discussion of the current state of the literature and potential future research avenues.', 'while survey data has long been the focus of quantitative social science analyses, observational and content data, although long-established, are gaining renewed attention; especially when this type of data is obtained by and for observing digital content and behavior. today, digital technologies allow social scientists to track “everyday behavior” and to extract opinions from public discussions on online platforms. these new types of digital traces of human behavior, together with computational methods for analyzing them, have opened new avenues for analyzing, understanding, and addressing social science research questions. however, even the most innovative and extensive amounts of data are hollow if they are not of high quality. but what does data quality mean for modern social science data? to investigate this rather abstract question the present study focuses on four objectives. first, we provide researchers with a decision tree to identify appropriate data quality frameworks for a given use case. second, we determine which data types and quality dimensions are already addressed in the existing frameworks. third, we identify gaps with respect to different data types and data quality dimensions within the existing frameworks which need to be filled. and fourth, we provide a detailed literature overview for the intrinsic and extrinsic perspectives on data quality. by conducting a systematic literature review based on text mining methods, we identified and reviewed 58 data quality frameworks. in our decision tree, the three categories, namely, data type, the perspective it takes, and its level of granularity, help researchers to find appropriate data quality frameworks. we, furthermore, discovered gaps in the available frameworks with respect to visual and especially linked data and point out in our review that even famous frameworks might miss important aspects. the article ends with a critical discussion of the current state of the literature and potential future research avenues.']"
8,34,8_machine learning_index_authors_types,"['machine learning', 'index', 'authors', 'types', 'baseline']","[""relation extraction, is a pivotal task in nlp, impacts information retrieval, natural language understanding (nlu) and knowledge generation. machine learning model has coined itself as the most influential term in this era of deep learning and llm. in scientific text how machine learning models relate with other key entities, holds always a quintessentially interesting topic. knowing the origins of machine learning model in terms of their architecture open a crucial tunnel of understanding towards its characteristics. in this paper we experiment on tracing the machine learning model architecture of the machine learning models from their mentions in scholarly texts. we attack this problem in supervised approach; first we identify multiple machine learning model oriented entities present in a sentence and then figure out if each of such entities are based on another such entity through binary ('based on' and other relation) classification task. we report our findings with four state of the art baseline models. the findings report here exemplary performance with luke model as winner. the presence of 'based on' relation has quite low evidence support, which effected the performance result of the models, which inspire for further explorations for improvement."", ""relation extraction, is a pivotal task in nlp, impacts information retrieval, natural language understanding (nlu) and knowledge generation. machine learning model has coined itself as the most influential term in this era of deep learning and llm. in scientific text how machine learning models relate with other key entities, holds always a quintessentially interesting topic. knowing the origins of machine learning model in terms of their architecture open a crucial tunnel of understanding towards its characteristics. in this paper we experiment on tracing the machine learning model architecture of the machine learning models from their mentions in scholarly texts. we attack this problem in supervised approach; first we identify multiple machine learning model oriented entities present in a sentence and then figure out if each of such entities are based on another such entity through binary ('based on' and other relation) classification task. we report our findings with four state of the art baseline models. the findings report here exemplary performance with luke model as winner. the presence of 'based on' relation has quite low evidence support, which effected the performance result of the models, which inspire for further explorations for improvement."", ""relation extraction, is a pivotal task in nlp, impacts information retrieval, natural language understanding (nlu) and knowledge generation. machine learning model has coined itself as the most influential term in this era of deep learning and llm. in scientific text how machine learning models relate with other key entities, holds always a quintessentially interesting topic. knowing the origins of machine learning model in terms of their architecture open a crucial tunnel of understanding towards its characteristics. in this paper we experiment on tracing the machine learning model architecture of the machine learning models from their mentions in scholarly texts. we attack this problem in supervised approach; first we identify multiple machine learning model oriented entities present in a sentence and then figure out if each of such entities are based on another such entity through binary ('based on' and other relation) classification task. we report our findings with four state of the art baseline models. the findings report here exemplary performance with luke model as winner. the presence of 'based on' relation has quite low evidence support, which effected the performance result of the models, which inspire for further explorations for improvement.""]"
