Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,LLM_Label,LLM_Labels
102,panel_media_german_machine learning_attitudes,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",98,machine learning_detection_graphs_similarity_named entity,101,panel_germany_attitudes_media_election,1.7423346444764714,survey methodology and data quality,survey methodology and data quality; computational social science research; political attitudes and behavior
101,panel_germany_attitudes_media_election,"[0, 1, 2, 5, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 34, 35, 39, 40, 43, 44, 45, 47, 48, 49, 50]",100,german_media_differences_election_pandemic,78,mixed mode_recruitment_probability based_online panel_mail,1.4578258886672264,digital social research methods,digital social research methods; survey data quality and measurement; political attitudes and media analysis
100,german_media_differences_election_pandemic,"[0, 1, 2, 5, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 27, 29, 30, 31, 34, 35, 39, 40, 44, 45, 48, 49, 50]",99,privacy_democratic_facebook_germany_browsing,97,differences_students_germany_personality_19 pandemic,1.2959588697690565,social and political behavior,social and political behavior; survey-based social science research; digital media and societal change
99,privacy_democratic_facebook_germany_browsing,"[0, 5, 9, 15, 16, 19, 29, 35, 39, 44, 45, 48, 49, 50]",85,identity_elections_migration_germany_public opinion,95,social media_web tracking_behavioral_political knowledge_trust,1.2136851808943616,digital behavior and political attitudes,digital behavior and political attitudes; online media and political participation; national identity and right-wing politics
98,machine learning_detection_graphs_similarity_named entity,"[3, 4, 6, 7, 10, 21, 28, 32, 33, 36, 37, 38, 41, 42, 46, 51]",69,machine learning_nonresponse_architecture_validation_waves,94,detection_graphs_similarity_language models_named entity recognition,1.1608075202017851,Computational analysis of online discourse,Computational analysis of online discourse; Knowledge extraction from social media; Machine learning for misinformation detection
97,differences_students_germany_personality_19 pandemic,"[1, 2, 8, 11, 12, 13, 17, 18, 20, 22, 23, 24, 27, 30, 31, 34, 40]",52,19 pandemic_health_trust_cohort_classes,96,differences_violence_german_inequality_students,1.1243746181025842,social and behavioral survey research,"social and behavioral survey research; inequality and social stratification; attitudes, skills, and social outcomes"
96,differences_violence_german_inequality_students,"[1, 8, 11, 12, 13, 17, 18, 22, 23, 24, 27, 30, 31, 34, 40]",93,gender_violence_inequality_vocational_germany,88,ended_questionnaire_german_parliamentary_uncertainty,1.1122665369501403,Survey-based social science research,Survey-based social science research; Cross-national measurement and comparability; Socioeconomic and demographic inequalities
95,social media_web tracking_behavioral_political knowledge_trust,"[9, 16, 19, 29, 39, 44, 45, 48, 49]",91,management_facebook_web tracking_exposure_political knowledge,77,crisis_trust_social media_misinformation_election,1.0716882561263428,digital behavioral data in society,digital behavioral data in society; web tracking and privacy; computational social science methods
94,detection_graphs_similarity_language models_named entity recognition,"[3, 4, 6, 7, 10, 21, 32, 33, 36, 38, 42, 46, 51]",92,similarity_detection_graphs_named entity recognition_language models,79,fact checking_discourse_mining_tweets_knowledge graphs,1.037431047105035,scientific knowledge extraction and analysis,scientific knowledge extraction and analysis; fact-checking and misinformation detection; language models for scholarly communication
93,gender_violence_inequality_vocational_germany,"[11, 12, 17, 18, 22, 23, 24, 30, 31]",84,violence_bias_women_speech_organizations,90,family_personality_germany_welfare_class,1.0305282493806345,social and educational inequalities,"social and educational inequalities; diversity, discrimination, and inclusion; skills, welfare, and societal gaps"
