Topic,Count,Name,CustomName,CustomLabel
-1,256,-1_german_political_conversational_energy,"german, political, conversational, energy, sampling","german, political, conversational, energy, sampling"
0,42,0_migration_party_candidates_attitudes,"migration, party, candidates, attitudes, german federal election","migration, party, candidates, attitudes, german federal election"
1,40,1_elections_distributed_dimension_party,"elections, distributed, dimension, party, europe","elections, distributed, dimension, party, europe"
2,36,2_covid 19 pandemic_trust_cohort_invariance,"covid 19 pandemic, trust, cohort, invariance, social science","covid 19 pandemic, trust, cohort, invariance, social science"
3,35,3_social media_texts_uncertainty_scientific publications,"social media, texts, uncertainty, scientific publications, access","social media, texts, uncertainty, scientific publications, access"
4,34,4_extraction_knowledge graph_language models llms_named entity recognition,"extraction, knowledge graph, language models llms, named entity recognition, performance","extraction, knowledge graph, language models llms, named entity recognition, performance"
5,33,5_populist_party_voting behavior_right wing,"populist, party, voting behavior, right wing, personality traits","populist, party, voting behavior, right wing, personality traits"
6,32,6_similarity_open science_computational social science_package,"similarity, open science, computational social science, package, training","similarity, open science, computational social science, package, training"
7,29,7_graph_networks_label_consistency,"graph, networks, label, consistency, family","graph, networks, label, consistency, family"
8,28,8_uncertainty_adaptation_artificial intelligence_german language,"uncertainty, adaptation, artificial intelligence, german language, comparability","uncertainty, adaptation, artificial intelligence, german language, comparability"
9,28,9_facebook_inclusion_social sciences_control,"facebook, inclusion, social sciences, control, measurement invariance","facebook, inclusion, social sciences, control, measurement invariance"
10,28,10_knowledge graphs_semantic web_machine learning_pipeline,"knowledge graphs, semantic web, machine learning, pipeline, argument mining","knowledge graphs, semantic web, machine learning, pipeline, argument mining"
11,28,11_parental_germany_changing_socioeconomic,"parental, germany, changing, socioeconomic, gaps","parental, germany, changing, socioeconomic, gaps"
12,28,12_personality_vocational_matching_outcomes,"personality, vocational, matching, outcomes, state","personality, vocational, matching, outcomes, state"
13,23,13_cognitive_loss_labels_pretesting,"cognitive, loss, labels, pretesting, coding","cognitive, loss, labels, pretesting, coding"
14,23,14_recruitment_online panel_probability based_mixed mode,"recruitment, online panel, probability based, mixed mode, mail","recruitment, online panel, probability based, mixed mode, mail"
15,22,15_public opinion_driven_ads_privacy,"public opinion, driven, ads, privacy, cross national","public opinion, driven, ads, privacy, cross national"
16,22,16_security_misinformation_social media_climate,"security, misinformation, social media, climate, political parties","security, misinformation, social media, climate, political parties"
17,21,17_literacy_adolescents_inequalities_emotional,"literacy, adolescents, inequalities, emotional, categories","literacy, adolescents, inequalities, emotional, categories"
18,20,18_acceptance_cohorts_younger_cross cultural,"acceptance, cohorts, younger, cross cultural, german","acceptance, cohorts, younger, cross cultural, german"
19,20,19_digital trace_sharing_disciplinary_vignette experiment,"digital trace, sharing, disciplinary, vignette experiment, linkage","digital trace, sharing, disciplinary, vignette experiment, linkage"
20,19,20_risk_children_19 pandemic_life satisfaction,"risk, children, 19 pandemic, life satisfaction, immigration","risk, children, 19 pandemic, life satisfaction, immigration"
21,19,21_fact checking_tasks_landscape_online,"fact checking, tasks, landscape, online, classification","fact checking, tasks, landscape, online, classification"
22,18,22_speech_cohorts_discrimination_computer science,"speech, cohorts, discrimination, computer science, career","speech, cohorts, discrimination, computer science, career"
23,18,23_violence_europe_higher education_inequalities,"violence, europe, higher education, inequalities, women","violence, europe, higher education, inequalities, women"
24,18,24_gaps_domain_language models_women,"gaps, domain, language models, women, training","gaps, domain, language models, women, training"
25,18,25_probability based_inclusion_mixed mode panel_waves,"probability based, inclusion, mixed mode panel, waves, levels","probability based, inclusion, mixed mode panel, waves, levels"
26,17,26_interventions_recruitment_response behavior_testing,"interventions, recruitment, response behavior, testing, online panel","interventions, recruitment, response behavior, testing, online panel"
27,16,27_questionnaire_multilingual_errors_machine,"questionnaire, multilingual, errors, machine, german","questionnaire, multilingual, errors, machine, german"
28,16,28_nonresponse_machine learning_panel_waves,"nonresponse, machine learning, panel, waves, time","nonresponse, machine learning, panel, waves, time"
29,16,29_political knowledge_web tracking_immigration_actors,"political knowledge, web tracking, immigration, actors, european union","political knowledge, web tracking, immigration, actors, european union"
30,16,30_welfare_crises_multilevel_factorial,"welfare, crises, multilevel, factorial, europe","welfare, crises, multilevel, factorial, europe"
31,15,31_labour_migration_differences_couples,"labour, migration, differences, couples, germany","labour, migration, differences, couples, germany"
