Topic,Count,Name,Representation,Representative_Docs
-1,256,-1_german_political_conversational_energy,"['german', 'political', 'conversational', 'energy', 'sampling']","['why we need to abandon fixed cutoffs for goodness-of-fit indices: an extensive simulation and possible solutions {to evaluate model fit in confirmatory factor analysis, researchers compare goodness-of-fit indices (gofs) against fixed cutoff values (e.g., cfi >.950) derived from simulation studies. methodologists have cautioned that cutoffs for gofs are only valid for settings similar to the simulation scenarios from which cutoffs originated. despite these warnings, fixed cutoffs for popular gofs (i.e., χ2, χ2/df, cfi, rmsea, srmr) continue to be widely used in applied research. we (1) argue that the practice of using fixed cutoffs needs to be abandoned and (2) review time-honored and emerging alternatives to fixed cutoffs. we first present the most in-depth simulation study to date on the sensitivity of gofs to model misspecification (i.e., misspecified factor dimensionality and unmodeled cross-loadings) and their susceptibility to further data and analysis characteristics (i.e., estimator, number of indicators, number and distribution of response options, loading magnitude, sample size, and factor correlation). we included all characteristics identified as influential in previous studies. our simulation enabled us to replicate well-known influences on gofs and establish hitherto unknown or underappreciated ones. in particular, the magnitude of the factor correlation turned out to moderate the effects of several characteristics on gofs. second, to address these problems, we discuss several strategies for assessing model fit that take the dependency of gofs on the modeling context into account. we highlight tailored (or “dynamic”) cutoffs as a way forward. we provide convenient tables with scenario-specific cutoffs as well as regression formulae to predict cutoffs tailored to the empirical setting of interest.} {confirmatory factor analysis,fit index,goodness-of-fit,ordered categorical data,structural equation modeling} {confirmatory factor analysis,fit index,goodness-of-fit,ordered categorical data,structural equation modeling}', 'why we need to abandon fixed cutoffs for goodness-of-fit indices: an extensive simulation and possible solutions {to evaluate model fit in confirmatory factor analysis, researchers compare goodness-of-fit indices (gofs) against fixed cutoff values (e.g., cfi >.950) derived from simulation studies. methodologists have cautioned that cutoffs for gofs are only valid for settings similar to the simulation scenarios from which cutoffs originated. despite these warnings, fixed cutoffs for popular gofs (i.e., χ2, χ2/df, cfi, rmsea, srmr) continue to be widely used in applied research. we (1) argue that the practice of using fixed cutoffs needs to be abandoned and (2) review time-honored and emerging alternatives to fixed cutoffs. we first present the most in-depth simulation study to date on the sensitivity of gofs to model misspecification (i.e., misspecified factor dimensionality and unmodeled cross-loadings) and their susceptibility to further data and analysis characteristics (i.e., estimator, number of indicators, number and distribution of response options, loading magnitude, sample size, and factor correlation). we included all characteristics identified as influential in previous studies. our simulation enabled us to replicate well-known influences on gofs and establish hitherto unknown or underappreciated ones. in particular, the magnitude of the factor correlation turned out to moderate the effects of several characteristics on gofs. second, to address these problems, we discuss several strategies for assessing model fit that take the dependency of gofs on the modeling context into account. we highlight tailored (or “dynamic”) cutoffs as a way forward. we provide convenient tables with scenario-specific cutoffs as well as regression formulae to predict cutoffs tailored to the empirical setting of interest.} {confirmatory factor analysis,fit index,goodness-of-fit,ordered categorical data,structural equation modeling} {confirmatory factor analysis,fit index,goodness-of-fit,ordered categorical data,structural equation modeling}', 'why we need to abandon fixed cutoffs for goodness-of-fit indices: an extensive simulation and possible solutions {to evaluate model fit in confirmatory factor analysis, researchers compare goodness-of-fit indices (gofs) against fixed cutoff values (e.g., cfi >.950) derived from simulation studies. methodologists have cautioned that cutoffs for gofs are only valid for settings similar to the simulation scenarios from which cutoffs originated. despite these warnings, fixed cutoffs for popular gofs (i.e., χ2, χ2/df, cfi, rmsea, srmr) continue to be widely used in applied research. we (1) argue that the practice of using fixed cutoffs needs to be abandoned and (2) review time-honored and emerging alternatives to fixed cutoffs. we first present the most in-depth simulation study to date on the sensitivity of gofs to model misspecification (i.e., misspecified factor dimensionality and unmodeled cross-loadings) and their susceptibility to further data and analysis characteristics (i.e., estimator, number of indicators, number and distribution of response options, loading magnitude, sample size, and factor correlation). we included all characteristics identified as influential in previous studies. our simulation enabled us to replicate well-known influences on gofs and establish hitherto unknown or underappreciated ones. in particular, the magnitude of the factor correlation turned out to moderate the effects of several characteristics on gofs. second, to address these problems, we discuss several strategies for assessing model fit that take the dependency of gofs on the modeling context into account. we highlight tailored (or “dynamic”) cutoffs as a way forward. we provide convenient tables with scenario-specific cutoffs as well as regression formulae to predict cutoffs tailored to the empirical setting of interest.} {confirmatory factor analysis,fit index,goodness-of-fit,ordered categorical data,structural equation modeling} {confirmatory factor analysis,fit index,goodness-of-fit,ordered categorical data,structural equation modeling}']"
0,42,0_migration_party_candidates_attitudes,"['migration', 'party', 'candidates', 'attitudes', 'german federal election']","['should i stay or should i go? testing the influence of ambivalence on vote switching in the german multi-party context {does political ambivalence increase vote switching? while the effects of ambivalence on vote switching have been investigated in the american political sys-tem, its application to multi-party systems has not been explored. to address this gap, this article investigates the effects of ambivalence on vote intention switching and vote switching in germany’s multi-party system, which has recently experienced electoral instability. using the german longitudinal election study (gles), the article teases out the mechanics of party ambivalence, leader ambivalence, and party-leader ambivalence. the results suggest that ambivalence increases the probability of vot-ers switching parties during the pre-election campaigning period and between two consecutive elections. ambivalence therefore has important implications for vote switching and for understanding the underlying determinants of electoral volatility in twenty-first-century politics.} {ambivalence,multi-party system,partisanship,political attitudes,vote switching,voting behavior} {ambivalence,multi-party system,partisanship,political attitudes,vote switching,voting behavior}', 'should i stay or should i go? testing the influence of ambivalence on vote switching in the german multi-party context {does political ambivalence increase vote switching? while the effects of ambivalence on vote switching have been investigated in the american political sys-tem, its application to multi-party systems has not been explored. to address this gap, this article investigates the effects of ambivalence on vote intention switching and vote switching in germany’s multi-party system, which has recently experienced electoral instability. using the german longitudinal election study (gles), the article teases out the mechanics of party ambivalence, leader ambivalence, and party-leader ambivalence. the results suggest that ambivalence increases the probability of vot-ers switching parties during the pre-election campaigning period and between two consecutive elections. ambivalence therefore has important implications for vote switching and for understanding the underlying determinants of electoral volatility in twenty-first-century politics.} {ambivalence,multi-party system,partisanship,political attitudes,vote switching,voting behavior} {ambivalence,multi-party system,partisanship,political attitudes,vote switching,voting behavior}', 'should i stay or should i go? testing the influence of ambivalence on vote switching in the german multi-party context {does political ambivalence increase vote switching? while the effects of ambivalence on vote switching have been investigated in the american political sys-tem, its application to multi-party systems has not been explored. to address this gap, this article investigates the effects of ambivalence on vote intention switching and vote switching in germany’s multi-party system, which has recently experienced electoral instability. using the german longitudinal election study (gles), the article teases out the mechanics of party ambivalence, leader ambivalence, and party-leader ambivalence. the results suggest that ambivalence increases the probability of vot-ers switching parties during the pre-election campaigning period and between two consecutive elections. ambivalence therefore has important implications for vote switching and for understanding the underlying determinants of electoral volatility in twenty-first-century politics.} {ambivalence,multi-party system,partisanship,political attitudes,vote switching,voting behavior} {ambivalence,multi-party system,partisanship,political attitudes,vote switching,voting behavior}']"
1,40,1_elections_distributed_dimension_party,"['elections', 'distributed', 'dimension', 'party', 'europe']","['river sampling – a fishing expedition: a non-probability case study {the ease with which large amounts of data can be collected via the internet has led to a renewed interest in the use of non-probability samples. to that end, this paper performs a case study, comparing two non-probability datasets – one based on a river-sampling approach, one drawn from an online-access panel – to a reference probability sample. of particular interest is the single-question river-sampling approach, as the data collected for this study presents an attempt to field a multi-item scale with such a sampling method. each dataset consists of the same psychometric measures for two of the big-5 personality traits, which are expected to perform independently of sample composition. to assess the similarity of the three datasets we compare their correlation matrices, apply linear and non-linear dimension reduction techniques, and analyze the distance between the datasets. our results show that there are important limitations when implementing a multi-item scale via a single-question river sample. we find that, while the correlation between our data sets is similar, the samples are composed of persons with different personality traits.} {big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research} {big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research}', 'river sampling – a fishing expedition: a non-probability case study {the ease with which large amounts of data can be collected via the internet has led to a renewed interest in the use of non-probability samples. to that end, this paper performs a case study, comparing two non-probability datasets – one based on a river-sampling approach, one drawn from an online-access panel – to a reference probability sample. of particular interest is the single-question river-sampling approach, as the data collected for this study presents an attempt to field a multi-item scale with such a sampling method. each dataset consists of the same psychometric measures for two of the big-5 personality traits, which are expected to perform independently of sample composition. to assess the similarity of the three datasets we compare their correlation matrices, apply linear and non-linear dimension reduction techniques, and analyze the distance between the datasets. our results show that there are important limitations when implementing a multi-item scale via a single-question river sample. we find that, while the correlation between our data sets is similar, the samples are composed of persons with different personality traits.} {big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research} {big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research}', 'river sampling – a fishing expedition: a non-probability case study {the ease with which large amounts of data can be collected via the internet has led to a renewed interest in the use of non-probability samples. to that end, this paper performs a case study, comparing two non-probability datasets – one based on a river-sampling approach, one drawn from an online-access panel – to a reference probability sample. of particular interest is the single-question river-sampling approach, as the data collected for this study presents an attempt to field a multi-item scale with such a sampling method. each dataset consists of the same psychometric measures for two of the big-5 personality traits, which are expected to perform independently of sample composition. to assess the similarity of the three datasets we compare their correlation matrices, apply linear and non-linear dimension reduction techniques, and analyze the distance between the datasets. our results show that there are important limitations when implementing a multi-item scale via a single-question river sample. we find that, while the correlation between our data sets is similar, the samples are composed of persons with different personality traits.} {big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research} {big-5,non-linear dimension reduction,non-probability sample,river sample,web survey research}']"
2,36,2_covid 19 pandemic_trust_cohort_invariance,"['covid 19 pandemic', 'trust', 'cohort', 'invariance', 'social science']","['a dataset on survey designs and quality of social and behavioral science surveys during the covid-19 pandemic {in the social and behavioral sciences, surveys are frequently used to collect data. during the covid-19 pandemic, surveys provided political actors and public health professionals with timely insights on the attitudes and behaviors of the general population. these insights were key in guiding actions to fight the pandemic. however, the data quality of these surveys remains unclear because systematic knowledge about how the survey data were collected during the covid-19 pandemic is lacking. this is unfortunate, since decades of survey research have shown that survey design impacts data. our survey data collection and the covid-19 pandemic (sdccp) project deals with this research gap. we collected rich metadata on survey design for 717 social and behavioral science surveys carried out in germany during the first two years of the covid-19 pandemic. in this data descriptor, we present a unique resource for a systematic assessment of the survey data collection practices and quality of surveys conducted in germany during the covid-19 pandemic.}', 'a dataset on survey designs and quality of social and behavioral science surveys during the covid-19 pandemic {in the social and behavioral sciences, surveys are frequently used to collect data. during the covid-19 pandemic, surveys provided political actors and public health professionals with timely insights on the attitudes and behaviors of the general population. these insights were key in guiding actions to fight the pandemic. however, the data quality of these surveys remains unclear because systematic knowledge about how the survey data were collected during the covid-19 pandemic is lacking. this is unfortunate, since decades of survey research have shown that survey design impacts data. our survey data collection and the covid-19 pandemic (sdccp) project deals with this research gap. we collected rich metadata on survey design for 717 social and behavioral science surveys carried out in germany during the first two years of the covid-19 pandemic. in this data descriptor, we present a unique resource for a systematic assessment of the survey data collection practices and quality of surveys conducted in germany during the covid-19 pandemic.}', 'a dataset on survey designs and quality of social and behavioral science surveys during the covid-19 pandemic {in the social and behavioral sciences, surveys are frequently used to collect data. during the covid-19 pandemic, surveys provided political actors and public health professionals with timely insights on the attitudes and behaviors of the general population. these insights were key in guiding actions to fight the pandemic. however, the data quality of these surveys remains unclear because systematic knowledge about how the survey data were collected during the covid-19 pandemic is lacking. this is unfortunate, since decades of survey research have shown that survey design impacts data. our survey data collection and the covid-19 pandemic (sdccp) project deals with this research gap. we collected rich metadata on survey design for 717 social and behavioral science surveys carried out in germany during the first two years of the covid-19 pandemic. in this data descriptor, we present a unique resource for a systematic assessment of the survey data collection practices and quality of surveys conducted in germany during the covid-19 pandemic.}']"
3,35,3_social media_texts_uncertainty_scientific publications,"['social media', 'texts', 'uncertainty', 'scientific publications', 'access']","['disambiguation of implicit scientific references on x {scientific discourse on the social web has been shown to compromise the accuracy of scientific findings. complex scientific claims are uttered in the form of short snippets with ""implicit references"" (seen as references to scientific publications where the urls to the actual studies are never cited). this has led to uninformed online scientific debates on topics such as health pandemics or climate. to enhance social media content, we introduce in this paper the novel task of disambiguation of implicit scientific references, where the goal is to retrieve the original scientific publications implicitly referred to by social media users. we contribute the first formalization, ground-truth corpus, and baselines for the task. with this work, we aim at shaping an understanding of implicit references on social media, and at laying a foundation for developing and evaluating methods for the disambiguation of implicit references.} {dataset annotation,information retrieval,scientific references} {dataset annotation,information retrieval,scientific references}', 'disambiguation of implicit scientific references on x {scientific discourse on the social web has been shown to compromise the accuracy of scientific findings. complex scientific claims are uttered in the form of short snippets with ""implicit references"" (seen as references to scientific publications where the urls to the actual studies are never cited). this has led to uninformed online scientific debates on topics such as health pandemics or climate. to enhance social media content, we introduce in this paper the novel task of disambiguation of implicit scientific references, where the goal is to retrieve the original scientific publications implicitly referred to by social media users. we contribute the first formalization, ground-truth corpus, and baselines for the task. with this work, we aim at shaping an understanding of implicit references on social media, and at laying a foundation for developing and evaluating methods for the disambiguation of implicit references.} {dataset annotation,information retrieval,scientific references} {dataset annotation,information retrieval,scientific references}', 'disambiguation of implicit scientific references on x {scientific discourse on the social web has been shown to compromise the accuracy of scientific findings. complex scientific claims are uttered in the form of short snippets with ""implicit references"" (seen as references to scientific publications where the urls to the actual studies are never cited). this has led to uninformed online scientific debates on topics such as health pandemics or climate. to enhance social media content, we introduce in this paper the novel task of disambiguation of implicit scientific references, where the goal is to retrieve the original scientific publications implicitly referred to by social media users. we contribute the first formalization, ground-truth corpus, and baselines for the task. with this work, we aim at shaping an understanding of implicit references on social media, and at laying a foundation for developing and evaluating methods for the disambiguation of implicit references.} {dataset annotation,information retrieval,scientific references} {dataset annotation,information retrieval,scientific references}']"
4,34,4_extraction_knowledge graph_language models llms_named entity recognition,"['extraction', 'knowledge graph', 'language models llms', 'named entity recognition', 'performance']","['decoding prompt syntax: analysing its impact on knowledge retrieval in large language models {large language models (llms), with their advanced architectures and training on massive language datasets, contain unexplored knowledge. one method to infer this knowledge is through the use of cloze-style prompts. typically, these prompts are manually designed because the phrasing of these prompts impacts the knowledge retrieval performance, even if the llm encodes the desired information. in this paper, we study the impact of prompt syntax on the knowledge retrieval capacity of llms. we use a template-based approach to paraphrase simple prompts into prompts with a more complex grammatical structure. we then analyse the llm performance for these structurally different but semantically equivalent prompts. our study reveals that simple prompts work better than complex forms of sentences. the performance across the syntactical variations for simple relations (1:1) remains best, with a marginal decrease across different typologies. these results reinforce that simple prompt structures are more effective for knowledge retrieval in llms and motivate future research into the impact of prompt syntax on various tasks.} {bert,knowledge retrieval,large language models,syntax aware prompt} {bert,knowledge retrieval,large language models,syntax aware prompt}', 'enhancing software-related information extraction via single-choice question answering with large language models {this paper describes our participation in the shared task on software mentions disambiguation (somd), with a focus on improving relation extraction in scholarly texts through generative large language models (llms) using single-choice question-answering. the methodology prioritises the use of in-context learning capabilities of llms to extract software-related entities and their descriptive attributes, such as distributive information. our approach uses retrieval-augmented generation (rag) techniques and llms for named entity recognition (ner) and attributive ner to identify relationships between extracted software entities, providing a structured solution for analysing software citations in academic literature. the paper provides a detailed description of our approach, demonstrating how using llms in a single-choice qa paradigm can greatly enhance ie methodologies. our participation in the somd shared task highlights the importance of precise software citation practices and showcases our system’s ability to overcome the challenges of disambiguating and extracting relationships between software mentions. this sets the groundwork for future research and development in this field.} {generative large language models,information extraction,named entity recognition,relation extraction,retrieval-augmented generation,single-choice question answering,software citation,software mentions disambiguation task} {generative large language models,information extraction,named entity recognition,relation extraction,retrieval-augmented generation,single-choice question answering,software citation,software mentions disambiguation task}', 'enhancing software-related information extraction via single-choice question answering with large language models {this paper describes our participation in the shared task on software mentions disambiguation (somd), with a focus on improving relation extraction in scholarly texts through generative large language models (llms) using single-choice question-answering. the methodology prioritises the use of in-context learning capabilities of llms to extract software-related entities and their descriptive attributes, such as distributive information. our approach uses retrieval-augmented generation (rag) techniques and llms for named entity recognition (ner) and attributive ner to identify relationships between extracted software entities, providing a structured solution for analysing software citations in academic literature. the paper provides a detailed description of our approach, demonstrating how using llms in a single-choice qa paradigm can greatly enhance ie methodologies. our participation in the somd shared task highlights the importance of precise software citation practices and showcases our system’s ability to overcome the challenges of disambiguating and extracting relationships between software mentions. this sets the groundwork for future research and development in this field.} {generative large language models,information extraction,named entity recognition,relation extraction,retrieval-augmented generation,single-choice question answering,software citation,software mentions disambiguation task} {generative large language models,information extraction,named entity recognition,relation extraction,retrieval-augmented generation,single-choice question answering,software citation,software mentions disambiguation task}']"
5,33,5_populist_party_voting behavior_right wing,"['populist', 'party', 'voting behavior', 'right wing', 'personality traits']","['left behind in a public services wasteland? on the accessibility of public services and political trust {public discourse and scholars alike argue that the spatial divide in voting behavior and attitudes is rooted in geographic inequalities that serve as breeding grounds for political discontent. in previous studies, scholars have mainly focused on the economic conditions to analyze how place-based context influences the voting behavior of citizens. however, this focus on voting behavior and a small set of contextual variables do not allow us to draw direct conclusions as to how, and which, place-based factors relate to discontent on the attitudinal level. i argue that the accessibility of public service infrastructure specifically serves as a low-intensity information cue for citizens to evaluate the political performance of modern welfare states. these evaluations complement objective economic perceptions and are part of the performance-trust link. hence, citizens should trust the government less if public services are not provided or only hard to access. i test this relationship for the german case by spatially linking the addresses of survey respondents with the location of public service facilities and collective municipallevel data. the resulting unique data set allows to explore the relationship between the accessibility of public service facilities and political trust as well as their temporal development. results of multilevel analyses indicate that shorter distances to train stations are associated with increased trust in the government, but all other results, such as the change in service provision, remain inconclusive. the findings implicate that a long-term lack of public services contributes to geographically polarized discontent in germany.}', 'left behind in a public services wasteland? on the accessibility of public services and political trust {public discourse and scholars alike argue that the spatial divide in voting behavior and attitudes is rooted in geographic inequalities that serve as breeding grounds for political discontent. in previous studies, scholars have mainly focused on the economic conditions to analyze how place-based context influences the voting behavior of citizens. however, this focus on voting behavior and a small set of contextual variables do not allow us to draw direct conclusions as to how, and which, place-based factors relate to discontent on the attitudinal level. i argue that the accessibility of public service infrastructure specifically serves as a low-intensity information cue for citizens to evaluate the political performance of modern welfare states. these evaluations complement objective economic perceptions and are part of the performance-trust link. hence, citizens should trust the government less if public services are not provided or only hard to access. i test this relationship for the german case by spatially linking the addresses of survey respondents with the location of public service facilities and collective municipallevel data. the resulting unique data set allows to explore the relationship between the accessibility of public service facilities and political trust as well as their temporal development. results of multilevel analyses indicate that shorter distances to train stations are associated with increased trust in the government, but all other results, such as the change in service provision, remain inconclusive. the findings implicate that a long-term lack of public services contributes to geographically polarized discontent in germany.}', 'left behind in a public services wasteland? on the accessibility of public services and political trust {public discourse and scholars alike argue that the spatial divide in voting behavior and attitudes is rooted in geographic inequalities that serve as breeding grounds for political discontent. in previous studies, scholars have mainly focused on the economic conditions to analyze how place-based context influences the voting behavior of citizens. however, this focus on voting behavior and a small set of contextual variables do not allow us to draw direct conclusions as to how, and which, place-based factors relate to discontent on the attitudinal level. i argue that the accessibility of public service infrastructure specifically serves as a low-intensity information cue for citizens to evaluate the political performance of modern welfare states. these evaluations complement objective economic perceptions and are part of the performance-trust link. hence, citizens should trust the government less if public services are not provided or only hard to access. i test this relationship for the german case by spatially linking the addresses of survey respondents with the location of public service facilities and collective municipallevel data. the resulting unique data set allows to explore the relationship between the accessibility of public service facilities and political trust as well as their temporal development. results of multilevel analyses indicate that shorter distances to train stations are associated with increased trust in the government, but all other results, such as the change in service provision, remain inconclusive. the findings implicate that a long-term lack of public services contributes to geographically polarized discontent in germany.}']"
6,32,6_similarity_open science_computational social science_package,"['similarity', 'open science', 'computational social science', 'package', 'training']","['computational reproducibility in computational social science {open science practices have been widely discussed and have been implemented with varying success in different disciplines. we argue that computational-x disciplines such as computational social science, are also susceptible to the symptoms of the crises, but in terms of reproducibility. we expand the binary definition of reproducibility into a tier system which allows increasing levels of reproducibility based on external verifiability to counteract the practice of open-washing. we provide solutions for barriers in computational social science that hinder researchers from obtaining the highest level of reproducibility, including the use of alternate data sources and considering reproducibility proactively.} {computational social science,open science,replicability crisis,reproducibility} {computational social science,open science,replicability crisis,reproducibility}', 'computational reproducibility in computational social science {open science practices have been widely discussed and have been implemented with varying success in different disciplines. we argue that computational-x disciplines such as computational social science, are also susceptible to the symptoms of the crises, but in terms of reproducibility. we expand the binary definition of reproducibility into a tier system which allows increasing levels of reproducibility based on external verifiability to counteract the practice of open-washing. we provide solutions for barriers in computational social science that hinder researchers from obtaining the highest level of reproducibility, including the use of alternate data sources and considering reproducibility proactively.} {computational social science,open science,replicability crisis,reproducibility} {computational social science,open science,replicability crisis,reproducibility}', 'computational reproducibility in computational social science {open science practices have been widely discussed and have been implemented with varying success in different disciplines. we argue that computational-x disciplines such as computational social science, are also susceptible to the symptoms of the crises, but in terms of reproducibility. we expand the binary definition of reproducibility into a tier system which allows increasing levels of reproducibility based on external verifiability to counteract the practice of open-washing. we provide solutions for barriers in computational social science that hinder researchers from obtaining the highest level of reproducibility, including the use of alternate data sources and considering reproducibility proactively.} {computational social science,open science,replicability crisis,reproducibility} {computational social science,open science,replicability crisis,reproducibility}']"
7,29,7_graph_networks_label_consistency,"['graph', 'networks', 'label', 'consistency', 'family']","['exploring rich structure information for aspect-based sentiment classification {graph convolutional network (gcn) for aspect-based sentiment classification has attracted a lot of attention recently due to their promising performance in handling complex structure information. however, previous methods based on gcn focused mainly on examining the structure of syntactic dependency relationships, which were subject to the noise and sparsity problem. furthermore, these methods tend to focus on one kind of structural information (namely syntactic dependency) while ignoring many other kinds of rich structures between words. to tackle these problems, we propose a novel gcn based model, named structure-enhanced dual-channel graph convolutional network (sedc-gcn). specifically, we first exploit the rich structure information by constructing a text sequence graph and an enhanced dependency graph, then design a dual-channel graph encoder to model the structure information from the two graphs. after that, we propose two kinds of aspect-specific attention, i.e., aspect-specific semantic attention and aspect-specific structure attention, to learn sentence representation from two different perspectives, i.e., the semantic perspective based on the text encoder, and the structure perspective based on the dual-channel graph encoder. finally, we merge the sentence representations from the above two perspectives and obtain the final sentence representation. we experimentally validate our proposed model sedc-gcn by comparing with seven strong baseline methods. in terms of the metric accuracy, sedc-gcn achieves performance gains of 74.42%, 77.74%, 83.30%, 81.73% and 90.75% on twitter, laptop, rest14, rest15, and rest16, respectively, which are 0.35%, 4.22%, 1.62%, 0.70% and 2.01% better than the best performing baseline bigcn. similar performance improvements are also observed in terms of the metric macro-averaged f1 score. the ablation study further demonstrates the effectiveness of each component of sedc-gcn.} {aspect-based sentiment classification,attention mechanism,graph convolutional networks,sentiment analysis} {aspect-based sentiment classification,attention mechanism,graph convolutional networks,sentiment analysis}', 'exploring rich structure information for aspect-based sentiment classification {graph convolutional network (gcn) for aspect-based sentiment classification has attracted a lot of attention recently due to their promising performance in handling complex structure information. however, previous methods based on gcn focused mainly on examining the structure of syntactic dependency relationships, which were subject to the noise and sparsity problem. furthermore, these methods tend to focus on one kind of structural information (namely syntactic dependency) while ignoring many other kinds of rich structures between words. to tackle these problems, we propose a novel gcn based model, named structure-enhanced dual-channel graph convolutional network (sedc-gcn). specifically, we first exploit the rich structure information by constructing a text sequence graph and an enhanced dependency graph, then design a dual-channel graph encoder to model the structure information from the two graphs. after that, we propose two kinds of aspect-specific attention, i.e., aspect-specific semantic attention and aspect-specific structure attention, to learn sentence representation from two different perspectives, i.e., the semantic perspective based on the text encoder, and the structure perspective based on the dual-channel graph encoder. finally, we merge the sentence representations from the above two perspectives and obtain the final sentence representation. we experimentally validate our proposed model sedc-gcn by comparing with seven strong baseline methods. in terms of the metric accuracy, sedc-gcn achieves performance gains of 74.42%, 77.74%, 83.30%, 81.73% and 90.75% on twitter, laptop, rest14, rest15, and rest16, respectively, which are 0.35%, 4.22%, 1.62%, 0.70% and 2.01% better than the best performing baseline bigcn. similar performance improvements are also observed in terms of the metric macro-averaged f1 score. the ablation study further demonstrates the effectiveness of each component of sedc-gcn.} {aspect-based sentiment classification,attention mechanism,graph convolutional networks,sentiment analysis} {aspect-based sentiment classification,attention mechanism,graph convolutional networks,sentiment analysis}', 'exploring rich structure information for aspect-based sentiment classification {graph convolutional network (gcn) for aspect-based sentiment classification has attracted a lot of attention recently due to their promising performance in handling complex structure information. however, previous methods based on gcn focused mainly on examining the structure of syntactic dependency relationships, which were subject to the noise and sparsity problem. furthermore, these methods tend to focus on one kind of structural information (namely syntactic dependency) while ignoring many other kinds of rich structures between words. to tackle these problems, we propose a novel gcn based model, named structure-enhanced dual-channel graph convolutional network (sedc-gcn). specifically, we first exploit the rich structure information by constructing a text sequence graph and an enhanced dependency graph, then design a dual-channel graph encoder to model the structure information from the two graphs. after that, we propose two kinds of aspect-specific attention, i.e., aspect-specific semantic attention and aspect-specific structure attention, to learn sentence representation from two different perspectives, i.e., the semantic perspective based on the text encoder, and the structure perspective based on the dual-channel graph encoder. finally, we merge the sentence representations from the above two perspectives and obtain the final sentence representation. we experimentally validate our proposed model sedc-gcn by comparing with seven strong baseline methods. in terms of the metric accuracy, sedc-gcn achieves performance gains of 74.42%, 77.74%, 83.30%, 81.73% and 90.75% on twitter, laptop, rest14, rest15, and rest16, respectively, which are 0.35%, 4.22%, 1.62%, 0.70% and 2.01% better than the best performing baseline bigcn. similar performance improvements are also observed in terms of the metric macro-averaged f1 score. the ablation study further demonstrates the effectiveness of each component of sedc-gcn.} {aspect-based sentiment classification,attention mechanism,graph convolutional networks,sentiment analysis} {aspect-based sentiment classification,attention mechanism,graph convolutional networks,sentiment analysis}']"
8,28,8_uncertainty_adaptation_artificial intelligence_german language,"['uncertainty', 'adaptation', 'artificial intelligence', 'german language', 'comparability']","[""measuring six facets of curiosity in germany and the uk: a german-language adaptation of the 5dcr and its comparability with the english-language source version {the five-dimensional curiosity-scale revised (5dcr) by kashdan et al. (2020) is the most comprehensive curiosity inventory available to date. 5dcr measures six facets of curiosity with four items each. here, we present a german-language adaptation of the 5dcr and comprehensively validate this adaptation in a diverse sample of adults from germany (n = 486). moreover, we provide new evidence on the original english-language 5dcr in a parallel sample from the uk (n = 483). in both countries, we investigate the six facets' reliability, factorial validity, and convergent and discriminant validity with a large set of individual-differences constructs. in addition, we analyze the measurement invariance of the curiosity facets across the uk and germany and across socio-demographic subgroups defined by age, sex, and education. findings demonstrate that the new german-language adaptation of 5dcr and its english-language source version show psychometric properties similar to the original studies by kashdan et al. (2020) in the united states. all six curiosity facets reach at least partial scalar invariance across cultures, sex, education, and mostly also across age groups. the findings support the six-faceted theory of curiosity and show that 5dcr allows for a valid assessment of curiosity across cultures.}"", ""measuring six facets of curiosity in germany and the uk: a german-language adaptation of the 5dcr and its comparability with the english-language source version {the five-dimensional curiosity-scale revised (5dcr) by kashdan et al. (2020) is the most comprehensive curiosity inventory available to date. 5dcr measures six facets of curiosity with four items each. here, we present a german-language adaptation of the 5dcr and comprehensively validate this adaptation in a diverse sample of adults from germany (n = 486). moreover, we provide new evidence on the original english-language 5dcr in a parallel sample from the uk (n = 483). in both countries, we investigate the six facets' reliability, factorial validity, and convergent and discriminant validity with a large set of individual-differences constructs. in addition, we analyze the measurement invariance of the curiosity facets across the uk and germany and across socio-demographic subgroups defined by age, sex, and education. findings demonstrate that the new german-language adaptation of 5dcr and its english-language source version show psychometric properties similar to the original studies by kashdan et al. (2020) in the united states. all six curiosity facets reach at least partial scalar invariance across cultures, sex, education, and mostly also across age groups. the findings support the six-faceted theory of curiosity and show that 5dcr allows for a valid assessment of curiosity across cultures.}"", ""measuring six facets of curiosity in germany and the uk: a german-language adaptation of the 5dcr and its comparability with the english-language source version {the five-dimensional curiosity-scale revised (5dcr) by kashdan et al. (2020) is the most comprehensive curiosity inventory available to date. 5dcr measures six facets of curiosity with four items each. here, we present a german-language adaptation of the 5dcr and comprehensively validate this adaptation in a diverse sample of adults from germany (n = 486). moreover, we provide new evidence on the original english-language 5dcr in a parallel sample from the uk (n = 483). in both countries, we investigate the six facets' reliability, factorial validity, and convergent and discriminant validity with a large set of individual-differences constructs. in addition, we analyze the measurement invariance of the curiosity facets across the uk and germany and across socio-demographic subgroups defined by age, sex, and education. findings demonstrate that the new german-language adaptation of 5dcr and its english-language source version show psychometric properties similar to the original studies by kashdan et al. (2020) in the united states. all six curiosity facets reach at least partial scalar invariance across cultures, sex, education, and mostly also across age groups. the findings support the six-faceted theory of curiosity and show that 5dcr allows for a valid assessment of curiosity across cultures.}""]"
