Topic,Words,Frequency,Timestamp
-1,"sampling, germany, google, left right, multilingual",56,2023
0,"switching, candidates, 2021, parties, german federal election",18,2023
1,"distributed, dimension, personality traits, correlation, elections",20,2023
2,"covid 19 pandemic, households, search engines, testing, cluster",6,2023
3,"publishing, citation, machine learning, correlation, uncertainty",11,2023
4,"large, knowledge graph, language models llms, named entity recognition, task",13,2023
5,"radical, personality traits, populist, trust, voting",11,2023
6,"open science, similarity, higher education, package, computational social",10,2023
7,"graph, classification, network, sentence, consensus",12,2023
8,"uncertainty, adaptation, german language, sex, cross",13,2023
9,"inclusion, measurement invariance, behavioral, social media, frameworks",12,2023
10,"knowledge graphs, semantic web, pipeline, generic, machine learning",12,2023
11,"germany, welfare, families, differences, negative",8,2023
12,"personality, vocational, diversity, social networks, immigration",6,2023
13,"closed, cognitive, labels, coding, german language",7,2023
14,"recruitment, probability based, mail, mixed mode, online panel",17,2023
15,"public opinion, hypothesis, representation, policymakers, registration",6,2023
16,"crisis, refugees, germany, differences, social media",2,2023
17,"learning, adolescents, filter, role, predictors",7,2023
19,"cases, management, digital trace, collection, sharing",3,2023
20,"children, risk, immigration, 19 pandemic, european countries",7,2023
21,"fact checking, share, prediction, landscape, grained",10,2023
22,"speech, discrimination, detection, sheds light, robustness",8,2023
24,"gaps, training, domain, time consuming, robustness",4,2023
25,"population, waves, multilevel, probability based, mixed mode panel",7,2023
26,"companies, participation, households, online panel, response behavior",10,2023
27,"team, multilingual, questionnaire, version, comparability",7,2023
28,"nonresponse, machine learning, waves, mixed mode panel, building",8,2023
29,"political knowledge, detect, german internet panel, response behavior, combined",5,2023
30,"populations, crises, welfare, heterogeneity, europe",6,2023
31,"labour, migration, couples, differences, germany",9,2023
32,"infrastructure, knowledge graphs, artificial intelligence, disciplinary, cross",6,2023
33,"discourse, user, based model, fact checking, productivity",1,2023
34,"war, transformation, map, german, temporal",2,2023
35,"large scale, consensus, cross cultural, distinct, immigration",3,2023
36,"fake, deep learning, f1 score, media, named entity recognition",2,2023
37,"machine learning, errors, automated content, perception, validation",7,2023
38,"graph, prediction, preferences, natural language, shift",7,2023
39,"web, generative ai, behaviors, time, training",7,2023
40,"application, inference, factor, multilevel, journalism",3,2023
41,"machine learning, release, crucial role, based model, text",5,2023
42,"workshop, retrieval, series, https, natural language processing",5,2023
45,"privacy, journalism, religious, minority, automated content",6,2023
46,"language models, training, zero, computer, domains",6,2023
47,"partner, panel, response behavior, german family, privacy",4,2023
48,"web tracking, orientation, women, germany, questionnaire",3,2023
49,"political science, open science, 2021, german federal election, engines",2,2023
-1,"conversational, search, moderation, political, large language",125,2024
0,"attitudes, multilevel, migration, german federal election, 2021",10,2024
1,"elections, qualitative, database, political attitudes, 2019",9,2024
2,"covid 19 pandemic, trust, social science, measurement invariance, alignment",20,2024
3,"generic, corpus, named entity recognition, framework, training",8,2024
4,"extraction, llms, large language models, knowledge graph, named entity recognition",16,2024
5,"populist, voting behavior, differences, east west, germany",11,2024
6,"computational social science, open, functions, similarity, real world",9,2024
7,"network, graphs, persistent, real world, interplay",4,2024
8,"uncertainty, psychometric, comparability, opportunities, countries",9,2024
9,"facebook, social science, measurement, frameworks, browsing",7,2024
10,"detection, knowledge graphs, argument mining, similarity, fake",13,2024
11,"germany, primary, unemployment, fixed effects, families",9,2024
12,"personality, engagement, matching, vocational, scales",14,2024
13,"visual, pretesting, modes, questionnaire, closed",8,2024
14,"recruitment, affects, probability based, german internet panel, mixed mode",6,2024
15,"privacy, campaigns, cross, public opinion, vote choice",10,2024
16,"privacy, russian, hybrid, democratic, media posts",12,2024
17,"literacy, adolescents, germany, minorities, inequalities",2,2024
18,"cohorts, acceptance, younger, german, driving",9,2024
19,"digital trace, linkage, privacy, facebook, discipline",12,2024
20,"risk, sharing, life satisfaction, 19 pandemic, germany",8,2024
