Topic,Words,Frequency,Timestamp,LLM_Label
-1,"sampling, germany, google, left right, multilingual",56,2023,
0,"switching, candidates, 2021, parties, german federal election",18,2023,German electoral attitudes and parties
1,"distributed, dimension, personality traits, correlation, elections",20,2023,Survey data harmonization methods
2,"covid 19 pandemic, households, search engines, testing, cluster",6,2023,COVID-19 social science surveys
3,"publishing, citation, machine learning, correlation, uncertainty",11,2023,Social media and scientific communication
4,"large, knowledge graph, language models llms, named entity recognition, task",13,2023,Knowledge Extraction with Language Models
5,"radical, personality traits, populist, trust, voting",11,2023,Right-wing populism and personality
6,"open science, similarity, higher education, package, computational social",10,2023,Computational reproducibility in social science
7,"graph, classification, network, sentence, consensus",12,2023,Graph neural network methods
8,"uncertainty, adaptation, german language, sex, cross",13,2023,Uncertainty and curiosity in cognition
9,"inclusion, measurement invariance, behavioral, social media, frameworks",12,2023,Digital data quality in social sciences
10,"knowledge graphs, semantic web, pipeline, generic, machine learning",12,2023,Knowledge Graphs and Machine Learning
11,"germany, welfare, families, differences, negative",8,2023,Parental socioeconomic inequality in Germany
12,"personality, vocational, diversity, social networks, immigration",6,2023,Personality and vocational outcomes
13,"closed, cognitive, labels, coding, german language",7,2023,Cognitive pretesting in web surveys
14,"recruitment, probability based, mail, mixed mode, online panel",17,2023,Probability-based online panel recruitment
15,"public opinion, hypothesis, representation, policymakers, registration",6,2023,Public opinion and political advertising
16,"crisis, refugees, germany, differences, social media",2,2023,Political communication and misinformation
17,"learning, adolescents, filter, role, predictors",7,2023,Adolescent literacy and inequalities
19,"cases, management, digital trace, collection, sharing",3,2023,Digital trace data sharing
20,"children, risk, immigration, 19 pandemic, european countries",7,2023,COVID-19 social risks and well-being
21,"fact checking, share, prediction, landscape, grained",10,2023,Online fact-checking tasks landscape
22,"speech, discrimination, detection, sheds light, robustness",8,2023,Bias and discrimination in speech
24,"gaps, training, domain, time consuming, robustness",4,2023,Gender gaps in blockchain domain
25,"population, waves, multilevel, probability based, mixed mode panel",7,2023,Probability-based panel survey methodology
26,"companies, participation, households, online panel, response behavior",10,2023,Online survey recruitment strategies
27,"team, multilingual, questionnaire, version, comparability",7,2023,Multilingual questionnaire translation methods
28,"nonresponse, machine learning, waves, mixed mode panel, building",8,2023,Machine learning for panel nonresponse
29,"political knowledge, detect, german internet panel, response behavior, combined",5,2023,Online political knowledge measurement
30,"populations, crises, welfare, heterogeneity, europe",6,2023,European welfare attitudes and crises
31,"labour, migration, couples, differences, germany",9,2023,Labour market integration in Germany
32,"infrastructure, knowledge graphs, artificial intelligence, disciplinary, cross",6,2023,Heterogeneous Knowledge Graphs in Science
33,"discourse, user, based model, fact checking, productivity",1,2023,Multilingual fact-checking and discourse analysis
34,"war, transformation, map, german, temporal",2,2023,German unification and transformation
35,"large scale, consensus, cross cultural, distinct, immigration",3,2023,Far-right voting and national identity
36,"fake, deep learning, f1 score, media, named entity recognition",2,2023,Fake news detection in Arabic
37,"machine learning, errors, automated content, perception, validation",7,2023,Validation of machine learning annotations
38,"graph, prediction, preferences, natural language, shift",7,2023,Graph-based recommendation with NLP
39,"web, generative ai, behaviors, time, training",7,2023,Web usage behavior patterns
40,"application, inference, factor, multilevel, journalism",3,2023,Bayesian equivalence testing methods
41,"machine learning, release, crucial role, based model, text",5,2023,Scholarly entity extraction methods
42,"workshop, retrieval, series, https, natural language processing",5,2023,Scholarly Information Retrieval Workshops
45,"privacy, journalism, religious, minority, automated content",6,2023,Media trust and privacy perspectives
46,"language models, training, zero, computer, domains",6,2023,Language models for code tasks
47,"partner, panel, response behavior, german family, privacy",4,2023,panel survey methodology
48,"web tracking, orientation, women, germany, questionnaire",3,2023,Digital Behavior Profiles in Germany
49,"political science, open science, 2021, german federal election, engines",2,2023,Search engines in political science
-1,"conversational, search, moderation, political, large language",125,2024,
0,"attitudes, multilevel, migration, german federal election, 2021",10,2024,German electoral attitudes and parties
1,"elections, qualitative, database, political attitudes, 2019",9,2024,Survey data harmonization methods
2,"covid 19 pandemic, trust, social science, measurement invariance, alignment",20,2024,COVID-19 social science surveys
3,"generic, corpus, named entity recognition, framework, training",8,2024,Social media and scientific communication
4,"extraction, llms, large language models, knowledge graph, named entity recognition",16,2024,Knowledge Extraction with Language Models
5,"populist, voting behavior, differences, east west, germany",11,2024,Right-wing populism and personality
6,"computational social science, open, functions, similarity, real world",9,2024,Computational reproducibility in social science
7,"network, graphs, persistent, real world, interplay",4,2024,Graph neural network methods
8,"uncertainty, psychometric, comparability, opportunities, countries",9,2024,Uncertainty and curiosity in cognition
9,"facebook, social science, measurement, frameworks, browsing",7,2024,Digital data quality in social sciences
