title,abstract,year,source,keyword,class_name,middle_group,subject_area,cluster,year_raw,clean_text,topic
Comparison of Four Active SARS-CoV-2 Surveillance Strategies in Representative Population Sample Points: Two-Factor Factorial Randomized Controlled Trial,"{""Background: The COVID-19 pandemic is characterized by rapid increases in infection burden owing to the emergence of new variants with higher transmissibility and immune escape. To date, monitoring the COVID-19 pandemic has mainly relied on passive surveillance, yielding biased epidemiological measures owing to the disproportionate number of undetected asymptomatic cases. Active surveillance could provide accurate estimates of the true prevalence to forecast the evolution of the pandemic, enabling evidence-based decision-making. Objective: This study compared 4 different approaches of active SARS-CoV-2 surveillance focusing on feasibility and epidemiological outcomes. Methods: A 2-factor factorial randomized controlled trial was conducted in 2020 in a German district with 700,000 inhabitants. The epidemiological outcome comprised SARS-CoV-2 prevalence and its precision. The 4 study arms combined 2 factors: individuals versus households and direct testing versus testing conditioned on symptom prescreening. Individuals aged ≥7 years were eligible. Altogether, 27,908 addresses from 51 municipalities were randomly allocated to the arms and 15 consecutive recruitment weekdays. Data collection and logistics were highly digitized, and a website in 5 languages enabled low-barrier registration and tracking of results. Gargle sample collection kits were sent by post. Participants collected a gargle sample at home and mailed it to the laboratory. Samples were analyzed with reverse transcription loop-mediated isothermal amplification (RT-LAMP); positive and weak results were confirmed with real-time reverse transcription–polymerase chain reaction (RT-PCR). Results: Recruitment was conducted between November 18 and December 11, 2020. The response rates in the 4 arms varied between 34.31% (2340/6821) and 41.17% (2043/4962). The prescreening classified 16.61% (1207/7266) of the patients as COVID-19 symptomatic. Altogether, 4232 persons without prescreening and 7623 participating in the prescreening provided 5351 gargle samples, of which 5319 (99.4%) could be analyzed. This yielded 17 confirmed SARS-CoV-2 infections and a combined prevalence of 0.36% (95% CI 0.14%-0.59%) in the arms without prescreening and 0.05% (95% CI 0.00%-0.108%) in the arms with prescreening (initial contacts only). Specifically, we found a prevalence of 0.31% (95% CI 0.06%-0.58%) for individuals and 0.35% (95% CI 0.09%-0.61%) for households, and lower estimates with prescreening (0.07%, 95% CI 0.0%-0.15% for individuals and 0.02%, 95% CI 0.0%-0.06% for households). Asymptomatic infections occurred in 27% (3/11) of the positive cases with symptom data. The 2 arms without prescreening performed the best regarding effectiveness and accuracy. Conclusions: This study showed that postal mailing of gargle sample kits and returning home-based self-collected liquid gargle samples followed by high-sensitivity RT-LAMP analysis is a feasible way to conduct active SARS-CoV-2 population surveillance without burdening routine diagnostic testing. Efforts to improve participation rates and integration into the public health system may increase the potential to monitor the course of the pandemic.""}",2023,JMIR Public Health and Surveillance,"{""cluster sampling"",covid-19,effectiveness,multiarm,pandemic,""randomized controlled trial"",sars-cov-2,surveillance}","Public Health, Environmental and Occupational Health",Medicine,Health Sciences,BIO,2023,"background: the covid-19 pandemic is characterized by rapid increases in infection burden owing to the emergence of new variants with higher transmissibility and immune escape. to date, monitoring the covid-19 pandemic has mainly relied on passive surveillance, yielding biased epidemiological measures owing to the disproportionate number of undetected asymptomatic cases. active surveillance could provide accurate estimates of the true prevalence to forecast the evolution of the pandemic, enabling evidence-based decision-making. objective: this study compared 4 different approaches of active sars-cov-2 surveillance focusing on feasibility and epidemiological outcomes. methods: a 2-factor factorial randomized controlled trial was conducted in 2020 in a german district with 700,000 inhabitants. the epidemiological outcome comprised sars-cov-2 prevalence and its precision. the 4 study arms combined 2 factors: individuals versus households and direct testing versus testing conditioned on symptom prescreening. individuals aged ≥7 years were eligible. altogether, 27,908 addresses from 51 municipalities were randomly allocated to the arms and 15 consecutive recruitment weekdays. data collection and logistics were highly digitized, and a website in 5 languages enabled low-barrier registration and tracking of results. gargle sample collection kits were sent by post. participants collected a gargle sample at home and mailed it to the laboratory. samples were analyzed with reverse transcription loop-mediated isothermal amplification (rt-lamp); positive and weak results were confirmed with real-time reverse transcription–polymerase chain reaction (rt-pcr). results: recruitment was conducted between november 18 and december 11, 2020. the response rates in the 4 arms varied between 34.31% (2340/6821) and 41.17% (2043/4962). the prescreening classified 16.61% (1207/7266) of the patients as covid-19 symptomatic. altogether, 4232 persons without prescreening and 7623 participating in the prescreening provided 5351 gargle samples, of which 5319 (99.4%) could be analyzed. this yielded 17 confirmed sars-cov-2 infections and a combined prevalence of 0.36% (95% ci 0.14%-0.59%) in the arms without prescreening and 0.05% (95% ci 0.00%-0.108%) in the arms with prescreening (initial contacts only). specifically, we found a prevalence of 0.31% (95% ci 0.06%-0.58%) for individuals and 0.35% (95% ci 0.09%-0.61%) for households, and lower estimates with prescreening (0.07%, 95% ci 0.0%-0.15% for individuals and 0.02%, 95% ci 0.0%-0.06% for households). asymptomatic infections occurred in 27% (3/11) of the positive cases with symptom data. the 2 arms without prescreening performed the best regarding effectiveness and accuracy. conclusions: this study showed that postal mailing of gargle sample kits and returning home-based self-collected liquid gargle samples followed by high-sensitivity rt-lamp analysis is a feasible way to conduct active sars-cov-2 population surveillance without burdening routine diagnostic testing. efforts to improve participation rates and integration into the public health system may increase the potential to monitor the course of the pandemic.",0
Does a tonsillectomy indicated according to the German S2k guideline affect short-term quality of life in adults?,"{""Background: Tonsillectomy (TE) for recurrent tonsillitis (RT) is one of the most common surgical interventions. Since 2015, the indication criteria for TE have become much stricter (German S2k guideline). Patient-reported outcome measures (PROMs) of short-term quality of life (QoL) after TE have not yet been investigated. Purpose: To clarify if stringent indication for TE will better identify patients worthy of surgery and patients’ QoL. Methods: We prospectively studied the Tonsillectomy Outcome Inventory 14 (TOI-14) responses of 38 RT-patients recruited according to the S2k guideline in 2020 and compared their TOI-14 scores with those of a historical RT cohort from 2006 to 2008 and with a healthy middle-European cohort. New RT patients were assessed before, 2, 4, and 14 days and 6 months after TE. TOI-14 was measured as total and as disease-specific score. Results: From pre- to 6-month postoperative, patients’ QoL was significantly different, measured by TOI-14 (49.92 vs. 6.35; p < 0.001) and disease-specific score (60.35 vs. 9.9; p < 0.001). Preoperative disease-specific score was not different from that of the 2nd and 4th postoperative days but from the 14th postoperative day (60.35 vs. 29.26; p < 0.001). The historical cohort had significantly less RT complaints than the new cohort beforehand, but more dissatisfaction in QoL after TE. New TE patients had worse QoL pre- (49.92 vs. 11.78; p < 0.001) but more QoL postoperatively (6.34 vs. 11.78; p = 0.004) than healthy individuals. Conclusions: Our results show that the tightening of the indication criteria for TE was justified and that TE patients significantly benefit from this surgery from day 14.""}",2023,European Archives of Oto-Rhino-Laryngology,"{""german s2k guideline"",""quality of life (qol)"",""recurrent tonsillitis (rt)"",tonsillectomy,""tonsillectomy outcome inventory 14 (toi-14)""}",Otorhinolaryngology,Medicine,Health Sciences,BIO,2023,"background: tonsillectomy (te) for recurrent tonsillitis (rt) is one of the most common surgical interventions. since 2015, the indication criteria for te have become much stricter (german s2k guideline). patient-reported outcome measures (proms) of short-term quality of life (qol) after te have not yet been investigated. purpose: to clarify if stringent indication for te will better identify patients worthy of surgery and patients’ qol. methods: we prospectively studied the tonsillectomy outcome inventory 14 (toi-14) responses of 38 rt-patients recruited according to the s2k guideline in 2020 and compared their toi-14 scores with those of a historical rt cohort from 2006 to 2008 and with a healthy middle-european cohort. new rt patients were assessed before, 2, 4, and 14 days and 6 months after te. toi-14 was measured as total and as disease-specific score. results: from pre- to 6-month postoperative, patients’ qol was significantly different, measured by toi-14 (49.92 vs. 6.35; p < 0.001) and disease-specific score (60.35 vs. 9.9; p < 0.001). preoperative disease-specific score was not different from that of the 2nd and 4th postoperative days but from the 14th postoperative day (60.35 vs. 29.26; p < 0.001). the historical cohort had significantly less rt complaints than the new cohort beforehand, but more dissatisfaction in qol after te. new te patients had worse qol pre- (49.92 vs. 11.78; p < 0.001) but more qol postoperatively (6.34 vs. 11.78; p = 0.004) than healthy individuals. conclusions: our results show that the tightening of the indication criteria for te was justified and that te patients significantly benefit from this surgery from day 14.",1
Long-term analysis of prognostic risk factors impacting surgical outcomes in patients with external auditory canal carcinoma,"{""Background: Malignant neoplasms of the external auditory canal (EAC) are rare. No consensus on management has emerged. Objective: To determine possible risk factors influencing tumorgenesis and prognosis of EAC carcinoma. Materials and methods: 108 patients (87 men/21 women) with an average age of 74 ± 13.8 years were recruited from 2005 to 2019 at Department of Otorhinolaryngology, Head and Neck Surgery Heidelberg. The follow-up interval was 43.62 ± 55.39 months. Partial and (sub)total ablative otis, supplementary surgery (petrosectomy, parotidectomy, neck dissection, mastoidectomy) and adjuvant radio(chemo)therapy belonged to treatment options. TNM status was determined at time of diagnosis using the AJCC staging system. Results: 63.9% of patients underwent a total ablative otis. Tumor recurrence was seen in 24.1%. The 1-year survival rate was 87%, the 5-year survival rate was 52%, the mean overall survival (OS) was 3.82 ± 4.6 years. Male EAC carcinoma patients had a better OS (p < 0.001), PFS (p < 0.001) and DSS (p = 0.02) than females. T1 patients had a better OS (p = 0.01), PFS (p = 0.01) and DSS (p < 0.001) than T4 patients. Lymph node but not distant metastasis, tumor grading, perineural, venous and lymphatic invasion, histology, age and tumor localization influenced the OS in EAC carcinoma patients (p = 0.04). The more radical the ablative otis, the worse the OS (p = 0.002), PFS (p = 0.02) and DSS (p < 0.001). Radio(chemo)therapy did not improve the OS. Conclusions: EAC carcinoma are difficult to treat and benefit from early diagnosis so that a radical combined treatment approach does not need to be used.""}",2023,European Archives of Oto-Rhino-Laryngology,"{""ablative otis"",""carcinoma of external auditory canal (eac)"",""overall survival (os)"",""prognostic risk factors""}",Otorhinolaryngology,Medicine,Health Sciences,BIO,2023,"background: malignant neoplasms of the external auditory canal (eac) are rare. no consensus on management has emerged. objective: to determine possible risk factors influencing tumorgenesis and prognosis of eac carcinoma. materials and methods: 108 patients (87 men/21 women) with an average age of 74 ± 13.8 years were recruited from 2005 to 2019 at department of otorhinolaryngology, head and neck surgery heidelberg. the follow-up interval was 43.62 ± 55.39 months. partial and (sub)total ablative otis, supplementary surgery (petrosectomy, parotidectomy, neck dissection, mastoidectomy) and adjuvant radio(chemo)therapy belonged to treatment options. tnm status was determined at time of diagnosis using the ajcc staging system. results: 63.9% of patients underwent a total ablative otis. tumor recurrence was seen in 24.1%. the 1-year survival rate was 87%, the 5-year survival rate was 52%, the mean overall survival (os) was 3.82 ± 4.6 years. male eac carcinoma patients had a better os (p < 0.001), pfs (p < 0.001) and dss (p = 0.02) than females. t1 patients had a better os (p = 0.01), pfs (p = 0.01) and dss (p < 0.001) than t4 patients. lymph node but not distant metastasis, tumor grading, perineural, venous and lymphatic invasion, histology, age and tumor localization influenced the os in eac carcinoma patients (p = 0.04). the more radical the ablative otis, the worse the os (p = 0.002), pfs (p = 0.02) and dss (p < 0.001). radio(chemo)therapy did not improve the os. conclusions: eac carcinoma are difficult to treat and benefit from early diagnosis so that a radical combined treatment approach does not need to be used.",1
"baymedr: an R package and web application for the calculation of Bayes factors for superiority, equivalence, and non-inferiority designs","{""Background: Clinical trials often seek to determine the superiority, equivalence, or non-inferiority of an experimental condition (e.g., a new drug) compared to a control condition (e.g., a placebo or an already existing drug). The use of frequentist statistical methods to analyze data for these types of designs is ubiquitous even though they have several limitations. Bayesian inference remedies many of these shortcomings and allows for intuitive interpretations, but are currently difficult to implement for the applied researcher. Results: We outline the frequentist conceptualization of superiority, equivalence, and non-inferiority designs and discuss its disadvantages. Subsequently, we explain how Bayes factors can be used to compare the relative plausibility of competing hypotheses. We present baymedr, an R package and web application, that provides user-friendly tools for the computation of Bayes factors for superiority, equivalence, and non-inferiority designs. Instructions on how to use baymedr are provided and an example illustrates how existing results can be reanalyzed with baymedr. Conclusions: Our baymedr R package and web application enable researchers to conduct Bayesian superiority, equivalence, and non-inferiority tests. baymedr is characterized by a user-friendly implementation, making it convenient for researchers who are not statistical experts. Using baymedr, it is possible to calculate Bayes factors based on raw data and summary statistics.""}",2023,BMC Medical Research Methodology,"{""bayes factor"",baymedr,equivalence,non-inferiority,superiority}",Epidemiology,Medicine,Health Sciences,BIO,2023,"background: clinical trials often seek to determine the superiority, equivalence, or non-inferiority of an experimental condition (e.g., a new drug) compared to a control condition (e.g., a placebo or an already existing drug). the use of frequentist statistical methods to analyze data for these types of designs is ubiquitous even though they have several limitations. bayesian inference remedies many of these shortcomings and allows for intuitive interpretations, but are currently difficult to implement for the applied researcher. results: we outline the frequentist conceptualization of superiority, equivalence, and non-inferiority designs and discuss its disadvantages. subsequently, we explain how bayes factors can be used to compare the relative plausibility of competing hypotheses. we present baymedr, an r package and web application, that provides user-friendly tools for the computation of bayes factors for superiority, equivalence, and non-inferiority designs. instructions on how to use baymedr are provided and an example illustrates how existing results can be reanalyzed with baymedr. conclusions: our baymedr r package and web application enable researchers to conduct bayesian superiority, equivalence, and non-inferiority tests. baymedr is characterized by a user-friendly implementation, making it convenient for researchers who are not statistical experts. using baymedr, it is possible to calculate bayes factors based on raw data and summary statistics.",-1
A Short Scale to Measure Self-Reported Aversive Personality in Political Elites,"{""In order to explain the behavior of political elites, research increasingly considers personality traits. Within this line of research, a recent focus is on socially aversive–yet non-pathological–personality traits (e.g., Machiavellianism, narcissism, psychopathy), with the idea to better understand behavior violating generally accepted ethical, moral, and social norms. Assessments of politicians’ aversive personality traits have so far been almost exclusively based on observer reports of experts and voters. Herein, by contrast, we introduce the Political Elites Aversive Personality Scale (“PEAPS”) particularly tailored to measure self-reported aversive personality among politicians. More precisely, based on two studies with German politicians, we develop a 6-item short scale comprising aspects of different socially aversive personality traits (Machiavellianism, narcissism, psychopathy, and spitefulness). The scale shows an acceptable model fit, an acceptable internal consistency, an acceptable measurement equivalence, and meaningful correlations with other (self-reported) psychological traits and campaign behavior. Moreover, the scale significantly contributes to the explanation of candidates’ negative campaigning, going beyond the explanatory power of models capturing broad, basic personality traits. Overall, the suggested scale provides interesting links to research in (political) psychology and can help to explain attitudes, behavior, and performance of political elites.""}",2023,Journal of Personality Assessment,,Psychiatry and Mental Health,Medicine,Health Sciences,BIO,2023,"in order to explain the behavior of political elites, research increasingly considers personality traits. within this line of research, a recent focus is on socially aversive–yet non-pathological–personality traits (e.g., machiavellianism, narcissism, psychopathy), with the idea to better understand behavior violating generally accepted ethical, moral, and social norms. assessments of politicians’ aversive personality traits have so far been almost exclusively based on observer reports of experts and voters. herein, by contrast, we introduce the political elites aversive personality scale (“peaps”) particularly tailored to measure self-reported aversive personality among politicians. more precisely, based on two studies with german politicians, we develop a 6-item short scale comprising aspects of different socially aversive personality traits (machiavellianism, narcissism, psychopathy, and spitefulness). the scale shows an acceptable model fit, an acceptable internal consistency, an acceptable measurement equivalence, and meaningful correlations with other (self-reported) psychological traits and campaign behavior. moreover, the scale significantly contributes to the explanation of candidates’ negative campaigning, going beyond the explanatory power of models capturing broad, basic personality traits. overall, the suggested scale provides interesting links to research in (political) psychology and can help to explain attitudes, behavior, and performance of political elites.",0
Advanced testing of the LoT hypothesis by social reasoning,"{""I elaborate on Quilty-Dunn et al.'s integration of the language-of-thought hypothesis in social reasoning by outlining two discrepancies between the experimental paradigms referred to by the authors and the social world: Self-referential projection and deliberate thinking in experiments. Robust tests of the hypothesis in social reasoning should include observational, natural, and cross-cultural approaches.""}",2023,Behavioral and Brain Sciences,,Behavioral Neuroscience,Neuroscience,Life Sciences,BIO,2023,"i elaborate on quilty-dunn et al.'s integration of the language-of-thought hypothesis in social reasoning by outlining two discrepancies between the experimental paradigms referred to by the authors and the social world: self-referential projection and deliberate thinking in experiments. robust tests of the hypothesis in social reasoning should include observational, natural, and cross-cultural approaches.",0
Comparison of Four Active SARS-CoV-2 Surveillance Strategies in Representative Population Sample Points: Two-Factor Factorial Randomized Controlled Trial,"{""Background: The COVID-19 pandemic is characterized by rapid increases in infection burden owing to the emergence of new variants with higher transmissibility and immune escape. To date, monitoring the COVID-19 pandemic has mainly relied on passive surveillance, yielding biased epidemiological measures owing to the disproportionate number of undetected asymptomatic cases. Active surveillance could provide accurate estimates of the true prevalence to forecast the evolution of the pandemic, enabling evidence-based decision-making. Objective: This study compared 4 different approaches of active SARS-CoV-2 surveillance focusing on feasibility and epidemiological outcomes. Methods: A 2-factor factorial randomized controlled trial was conducted in 2020 in a German district with 700,000 inhabitants. The epidemiological outcome comprised SARS-CoV-2 prevalence and its precision. The 4 study arms combined 2 factors: individuals versus households and direct testing versus testing conditioned on symptom prescreening. Individuals aged ≥7 years were eligible. Altogether, 27,908 addresses from 51 municipalities were randomly allocated to the arms and 15 consecutive recruitment weekdays. Data collection and logistics were highly digitized, and a website in 5 languages enabled low-barrier registration and tracking of results. Gargle sample collection kits were sent by post. Participants collected a gargle sample at home and mailed it to the laboratory. Samples were analyzed with reverse transcription loop-mediated isothermal amplification (RT-LAMP); positive and weak results were confirmed with real-time reverse transcription–polymerase chain reaction (RT-PCR). Results: Recruitment was conducted between November 18 and December 11, 2020. The response rates in the 4 arms varied between 34.31% (2340/6821) and 41.17% (2043/4962). The prescreening classified 16.61% (1207/7266) of the patients as COVID-19 symptomatic. Altogether, 4232 persons without prescreening and 7623 participating in the prescreening provided 5351 gargle samples, of which 5319 (99.4%) could be analyzed. This yielded 17 confirmed SARS-CoV-2 infections and a combined prevalence of 0.36% (95% CI 0.14%-0.59%) in the arms without prescreening and 0.05% (95% CI 0.00%-0.108%) in the arms with prescreening (initial contacts only). Specifically, we found a prevalence of 0.31% (95% CI 0.06%-0.58%) for individuals and 0.35% (95% CI 0.09%-0.61%) for households, and lower estimates with prescreening (0.07%, 95% CI 0.0%-0.15% for individuals and 0.02%, 95% CI 0.0%-0.06% for households). Asymptomatic infections occurred in 27% (3/11) of the positive cases with symptom data. The 2 arms without prescreening performed the best regarding effectiveness and accuracy. Conclusions: This study showed that postal mailing of gargle sample kits and returning home-based self-collected liquid gargle samples followed by high-sensitivity RT-LAMP analysis is a feasible way to conduct active SARS-CoV-2 population surveillance without burdening routine diagnostic testing. Efforts to improve participation rates and integration into the public health system may increase the potential to monitor the course of the pandemic.""}",2023,JMIR Public Health and Surveillance,"{""cluster sampling"",covid-19,effectiveness,multiarm,pandemic,""randomized controlled trial"",sars-cov-2,surveillance}",Health Informatics,Medicine,Health Sciences,BIO,2023,"background: the covid-19 pandemic is characterized by rapid increases in infection burden owing to the emergence of new variants with higher transmissibility and immune escape. to date, monitoring the covid-19 pandemic has mainly relied on passive surveillance, yielding biased epidemiological measures owing to the disproportionate number of undetected asymptomatic cases. active surveillance could provide accurate estimates of the true prevalence to forecast the evolution of the pandemic, enabling evidence-based decision-making. objective: this study compared 4 different approaches of active sars-cov-2 surveillance focusing on feasibility and epidemiological outcomes. methods: a 2-factor factorial randomized controlled trial was conducted in 2020 in a german district with 700,000 inhabitants. the epidemiological outcome comprised sars-cov-2 prevalence and its precision. the 4 study arms combined 2 factors: individuals versus households and direct testing versus testing conditioned on symptom prescreening. individuals aged ≥7 years were eligible. altogether, 27,908 addresses from 51 municipalities were randomly allocated to the arms and 15 consecutive recruitment weekdays. data collection and logistics were highly digitized, and a website in 5 languages enabled low-barrier registration and tracking of results. gargle sample collection kits were sent by post. participants collected a gargle sample at home and mailed it to the laboratory. samples were analyzed with reverse transcription loop-mediated isothermal amplification (rt-lamp); positive and weak results were confirmed with real-time reverse transcription–polymerase chain reaction (rt-pcr). results: recruitment was conducted between november 18 and december 11, 2020. the response rates in the 4 arms varied between 34.31% (2340/6821) and 41.17% (2043/4962). the prescreening classified 16.61% (1207/7266) of the patients as covid-19 symptomatic. altogether, 4232 persons without prescreening and 7623 participating in the prescreening provided 5351 gargle samples, of which 5319 (99.4%) could be analyzed. this yielded 17 confirmed sars-cov-2 infections and a combined prevalence of 0.36% (95% ci 0.14%-0.59%) in the arms without prescreening and 0.05% (95% ci 0.00%-0.108%) in the arms with prescreening (initial contacts only). specifically, we found a prevalence of 0.31% (95% ci 0.06%-0.58%) for individuals and 0.35% (95% ci 0.09%-0.61%) for households, and lower estimates with prescreening (0.07%, 95% ci 0.0%-0.15% for individuals and 0.02%, 95% ci 0.0%-0.06% for households). asymptomatic infections occurred in 27% (3/11) of the positive cases with symptom data. the 2 arms without prescreening performed the best regarding effectiveness and accuracy. conclusions: this study showed that postal mailing of gargle sample kits and returning home-based self-collected liquid gargle samples followed by high-sensitivity rt-lamp analysis is a feasible way to conduct active sars-cov-2 population surveillance without burdening routine diagnostic testing. efforts to improve participation rates and integration into the public health system may increase the potential to monitor the course of the pandemic.",0
Can patient-reported outcomes and inflammatory markers define endotype 2 in chronic rhinosinusitis without nasal polyps?,"{""Background: Chronic rhinosinusitis (CRS) is a heterogeneous disease at the clinical phenotype level (without nasal polyp [CRSsNP] vs with nasal polyp [CRSwNP]) and at the underlying inflammatory endotype level (type 2 vs non-type 2). Whether the endotype is associated with clinical presentation in patients with CRSsNP has yet to be explored in detail. Objective: To identify associations between endotypes and their clinical significance in patients with CRSsNP based on tissue interleukin-5 levels. Methods: A total of 104 patients with CRSsNP who underwent functional endoscopic sinus surgery between 2013 and 2017 were endotyped. We collected immunologic and clinical parameters and evaluated whether there were associations between the endotype and clinical features using Visual Analog Scale (VAS), Sino-Nasal Outcome Test—22 (SNOT-22), Sniffin’ Sticks test, Lund-Mackay CT score, and nasal endoscopy. Results: Mean tissue interleukin-5 levels were used to identify type 2 inflammation (non-type 2: 3.37 vs type 2: 191.98 pg/g tissue; P < .001). There were no significant clinical differences measured by patient-reported outcome measures between patients with type 2 CRSsNP and those with non-type 2 CRSsNP preoperatively. Type 2 and non-type 2 CRSsNP did not differentiate in CT score, Sniffin’ Sticks test, and nasal endoscopy. Postoperative SNOT-22 and VAS scores correlated well with each other (r = 0.75; P < .01). Postoperative VAS scores were in both groups significantly lower than before the operation (type 2: 5.07 vs 2.99; P < .01; non-type 2: 5.74 vs 3.22; P < .01), but not associated to the inflammatory subtype. Conclusion: The type of inflammation does not affect the symptoms, the computed tomography scan, or the postoperative results in CRSsNP in contrast to former findings in CRSwNP. Trial Registration: Belgian registration number (B.U.N.) No. B6702020000097.""}",2023,"Annals of Allergy, Asthma and Immunology",,Immunology and Allergy,Medicine,Health Sciences,BIO,2023,"background: chronic rhinosinusitis (crs) is a heterogeneous disease at the clinical phenotype level (without nasal polyp [crssnp] vs with nasal polyp [crswnp]) and at the underlying inflammatory endotype level (type 2 vs non-type 2). whether the endotype is associated with clinical presentation in patients with crssnp has yet to be explored in detail. objective: to identify associations between endotypes and their clinical significance in patients with crssnp based on tissue interleukin-5 levels. methods: a total of 104 patients with crssnp who underwent functional endoscopic sinus surgery between 2013 and 2017 were endotyped. we collected immunologic and clinical parameters and evaluated whether there were associations between the endotype and clinical features using visual analog scale (vas), sino-nasal outcome test—22 (snot-22), sniffin’ sticks test, lund-mackay ct score, and nasal endoscopy. results: mean tissue interleukin-5 levels were used to identify type 2 inflammation (non-type 2: 3.37 vs type 2: 191.98 pg/g tissue; p < .001). there were no significant clinical differences measured by patient-reported outcome measures between patients with type 2 crssnp and those with non-type 2 crssnp preoperatively. type 2 and non-type 2 crssnp did not differentiate in ct score, sniffin’ sticks test, and nasal endoscopy. postoperative snot-22 and vas scores correlated well with each other (r = 0.75; p < .01). postoperative vas scores were in both groups significantly lower than before the operation (type 2: 5.07 vs 2.99; p < .01; non-type 2: 5.74 vs 3.22; p < .01), but not associated to the inflammatory subtype. conclusion: the type of inflammation does not affect the symptoms, the computed tomography scan, or the postoperative results in crssnp in contrast to former findings in crswnp. trial registration: belgian registration number (b.u.n.) no. b6702020000097.",1
Similarity and the coordination of ownership,"{""We discuss and expand Boyer's idea of ownership coordination. Interpersonal similarity, we suggest, can moderate the attainment of coordination: Perceived similarity predicts coordination costs, whereas actual similarity dictates coordination success and the severity of illusory assumptions regarding a shared understanding of ownership. The example of similarity highlights the complexity of the social projection process uncritically assumed behind ownership coordination.""}",2023,Behavioral and Brain Sciences,,Behavioral Neuroscience,Neuroscience,Life Sciences,BIO,2023,"we discuss and expand boyer's idea of ownership coordination. interpersonal similarity, we suggest, can moderate the attainment of coordination: perceived similarity predicts coordination costs, whereas actual similarity dictates coordination success and the severity of illusory assumptions regarding a shared understanding of ownership. the example of similarity highlights the complexity of the social projection process uncritically assumed behind ownership coordination.",0
TSNN: A Topic and Structure Aware Neural Network for Rumor Detection,"{""Detecting rumors on social media and preventing its spread play a critical role for politics, economy, etc. Conventional studies mainly focus on exploiting the content or context of the source post, while they always ignore the rich topic information within the source post. To tackle this issue, in this paper, we propose a Topic and Structure Aware Neural Network (TSNN) for rumor detection. To be specific, we explore two kinds of topic signals, including a coarse-grained topic signal (i.e., topic credibility) and a fine-grained topic signal (i.e., latent topic representation), and tailor them to the task of rumor detection. Moreover, we introduce a new auxiliary task, i.e., topic credibility prediction, in order to effectively leverage the rich topic information within source posts. Finally, we develop a multi-task learning strategy that helps improve rumor detection performance by jointly learning the task of topic credibility prediction and user credibility prediction. Extensive experiments on three real-world datasets demonstrate that the proposed approach TSNN is superior to the state-of-the-art baseline methods.""}",2023,Neurocomputing,"{""multi-task learning"",""neural topic models"",""rumor detection"",""topic credibility""}",Cognitive Neuroscience,Neuroscience,Life Sciences,BIO,2023,"detecting rumors on social media and preventing its spread play a critical role for politics, economy, etc. conventional studies mainly focus on exploiting the content or context of the source post, while they always ignore the rich topic information within the source post. to tackle this issue, in this paper, we propose a topic and structure aware neural network (tsnn) for rumor detection. to be specific, we explore two kinds of topic signals, including a coarse-grained topic signal (i.e., topic credibility) and a fine-grained topic signal (i.e., latent topic representation), and tailor them to the task of rumor detection. moreover, we introduce a new auxiliary task, i.e., topic credibility prediction, in order to effectively leverage the rich topic information within source posts. finally, we develop a multi-task learning strategy that helps improve rumor detection performance by jointly learning the task of topic credibility prediction and user credibility prediction. extensive experiments on three real-world datasets demonstrate that the proposed approach tsnn is superior to the state-of-the-art baseline methods.",0
