title,abstract,year,source,keyword,middle_group,cluster,topic,topic_label,topic_prob
Comparison of Four Active SARS-CoV-2 Surveillance Strategies in Representative Population Sample Points: Two-Factor Factorial Randomized Controlled Trial,"{Background: The COVID-19 pandemic is characterized by rapid increases in infection burden owing to the emergence of new variants with higher transmissibility and immune escape. To date, monitoring the COVID-19 pandemic has mainly relied on passive surveillance, yielding biased epidemiological measures owing to the disproportionate number of undetected asymptomatic cases. Active surveillance could provide accurate estimates of the true prevalence to forecast the evolution of the pandemic, enabling evidence-based decision-making. Objective: This study compared 4 different approaches of active SARS-CoV-2 surveillance focusing on feasibility and epidemiological outcomes. Methods: A 2-factor factorial randomized controlled trial was conducted in 2020 in a German district with 700,000 inhabitants. The epidemiological outcome comprised SARS-CoV-2 prevalence and its precision. The 4 study arms combined 2 factors: individuals versus households and direct testing versus testing conditioned on symptom prescreening. Individuals aged ≥7 years were eligible. Altogether, 27,908 addresses from 51 municipalities were randomly allocated to the arms and 15 consecutive recruitment weekdays. Data collection and logistics were highly digitized, and a website in 5 languages enabled low-barrier registration and tracking of results. Gargle sample collection kits were sent by post. Participants collected a gargle sample at home and mailed it to the laboratory. Samples were analyzed with reverse transcription loop-mediated isothermal amplification (RT-LAMP); positive and weak results were confirmed with real-time reverse transcription–polymerase chain reaction (RT-PCR). Results: Recruitment was conducted between November 18 and December 11, 2020. The response rates in the 4 arms varied between 34.31% (2340/6821) and 41.17% (2043/4962). The prescreening classified 16.61% (1207/7266) of the patients as COVID-19 symptomatic. Altogether, 4232 persons without prescreening and 7623 participating in the prescreening provided 5351 gargle samples, of which 5319 (99.4%) could be analyzed. This yielded 17 confirmed SARS-CoV-2 infections and a combined prevalence of 0.36% (95% CI 0.14%-0.59%) in the arms without prescreening and 0.05% (95% CI 0.00%-0.108%) in the arms with prescreening (initial contacts only). Specifically, we found a prevalence of 0.31% (95% CI 0.06%-0.58%) for individuals and 0.35% (95% CI 0.09%-0.61%) for households, and lower estimates with prescreening (0.07%, 95% CI 0.0%-0.15% for individuals and 0.02%, 95% CI 0.0%-0.06% for households). Asymptomatic infections occurred in 27% (3/11) of the positive cases with symptom data. The 2 arms without prescreening performed the best regarding effectiveness and accuracy. Conclusions: This study showed that postal mailing of gargle sample kits and returning home-based self-collected liquid gargle samples followed by high-sensitivity RT-LAMP analysis is a feasible way to conduct active SARS-CoV-2 population surveillance without burdening routine diagnostic testing. Efforts to improve participation rates and integration into the public health system may increase the potential to monitor the course of the pandemic.}",2023,JMIR Public Health and Surveillance,"{cluster sampling,covid-19,effectiveness,multiarm,pandemic,randomized controlled trial,sars-cov-2,surveillance}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",1.0
Long-term analysis of prognostic risk factors impacting surgical outcomes in patients with external auditory canal carcinoma,"{Background: Malignant neoplasms of the external auditory canal (EAC) are rare. No consensus on management has emerged. Objective: To determine possible risk factors influencing tumorgenesis and prognosis of EAC carcinoma. Materials and methods: 108 patients (87 men/21 women) with an average age of 74 ± 13.8 years were recruited from 2005 to 2019 at Department of Otorhinolaryngology, Head and Neck Surgery Heidelberg. The follow-up interval was 43.62 ± 55.39 months. Partial and (sub)total ablative otis, supplementary surgery (petrosectomy, parotidectomy, neck dissection, mastoidectomy) and adjuvant radio(chemo)therapy belonged to treatment options. TNM status was determined at time of diagnosis using the AJCC staging system. Results: 63.9% of patients underwent a total ablative otis. Tumor recurrence was seen in 24.1%. The 1-year survival rate was 87%, the 5-year survival rate was 52%, the mean overall survival (OS) was 3.82 ± 4.6 years. Male EAC carcinoma patients had a better OS (p < 0.001), PFS (p < 0.001) and DSS (p = 0.02) than females. T1 patients had a better OS (p = 0.01), PFS (p = 0.01) and DSS (p < 0.001) than T4 patients. Lymph node but not distant metastasis, tumor grading, perineural, venous and lymphatic invasion, histology, age and tumor localization influenced the OS in EAC carcinoma patients (p = 0.04). The more radical the ablative otis, the worse the OS (p = 0.002), PFS (p = 0.02) and DSS (p < 0.001). Radio(chemo)therapy did not improve the OS. Conclusions: EAC carcinoma are difficult to treat and benefit from early diagnosis so that a radical combined treatment approach does not need to be used.}",2023,European Archives of Oto-Rhino-Laryngology,"{ablative otis,carcinoma of external auditory canal (eac),overall survival (os),prognostic risk factors}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",1.0
A Short Scale to Measure Self-Reported Aversive Personality in Political Elites,"{In order to explain the behavior of political elites, research increasingly considers personality traits. Within this line of research, a recent focus is on socially aversive–yet non-pathological–personality traits (e.g., Machiavellianism, narcissism, psychopathy), with the idea to better understand behavior violating generally accepted ethical, moral, and social norms. Assessments of politicians’ aversive personality traits have so far been almost exclusively based on observer reports of experts and voters. Herein, by contrast, we introduce the Political Elites Aversive Personality Scale (“PEAPS”) particularly tailored to measure self-reported aversive personality among politicians. More precisely, based on two studies with German politicians, we develop a 6-item short scale comprising aspects of different socially aversive personality traits (Machiavellianism, narcissism, psychopathy, and spitefulness). The scale shows an acceptable model fit, an acceptable internal consistency, an acceptable measurement equivalence, and meaningful correlations with other (self-reported) psychological traits and campaign behavior. Moreover, the scale significantly contributes to the explanation of candidates’ negative campaigning, going beyond the explanatory power of models capturing broad, basic personality traits. Overall, the suggested scale provides interesting links to research in (political) psychology and can help to explain attitudes, behavior, and performance of political elites.}",2023,Journal of Personality Assessment,,Medicine,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",0.8254580249117163
"baymedr: an R package and web application for the calculation of Bayes factors for superiority, equivalence, and non-inferiority designs","{Background: Clinical trials often seek to determine the superiority, equivalence, or non-inferiority of an experimental condition (e.g., a new drug) compared to a control condition (e.g., a placebo or an already existing drug). The use of frequentist statistical methods to analyze data for these types of designs is ubiquitous even though they have several limitations. Bayesian inference remedies many of these shortcomings and allows for intuitive interpretations, but are currently difficult to implement for the applied researcher. Results: We outline the frequentist conceptualization of superiority, equivalence, and non-inferiority designs and discuss its disadvantages. Subsequently, we explain how Bayes factors can be used to compare the relative plausibility of competing hypotheses. We present baymedr, an R package and web application, that provides user-friendly tools for the computation of Bayes factors for superiority, equivalence, and non-inferiority designs. Instructions on how to use baymedr are provided and an example illustrates how existing results can be reanalyzed with baymedr. Conclusions: Our baymedr R package and web application enable researchers to conduct Bayesian superiority, equivalence, and non-inferiority tests. baymedr is characterized by a user-friendly implementation, making it convenient for researchers who are not statistical experts. Using baymedr, it is possible to calculate Bayes factors based on raw data and summary statistics.}",2023,BMC Medical Research Methodology,"{bayes factor,baymedr,equivalence,non-inferiority,superiority}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",1.0
Advanced testing of the LoT hypothesis by social reasoning,"{I elaborate on Quilty-Dunn et al.'s integration of the language-of-thought hypothesis in social reasoning by outlining two discrepancies between the experimental paradigms referred to by the authors and the social world: Self-referential projection and deliberate thinking in experiments. Robust tests of the hypothesis in social reasoning should include observational, natural, and cross-cultural approaches.}",2023,Behavioral and Brain Sciences,,Neuroscience,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",1.0
Comparison of Four Active SARS-CoV-2 Surveillance Strategies in Representative Population Sample Points: Two-Factor Factorial Randomized Controlled Trial,"{Background: The COVID-19 pandemic is characterized by rapid increases in infection burden owing to the emergence of new variants with higher transmissibility and immune escape. To date, monitoring the COVID-19 pandemic has mainly relied on passive surveillance, yielding biased epidemiological measures owing to the disproportionate number of undetected asymptomatic cases. Active surveillance could provide accurate estimates of the true prevalence to forecast the evolution of the pandemic, enabling evidence-based decision-making. Objective: This study compared 4 different approaches of active SARS-CoV-2 surveillance focusing on feasibility and epidemiological outcomes. Methods: A 2-factor factorial randomized controlled trial was conducted in 2020 in a German district with 700,000 inhabitants. The epidemiological outcome comprised SARS-CoV-2 prevalence and its precision. The 4 study arms combined 2 factors: individuals versus households and direct testing versus testing conditioned on symptom prescreening. Individuals aged ≥7 years were eligible. Altogether, 27,908 addresses from 51 municipalities were randomly allocated to the arms and 15 consecutive recruitment weekdays. Data collection and logistics were highly digitized, and a website in 5 languages enabled low-barrier registration and tracking of results. Gargle sample collection kits were sent by post. Participants collected a gargle sample at home and mailed it to the laboratory. Samples were analyzed with reverse transcription loop-mediated isothermal amplification (RT-LAMP); positive and weak results were confirmed with real-time reverse transcription–polymerase chain reaction (RT-PCR). Results: Recruitment was conducted between November 18 and December 11, 2020. The response rates in the 4 arms varied between 34.31% (2340/6821) and 41.17% (2043/4962). The prescreening classified 16.61% (1207/7266) of the patients as COVID-19 symptomatic. Altogether, 4232 persons without prescreening and 7623 participating in the prescreening provided 5351 gargle samples, of which 5319 (99.4%) could be analyzed. This yielded 17 confirmed SARS-CoV-2 infections and a combined prevalence of 0.36% (95% CI 0.14%-0.59%) in the arms without prescreening and 0.05% (95% CI 0.00%-0.108%) in the arms with prescreening (initial contacts only). Specifically, we found a prevalence of 0.31% (95% CI 0.06%-0.58%) for individuals and 0.35% (95% CI 0.09%-0.61%) for households, and lower estimates with prescreening (0.07%, 95% CI 0.0%-0.15% for individuals and 0.02%, 95% CI 0.0%-0.06% for households). Asymptomatic infections occurred in 27% (3/11) of the positive cases with symptom data. The 2 arms without prescreening performed the best regarding effectiveness and accuracy. Conclusions: This study showed that postal mailing of gargle sample kits and returning home-based self-collected liquid gargle samples followed by high-sensitivity RT-LAMP analysis is a feasible way to conduct active SARS-CoV-2 population surveillance without burdening routine diagnostic testing. Efforts to improve participation rates and integration into the public health system may increase the potential to monitor the course of the pandemic.}",2023,JMIR Public Health and Surveillance,"{cluster sampling,covid-19,effectiveness,multiarm,pandemic,randomized controlled trial,sars-cov-2,surveillance}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",1.0
Can patient-reported outcomes and inflammatory markers define endotype 2 in chronic rhinosinusitis without nasal polyps?,"{Background: Chronic rhinosinusitis (CRS) is a heterogeneous disease at the clinical phenotype level (without nasal polyp [CRSsNP] vs with nasal polyp [CRSwNP]) and at the underlying inflammatory endotype level (type 2 vs non-type 2). Whether the endotype is associated with clinical presentation in patients with CRSsNP has yet to be explored in detail. Objective: To identify associations between endotypes and their clinical significance in patients with CRSsNP based on tissue interleukin-5 levels. Methods: A total of 104 patients with CRSsNP who underwent functional endoscopic sinus surgery between 2013 and 2017 were endotyped. We collected immunologic and clinical parameters and evaluated whether there were associations between the endotype and clinical features using Visual Analog Scale (VAS), Sino-Nasal Outcome Test—22 (SNOT-22), Sniffin’ Sticks test, Lund-Mackay CT score, and nasal endoscopy. Results: Mean tissue interleukin-5 levels were used to identify type 2 inflammation (non-type 2: 3.37 vs type 2: 191.98 pg/g tissue; P < .001). There were no significant clinical differences measured by patient-reported outcome measures between patients with type 2 CRSsNP and those with non-type 2 CRSsNP preoperatively. Type 2 and non-type 2 CRSsNP did not differentiate in CT score, Sniffin’ Sticks test, and nasal endoscopy. Postoperative SNOT-22 and VAS scores correlated well with each other (r = 0.75; P < .01). Postoperative VAS scores were in both groups significantly lower than before the operation (type 2: 5.07 vs 2.99; P < .01; non-type 2: 5.74 vs 3.22; P < .01), but not associated to the inflammatory subtype. Conclusion: The type of inflammation does not affect the symptoms, the computed tomography scan, or the postoperative results in CRSsNP in contrast to former findings in CRSwNP. Trial Registration: Belgian registration number (B.U.N.) No. B6702020000097.}",2023,"Annals of Allergy, Asthma and Immunology",,Medicine,BIO,-1,"sport, snot, chronic rhinosinusitis, type crssnp, tissue",0.5862957913691936
Does a tonsillectomy indicated according to the German S2k guideline affect short-term quality of life in adults?,"{Background: Tonsillectomy (TE) for recurrent tonsillitis (RT) is one of the most common surgical interventions. Since 2015, the indication criteria for TE have become much stricter (German S2k guideline). Patient-reported outcome measures (PROMs) of short-term quality of life (QoL) after TE have not yet been investigated. Purpose: To clarify if stringent indication for TE will better identify patients worthy of surgery and patients’ QoL. Methods: We prospectively studied the Tonsillectomy Outcome Inventory 14 (TOI-14) responses of 38 RT-patients recruited according to the S2k guideline in 2020 and compared their TOI-14 scores with those of a historical RT cohort from 2006 to 2008 and with a healthy middle-European cohort. New RT patients were assessed before, 2, 4, and 14 days and 6 months after TE. TOI-14 was measured as total and as disease-specific score. Results: From pre- to 6-month postoperative, patients’ QoL was significantly different, measured by TOI-14 (49.92 vs. 6.35; p < 0.001) and disease-specific score (60.35 vs. 9.9; p < 0.001). Preoperative disease-specific score was not different from that of the 2nd and 4th postoperative days but from the 14th postoperative day (60.35 vs. 29.26; p < 0.001). The historical cohort had significantly less RT complaints than the new cohort beforehand, but more dissatisfaction in QoL after TE. New TE patients had worse QoL pre- (49.92 vs. 11.78; p < 0.001) but more QoL postoperatively (6.34 vs. 11.78; p = 0.004) than healthy individuals. Conclusions: Our results show that the tightening of the indication criteria for TE was justified and that TE patients significantly benefit from this surgery from day 14.}",2023,European Archives of Oto-Rhino-Laryngology,"{german s2k guideline,quality of life (qol),recurrent tonsillitis (rt),tonsillectomy,tonsillectomy outcome inventory 14 (toi-14)}",Medicine,BIO,1,"neck, baymedr, cup, prescreening, equivalence non inferiority",1.0
Similarity and the coordination of ownership,"{We discuss and expand Boyer's idea of ownership coordination. Interpersonal similarity, we suggest, can moderate the attainment of coordination: Perceived similarity predicts coordination costs, whereas actual similarity dictates coordination success and the severity of illusory assumptions regarding a shared understanding of ownership. The example of similarity highlights the complexity of the social projection process uncritically assumed behind ownership coordination.}",2023,Behavioral and Brain Sciences,,Neuroscience,BIO,0,"german, uncertainty, childhood, psychotherapy, life expectancy",1.0
Can patient-reported outcomes and inflammatory markers define endotype 2 in chronic rhinosinusitis without nasal polyps?,"{Background: Chronic rhinosinusitis (CRS) is a heterogeneous disease at the clinical phenotype level (without nasal polyp [CRSsNP] vs with nasal polyp [CRSwNP]) and at the underlying inflammatory endotype level (type 2 vs non-type 2). Whether the endotype is associated with clinical presentation in patients with CRSsNP has yet to be explored in detail. Objective: To identify associations between endotypes and their clinical significance in patients with CRSsNP based on tissue interleukin-5 levels. Methods: A total of 104 patients with CRSsNP who underwent functional endoscopic sinus surgery between 2013 and 2017 were endotyped. We collected immunologic and clinical parameters and evaluated whether there were associations between the endotype and clinical features using Visual Analog Scale (VAS), Sino-Nasal Outcome Test—22 (SNOT-22), Sniffin’ Sticks test, Lund-Mackay CT score, and nasal endoscopy. Results: Mean tissue interleukin-5 levels were used to identify type 2 inflammation (non-type 2: 3.37 vs type 2: 191.98 pg/g tissue; P < .001). There were no significant clinical differences measured by patient-reported outcome measures between patients with type 2 CRSsNP and those with non-type 2 CRSsNP preoperatively. Type 2 and non-type 2 CRSsNP did not differentiate in CT score, Sniffin’ Sticks test, and nasal endoscopy. Postoperative SNOT-22 and VAS scores correlated well with each other (r = 0.75; P < .01). Postoperative VAS scores were in both groups significantly lower than before the operation (type 2: 5.07 vs 2.99; P < .01; non-type 2: 5.74 vs 3.22; P < .01), but not associated to the inflammatory subtype. Conclusion: The type of inflammation does not affect the symptoms, the computed tomography scan, or the postoperative results in CRSsNP in contrast to former findings in CRSwNP. Trial Registration: Belgian registration number (B.U.N.) No. B6702020000097.}",2023,"Annals of Allergy, Asthma and Immunology",,Medicine,BIO,-1,"sport, snot, chronic rhinosinusitis, type crssnp, tissue",0.5158103709067231
