Topic,Words,Frequency,Timestamp
-1,"women, prevalence, germany, test, selection",4,2023
0,"influence, willingness, self reported, germany, adults",9,2023
1,"levels, registration, trial, groups, probability",6,2023
2,"prevalence, rates, combined, recruitment, randomized controlled trial",2,2023
-1,"social media, context, women, germany, tests",5,2024
0,"satisfaction, framework, measure, germany, self reported",7,2024
1,"type, quality, questionnaire, effects, randomized controlled",2,2024
2,"germany, willingness, mortality, 2019, rates",3,2024
-1,"trial, germany, prevalence, willingness, focus",6,2025
0,"languages, models used, recruitment, political, satisfaction",3,2025
1,"patients, risk, registration, levels, protocol",3,2025
2,"prevalence, germany, gender, questionnaire, 2019",5,2025
