title,abstract,year,source,keyword,class_name,middle_group,subject_area,cluster,year_raw,clean_text,topic,topic_prob,topic_label
Toward the Multilingual Semantic Web: Multilingual Ontology Matching and Assessment,"{The amount of multilingual data on the Web proliferates; therefore, developing ontologies in various natural languages is attracting considerable attention. In order to achieve semantic interoperability for the multilingual Web, cross-lingual ontology matching techniques are highly required. This paper proposes a Multilingual Ontology Matching (MoMatch) approach for matching ontologies in different natural languages. MoMatch uses machine translation and various string similarity techniques to identify correspondences across different ontologies. Furthermore, we propose a Quality Assessment Suite for Ontologies (QASO) that comprises 14 metrics, out of which seven metrics are used to assess the quality of the matching process and seven metrics are used to evaluate the quality of the ontology. We present an in-depth comparison of different string similarity techniques across various languages to get the most effective similarity measure(s) between multilingual terms. To illustrate the applicability of our approach and how it can be used in different domains, we present two use cases. MoMatch has been implemented using Scala and Apache Spark under an open-source license. We have compared our results with the results from the Ontology Alignment Evaluation Initiative (OAEI 2020). MoMatch has achieved significantly high precision, recall, and F-measure compared to five state-of-the-art matching approaches.}",2023,IEEE Access,"{cross-lingual matching,knowledge management,multilingual web,ontology engineering,ontology matching,string similarity}",Computer Science (all),,,OTHER,2023,"toward the multilingual semantic web: multilingual ontology matching and assessment {the amount of multilingual data on the web proliferates; therefore, developing ontologies in various natural languages is attracting considerable attention. in order to achieve semantic interoperability for the multilingual web, cross-lingual ontology matching techniques are highly required. this paper proposes a multilingual ontology matching (momatch) approach for matching ontologies in different natural languages. momatch uses machine translation and various string similarity techniques to identify correspondences across different ontologies. furthermore, we propose a quality assessment suite for ontologies (qaso) that comprises 14 metrics, out of which seven metrics are used to assess the quality of the matching process and seven metrics are used to evaluate the quality of the ontology. we present an in-depth comparison of different string similarity techniques across various languages to get the most effective similarity measure(s) between multilingual terms. to illustrate the applicability of our approach and how it can be used in different domains, we present two use cases. momatch has been implemented using scala and apache spark under an open-source license. we have compared our results with the results from the ontology alignment evaluation initiative (oaei 2020). momatch has achieved significantly high precision, recall, and f-measure compared to five state-of-the-art matching approaches.} {cross-lingual matching,knowledge management,multilingual web,ontology engineering,ontology matching,string similarity} {cross-lingual matching,knowledge management,multilingual web,ontology engineering,ontology matching,string similarity}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Diving into Knowledge Graphs for Patents: Open Challenges and Benefits,"{Textual documents are the means of sharing information and preserving knowledge for a large variety of domains. The patent domain is also using such a paradigm which is becoming difficult to maintain and is limiting the potentialities of using advanced AI systems for domain analysis. To overcome this issue, it is more and more frequent to find approaches to transform textual representations into Knowledge Graphs (KGs). In this position paper, we discuss KGs within the patent domain, present its challenges, and envision the benefits of such technologies for this domain. In addition, this paper provides insights of such KGs by reproducing an existing pipeline to create KGs and applying it to patents in the computer science domain.}",2023,CEUR Workshop Proceedings,"{intellectual property,knowledge graph,patent domain}",Computer Science (all),,,OTHER,2023,"diving into knowledge graphs for patents: open challenges and benefits {textual documents are the means of sharing information and preserving knowledge for a large variety of domains. the patent domain is also using such a paradigm which is becoming difficult to maintain and is limiting the potentialities of using advanced ai systems for domain analysis. to overcome this issue, it is more and more frequent to find approaches to transform textual representations into knowledge graphs (kgs). in this position paper, we discuss kgs within the patent domain, present its challenges, and envision the benefits of such technologies for this domain. in addition, this paper provides insights of such kgs by reproducing an existing pipeline to create kgs and applying it to patents in the computer science domain.} {intellectual property,knowledge graph,patent domain} {intellectual property,knowledge graph,patent domain}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
"State, Education, and Violence: Reclaiming the Social Contract","{Education remains a significant space of contention in the Maoist conflict zone, in which the popular policy discourse on widening access to and ensuring equitable education encounters several challenges. This paper argues that in the popular discourse for development in the LWE regions, educational access, quality, expansion, and accountability need to pay more attention. The spread of education remains far low in the region with inadequate school infrastructure, low quality of teachers, lack of education accountability structures, and even an overall low aspiration for education fuelled by the established low credentials of educational progress. The paper argues that insurgent groups find school buildings as the only government space in remote areas for their ‘soft targets.' The bombing of school buildings ended the prospects for education in the community and created constant fear among the people. Moreover, the occupation by the security forces of the school buildings has damaged normal educational processes. In both cases, education institutions remain a soft target, a space where the outcome of a constant crossfire between security and Maoists is aggravated into the normal educational processes. This chapter highlights some popular discourses on security and development where the discursive and policy space for education is shrinking. The paper highlights policy suggestions that emphasize the importance of education, which, if visualized and appropriately implemented, can help reverse the trend of conflict and underdevelopment in the region.}",2023,"Maoist Insurgency, State and People: Overlooked Issues and Unaddressed Grievances",,Social Sciences (all),,,OTHER,2023,"state, education, and violence: reclaiming the social contract {education remains a significant space of contention in the maoist conflict zone, in which the popular policy discourse on widening access to and ensuring equitable education encounters several challenges. this paper argues that in the popular discourse for development in the lwe regions, educational access, quality, expansion, and accountability need to pay more attention. the spread of education remains far low in the region with inadequate school infrastructure, low quality of teachers, lack of education accountability structures, and even an overall low aspiration for education fuelled by the established low credentials of educational progress. the paper argues that insurgent groups find school buildings as the only government space in remote areas for their ‘soft targets.' the bombing of school buildings ended the prospects for education in the community and created constant fear among the people. moreover, the occupation by the security forces of the school buildings has damaged normal educational processes. in both cases, education institutions remain a soft target, a space where the outcome of a constant crossfire between security and maoists is aggravated into the normal educational processes. this chapter highlights some popular discourses on security and development where the discursive and policy space for education is shrinking. the paper highlights policy suggestions that emphasize the importance of education, which, if visualized and appropriately implemented, can help reverse the trend of conflict and underdevelopment in the region.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Toward the Multilingual Semantic Web: Multilingual Ontology Matching and Assessment,"{The amount of multilingual data on the Web proliferates; therefore, developing ontologies in various natural languages is attracting considerable attention. In order to achieve semantic interoperability for the multilingual Web, cross-lingual ontology matching techniques are highly required. This paper proposes a Multilingual Ontology Matching (MoMatch) approach for matching ontologies in different natural languages. MoMatch uses machine translation and various string similarity techniques to identify correspondences across different ontologies. Furthermore, we propose a Quality Assessment Suite for Ontologies (QASO) that comprises 14 metrics, out of which seven metrics are used to assess the quality of the matching process and seven metrics are used to evaluate the quality of the ontology. We present an in-depth comparison of different string similarity techniques across various languages to get the most effective similarity measure(s) between multilingual terms. To illustrate the applicability of our approach and how it can be used in different domains, we present two use cases. MoMatch has been implemented using Scala and Apache Spark under an open-source license. We have compared our results with the results from the Ontology Alignment Evaluation Initiative (OAEI 2020). MoMatch has achieved significantly high precision, recall, and F-measure compared to five state-of-the-art matching approaches.}",2023,IEEE Access,"{cross-lingual matching,knowledge management,multilingual web,ontology engineering,ontology matching,string similarity}",Engineering (all),,,OTHER,2023,"toward the multilingual semantic web: multilingual ontology matching and assessment {the amount of multilingual data on the web proliferates; therefore, developing ontologies in various natural languages is attracting considerable attention. in order to achieve semantic interoperability for the multilingual web, cross-lingual ontology matching techniques are highly required. this paper proposes a multilingual ontology matching (momatch) approach for matching ontologies in different natural languages. momatch uses machine translation and various string similarity techniques to identify correspondences across different ontologies. furthermore, we propose a quality assessment suite for ontologies (qaso) that comprises 14 metrics, out of which seven metrics are used to assess the quality of the matching process and seven metrics are used to evaluate the quality of the ontology. we present an in-depth comparison of different string similarity techniques across various languages to get the most effective similarity measure(s) between multilingual terms. to illustrate the applicability of our approach and how it can be used in different domains, we present two use cases. momatch has been implemented using scala and apache spark under an open-source license. we have compared our results with the results from the ontology alignment evaluation initiative (oaei 2020). momatch has achieved significantly high precision, recall, and f-measure compared to five state-of-the-art matching approaches.} {cross-lingual matching,knowledge management,multilingual web,ontology engineering,ontology matching,string similarity} {cross-lingual matching,knowledge management,multilingual web,ontology engineering,ontology matching,string similarity}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Insider stories: analyzing internal sustainability efforts of major US companies from online reviews,"{It is hard to establish whether a company supports internal sustainability efforts (ISEs) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. We developed and validated a six-dimension framework reflecting Internal Sustainability Efforts (ISEs), gathered more than 350K employee reviews of 104 major companies across the whole US for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ISEs. Commitment to ISEs manifested itself at the micro-level—companies scoring high in ISEs enjoyed high stock growth. This new conceptualization of ISEs offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. To further explore these implications, researchers need to add potentially missing ISEs, to do so for more companies, and establish the causal relationship between company success and ISEs.}",2023,Humanities and Social Sciences Communications,,Arts and Humanities (all),,,OTHER,2023,"insider stories: analyzing internal sustainability efforts of major us companies from online reviews {it is hard to establish whether a company supports internal sustainability efforts (ises) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. we developed and validated a six-dimension framework reflecting internal sustainability efforts (ises), gathered more than 350k employee reviews of 104 major companies across the whole us for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ises. commitment to ises manifested itself at the micro-level—companies scoring high in ises enjoyed high stock growth. this new conceptualization of ises offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. to further explore these implications, researchers need to add potentially missing ises, to do so for more companies, and establish the causal relationship between company success and ises.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
rang: Reconstructing reproducible R computational environments,"{A complete declarative description of the computational environment is usually missing when researchers share their materials. Without such description, software obsolescence and missing system components can jeopardize computational reproducibility in the future, even when data and computer code are available. The R package rang is a complete solution for generating the declarative description for other researchers to automatically reconstruct the computational environment at a specific time point. The reconstruction process, based on Docker, has been tested for R code as old as 2001. The declarative description generated by rang satisfies the definition of a reproducible research compendium and can be shared as such. In this contribution, we show how rang can be used to make otherwise unexecutable code, spanning fields such as computational social science and bioinformatics, executable again. We also provide instructions on how to use rang to construct reproducible and shareable research compendia of current research. The package is currently available from CRAN (https://cran.r-project.org/web/packages/rang/index.html) and GitHub (https://github.com/chainsawriot/rang).}",2023,PLoS ONE,,Multidisciplinary,Multidisciplinary,Multidisciplinary,OTHER,2023,"rang: reconstructing reproducible r computational environments {a complete declarative description of the computational environment is usually missing when researchers share their materials. without such description, software obsolescence and missing system components can jeopardize computational reproducibility in the future, even when data and computer code are available. the r package rang is a complete solution for generating the declarative description for other researchers to automatically reconstruct the computational environment at a specific time point. the reconstruction process, based on docker, has been tested for r code as old as 2001. the declarative description generated by rang satisfies the definition of a reproducible research compendium and can be shared as such. in this contribution, we show how rang can be used to make otherwise unexecutable code, spanning fields such as computational social science and bioinformatics, executable again. we also provide instructions on how to use rang to construct reproducible and shareable research compendia of current research. the package is currently available from cran (https://cran.r-project.org/web/packages/rang/index.html) and github (https://github.com/chainsawriot/rang).}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
PADME-SoSci: A Platform for Analytics and Distributed Machine Learning for the Social Sciences,"{Data privacy and ownership are significant in social data science, raising legal and ethical concerns. Sharing and analyzing data is difficult when different parties own different parts of it. An approach to this challenge is to apply de-identification or anonymization techniques to the data before collecting it for analysis. However, this can reduce data utility and increase the risk of re-identification. To address these limitations, we present PADME-SoSci, a distributed analytics tool that federates model implementation and training. PADME-SoSci uses a federated approach where the model is implemented and deployed by all parties and visits each data location incrementally for training. This enables the analysis of data across locations while still allowing the model to be trained as if all data were in a single location. Training the model on data in its original location preserves data ownership. Furthermore, the results are not provided until the analysis is completed on all data locations to ensure privacy and avoid bias in the results.}",2023,Proceedings of the ACM/IEEE Joint Conference on Digital Libraries,"{data privacy,data science,distributed analytics,social sciences}",Engineering (all),,,OTHER,2023,"padme-sosci: a platform for analytics and distributed machine learning for the social sciences {data privacy and ownership are significant in social data science, raising legal and ethical concerns. sharing and analyzing data is difficult when different parties own different parts of it. an approach to this challenge is to apply de-identification or anonymization techniques to the data before collecting it for analysis. however, this can reduce data utility and increase the risk of re-identification. to address these limitations, we present padme-sosci, a distributed analytics tool that federates model implementation and training. padme-sosci uses a federated approach where the model is implemented and deployed by all parties and visits each data location incrementally for training. this enables the analysis of data across locations while still allowing the model to be trained as if all data were in a single location. training the model on data in its original location preserves data ownership. furthermore, the results are not provided until the analysis is completed on all data locations to ensure privacy and avoid bias in the results.} {data privacy,data science,distributed analytics,social sciences} {data privacy,data science,distributed analytics,social sciences}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Measuring Six Facets of Curiosity in Germany and the UK: A German-Language Adaptation of the 5DCR and Its Comparability with the English-Language Source Version,"{The five-dimensional curiosity-scale revised (5DCR) by Kashdan et al. (2020) is the most comprehensive curiosity inventory available to date. 5DCR measures six facets of curiosity with four items each. Here, we present a German-language adaptation of the 5DCR and comprehensively validate this adaptation in a diverse sample of adults from Germany (N = 486). Moreover, we provide new evidence on the original English-language 5DCR in a parallel sample from the UK (N = 483). In both countries, we investigate the six facets' reliability, factorial validity, and convergent and discriminant validity with a large set of individual-differences constructs. In addition, we analyze the measurement invariance of the curiosity facets across the UK and Germany and across socio-demographic subgroups defined by age, sex, and education. Findings demonstrate that the new German-language adaptation of 5DCR and its English-language source version show psychometric properties similar to the original studies by Kashdan et al. (2020) in the United States. All six curiosity facets reach at least partial scalar invariance across cultures, sex, education, and mostly also across age groups. The findings support the six-faceted theory of curiosity and show that 5DCR allows for a valid assessment of curiosity across cultures.}",2023,Journal of Personality Assessment,,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,OTHER,2023,"measuring six facets of curiosity in germany and the uk: a german-language adaptation of the 5dcr and its comparability with the english-language source version {the five-dimensional curiosity-scale revised (5dcr) by kashdan et al. (2020) is the most comprehensive curiosity inventory available to date. 5dcr measures six facets of curiosity with four items each. here, we present a german-language adaptation of the 5dcr and comprehensively validate this adaptation in a diverse sample of adults from germany (n = 486). moreover, we provide new evidence on the original english-language 5dcr in a parallel sample from the uk (n = 483). in both countries, we investigate the six facets' reliability, factorial validity, and convergent and discriminant validity with a large set of individual-differences constructs. in addition, we analyze the measurement invariance of the curiosity facets across the uk and germany and across socio-demographic subgroups defined by age, sex, and education. findings demonstrate that the new german-language adaptation of 5dcr and its english-language source version show psychometric properties similar to the original studies by kashdan et al. (2020) in the united states. all six curiosity facets reach at least partial scalar invariance across cultures, sex, education, and mostly also across age groups. the findings support the six-faceted theory of curiosity and show that 5dcr allows for a valid assessment of curiosity across cultures.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Truth or Dare: Investigating Claims Truthfulness with ClaimsKG,"{Searching and exploring online information is fundamental for our society. However, it is common to find inaccurate information on the Internet, that can quickly spread and be hard to identify. Fortunately, today, many fact-checking sources verify online information to provide online users with a means to recognize its truthfulness. These sources use different languages and scoring systems, which makes fact validation challenging and time-consuming. To address this issue, we propose a new release of ClaimsKG, a knowledge graph of about 59,580 claims, which covers 13 different fact-checking sources and provides a structured way to retrieve verified online claims. ClaimsKG is built using a pipeline that makes use of entity linking and disambiguation tools to fetch entities from DBpedia and an ad-hoc scoring normalization system. ClaimsKG is used as a showcase to provide the public with interesting and verified information about events of our times.}",2023,CEUR Workshop Proceedings,"{claims,entity-fishing,fact-checking,knowledge graph,rdf}",Computer Science (all),,,OTHER,2023,"truth or dare: investigating claims truthfulness with claimskg {searching and exploring online information is fundamental for our society. however, it is common to find inaccurate information on the internet, that can quickly spread and be hard to identify. fortunately, today, many fact-checking sources verify online information to provide online users with a means to recognize its truthfulness. these sources use different languages and scoring systems, which makes fact validation challenging and time-consuming. to address this issue, we propose a new release of claimskg, a knowledge graph of about 59,580 claims, which covers 13 different fact-checking sources and provides a structured way to retrieve verified online claims. claimskg is built using a pipeline that makes use of entity linking and disambiguation tools to fetch entities from dbpedia and an ad-hoc scoring normalization system. claimskg is used as a showcase to provide the public with interesting and verified information about events of our times.} {claims,entity-fishing,fact-checking,knowledge graph,rdf} {claims,entity-fishing,fact-checking,knowledge graph,rdf}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
Insider stories: analyzing internal sustainability efforts of major US companies from online reviews,"{It is hard to establish whether a company supports internal sustainability efforts (ISEs) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. We developed and validated a six-dimension framework reflecting Internal Sustainability Efforts (ISEs), gathered more than 350K employee reviews of 104 major companies across the whole US for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ISEs. Commitment to ISEs manifested itself at the micro-level—companies scoring high in ISEs enjoyed high stock growth. This new conceptualization of ISEs offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. To further explore these implications, researchers need to add potentially missing ISEs, to do so for more companies, and establish the causal relationship between company success and ISEs.}",2023,Humanities and Social Sciences Communications,,Social Sciences (all),,,OTHER,2023,"insider stories: analyzing internal sustainability efforts of major us companies from online reviews {it is hard to establish whether a company supports internal sustainability efforts (ises) like gender equality, diversity, and general staff welfare, not least because of a lack of methodologies operationalizing these internal sustainability practices, and of data honestly documenting such efforts. we developed and validated a six-dimension framework reflecting internal sustainability efforts (ises), gathered more than 350k employee reviews of 104 major companies across the whole us for the (2008-2020) years, and developed a deep-learning framework scoring these reviews in terms of the six ises. commitment to ises manifested itself at the micro-level—companies scoring high in ises enjoyed high stock growth. this new conceptualization of ises offers both theoretical implications for the literature on corporate sustainability and practical implications for companies and policy makers. to further explore these implications, researchers need to add potentially missing ises, to do so for more companies, and establish the causal relationship between company success and ises.}",-1,0.0,"germany, ontology, marriage, networks, multilingual"
