Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,LLM_Label,LLM_Labels
56,panel_web_media_germany_attitudes,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",53,mixed mode_probability based_internet_questionnaire_waves,55,political_gender_germany_differences_social media,1.3868884311361662,comparative political and survey research,"comparative political and survey research; mixed-mode and online data collection; media, polarization, and public opinion"
55,political_gender_germany_differences_social media,"[0, 1, 2, 3, 4, 5, 9, 10, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",54,political_germany_differences_social media_search,35,covid 19 pandemic_beliefs_risk_european_children,1.293805240504618,political attitudes and discourse,political attitudes and discourse; computational methods in social science; survey research and measurement
54,political_germany_differences_social media_search,"[0, 1, 2, 3, 4, 5, 9, 12, 13, 14, 16, 18, 19, 20, 21, 22, 24, 26, 27]",50,large_machine learning_language models_social media_llms,52,germany_differences_identity_election_social media,1.107371534952927,computational social science methods,computational social science methods; digital trace data analysis; social and political behavior
53,mixed mode_probability based_internet_questionnaire_waves,"[6, 7, 8, 11, 15, 17, 28]",34,probability based_internet_face_waves_mixed mode panel,44,web_questionnaire_comparability_closed_split,1.058247768822092,mixed-mode panel survey methodology,mixed-mode panel survey methodology; online panel recruitment strategies; survey data quality and pretesting
52,germany_differences_identity_election_social media,"[0, 2, 3, 4, 5, 12, 13, 16, 18, 19, 22, 24, 26]",48,germany_attitudes_inequality_migration_vote,51,social media_polarization_detection_election_trust,1.004902405984908,survey-based social science research,survey-based social science research; digital society and political behavior; measurement and attitudes in Germany
51,social media_polarization_detection_election_trust,"[2, 4, 5, 18, 22, 24, 26]",40,facebook_political_reliability_tracking_search engines,49,privacy_polarization_political_social media_misinformation,0.9838086455688932,digital trace data in politics,digital trace data in politics; online media and political attitudes; web tracking and political discourse
50,large_machine learning_language models_social media_llms,"[1, 9, 14, 20, 21, 27]",47,fit_networks_real world_correlation_images,45,machine learning_llms_large language models_social media_authors,0.9792315791298172,computational methods in social science,computational methods in social science; large language models in research; argument quality and reproducibility
49,privacy_polarization_political_social media_misinformation,"[4, 5, 22, 26]",43,polarization_social media_campaigning_misinformation_security,22,voting_immigration_media_right wing_individual level,0.9170902455723308,political discourse and media trust,political discourse and media trust; social media and polarization; election campaigns and misinformation
48,germany_attitudes_inequality_migration_vote,"[0, 3, 12, 13, 16, 19]",46,differences_germany_personality_migration_elections,42,digital_frameworks_social science_german_measurement invariance,0.909091066528836,social change and inequality,"social change and inequality; migration, gender, and identity; digitalization and survey measurement"
47,fit_networks_real world_correlation_images,"[21, 27]",27,family_network_italy_united states_correlation,21,modeling_detection_correlation_gender_depth,0.897508788697719,similarity and bias in networks,similarity and bias in networks; family and social network analysis; model fit and detection methods
46,differences_germany_personality_migration_elections,"[0, 3, 13, 16]",37,germany_differences_personality_migration_election,13,gender_organizations_europe_inclusion_measurement,0.8802912328897301,Social Attitudes and Group Differences,"Social Attitudes and Group Differences; Gender, Migration, and Political Behavior; Survey Research on Social Inclusion"
45,machine learning_llms_large language models_social media_authors,"[1, 9, 14, 20]",14,arguments_quality_mining_language model_artificial intelligence,39,machine learning_language models_social media_large_open science,0.8638281104197166,computational methods in social science,computational methods in social science; large language models in research; argument mining and open science
44,web_questionnaire_comparability_closed_split,"[11, 15, 17, 28]",41,web_closed_comparability_reduction_questionnaire,38,version_machine_questionnaire_text_comparability,0.8435821078452911,survey translation and comparability,survey translation and comparability; questionnaire design and response quality; web survey methodology innovations
43,polarization_social media_campaigning_misinformation_security,"[4, 5, 26]",26,discourse_social media_polarization_scenarios_election,31,privacy_polarization_journalism_misinformation_candidate,0.8025057716675634,media trust and polarization,media trust and polarization; social media and political discourse; misinformation and news consumption
42,digital_frameworks_social science_german_measurement invariance,"[12, 19]",12,digital_frameworks_social science_measurement invariance_error,19,chapter_processes_germany_changes_political attitudes,0.7767738099516959,digital data quality in social research,digital data quality in social research; German unification and social transformation; measurement invariance in comparative studies
41,web_closed_comparability_reduction_questionnaire,"[11, 15]",11,comparability_big_governance_personality traits_level,15,closed_quality_pretesting_coding_interviewing,0.7590578775863098,survey methodology and data quality,survey methodology and data quality; questionnaire design and pretesting; comparability and harmonization in surveys
40,facebook_political_reliability_tracking_search engines,"[2, 18, 24]",24,search engines_performance_open science_political science_2021,36,facebook_reliability_web browsing_political_tracking,0.7514237553218356,digital trace data in research,digital trace data in research; web browsing and tracking analysis; online political behavior measurement
39,machine learning_language models_social media_large_open science,"[1, 9, 20]",33,machine learning_web_coding_large language models_llms,20,open science_social media_publications_training_retrieval,0.7467321861346131,computational methods in social science,computational methods in social science; large language models in research; open science and reproducibility
38,version_machine_questionnaire_text_comparability,"[17, 28]",28,interviewing_performance_pretesting_machine learning_prevalence,17,split_questionnaire_errors_machine_languages,0.7441721240968731,Questionnaire translation and validation,Questionnaire translation and validation; Survey pretesting and measurement quality; Multilingual survey methodology
