title,abstract,year,source,keyword,middle_group,cluster,topic,topic_label,topic_prob
Comparing participation motives of professional and non-professional respondents,"{In times of declining response rates and over-surveying, improving our understanding of why people participate in surveys is more important than ever. Previous research showed that online panel participants have intrinsic (e.g., topic interest, altruism) and extrinsic (e.g., incentives) participation reasons. Our study expands this research by implementing an experiment using two common forms of survey measurement: ranking and rating. The experiment was fielded in a professional respondents’ sample from a German online panel (n = 407) and in an address-based sample (mail and online) of German non-professional respondents (n = 1,137). Besides extrinsic and intrinsic motivations, the experiment included various study design features (i.e., mode, length, data security) and the mood during the time of contact as possible reasons for participation. The results confirm previous findings regarding the motivations of online panelists but also show important differences between professional and non-professional respondents. Specifically, the main participation reasons of professionals are topic interest (intrinsic) and incentives (extrinsic), while non-professionals are primarily motivated by intrinsic reasons (topic interest and purpose of study). This notion is also supported by the Latent Class Analyses, which showed that three of the four classes for professional respondents had a high probability of naming incentives as one of their main reasons for survey participation, whereas none of the four non-professional clusters rated incentives highly. The differences between the two samples highlight that professional panel members have different motivation structures than participants in general population surveys. This may undermine generalizability, but it also provides opportunities for targeted recruitment.}",2023,International Journal of Market Research,"{experiment,motivation,professional respondents,ranking vs. rating,survey participation}","Business, Management and Accounting",SS,8,"recruitment, online panel, probability based, mixed mode, access",0.1500928196101321
Patterns and Predictors of Literacy and Numeracy Development During Adulthood: Insights from Two Longitudinal Assessment Surveys,"{Literacy (reading competence) and numeracy (mathematical competence) are indispensable prerequisites for lifelong learning and participation in today’s knowledge-based societies. However, evidence on the development of these competencies during adulthood is limited. This chapter summarizes the main findings of a research project that leveraged the unique potential of two German longitudinal assessment surveys, NEPS and PIAAC-L, to garner insights into how these competencies develop during adulthood. Both surveys offer repeated measures of adults’ competencies spaced 3–6 years apart, allowing light to be cast on two guiding questions: (1) Patterns of change: Can literacy and numeracy still change in adulthood? If so, does change involve gains or losses, and how is change distributed across sociodemographic subgroups? (2) Predictors of change: Which individual and contextual factors (e.g., participation in job-related training, engagement in literacy or numeracy practice, or basic cognitive skills) predict change in competence development? Findings suggest that competencies continue to develop across the lifespan and can change even over relatively short time periods. Gains and losses occur in equal measure. Moreover, findings pinpoint practice engagement as a crucial driver of change in competencies, while highlighting that practice engagement is itself dependent on a range of individual and contextual characteristics. Methodological insights and avenues for future research that emerged from our project are also discussed.}",2023,Methodology of Educational Measurement and Assessment,,Social Sciences,SS,0,"germany, migration, differences, personality, election",1.0
"And if they don't dance, they are no friends of mine: Exploring boundaries of national identity","{National identity is widely used to explain anti-immigrant attitudes and thus the appeal for right-wing (populist) parties. Yet, consensus on how to capture national identity is lacking. This article identifies ideal-typical patterns of national boundary making across 42 countries and more than 25 years beyond the ethnic–civic dichotomy and addresses the multidimensionality of national identity. Using latent class analysis and cluster analysis, four ideal-typical conceptions of nationhood are identified and shown to be differently related to national attachment, national pride, and national chauvinism. Overall, the results close the methodological–empirical gap between classical approaches and recent inductive approaches to national identity and demonstrate that national identity is a cross-cultural phenomenon with distinct types.}",2023,Nations and Nationalism,"{large-scale comparison,latent class analysis,national boundary making,national identity,nationhood}",Arts and Humanities,SS,22,"voting, immigration, media, right wing, individual level",0.8512716723218599
Who Represents the Constituency? Online Political Communication by Members of Parliament in the German Mixed-Member Electoral System,"{Members of parliament (MPs) are elected via two different tiers in mixed-member electoral systems—as winners of a seat in a constituency or as party candidates under proportional rules. While previous research has identified important consequences of this “mandate divide” in parliaments, questions remain how this institutional setup affects MPs' political behavior in other arenas. Analyzing more than one million social media posts, this article investigates regional representation in the online communication of German MPs. The results show that MPs elected under a direct mandate refer approximately twice as often to their constituencies by using regionalized wording and geographic references than MPs elected under the proportional tier. The substantive findings provide new evidence for the benefits of mixed-member electoral systems for political representation while the methodological approach demonstrates the added value of social media data for analyzing the political behavior of elites.}",2023,Legislative Studies Quarterly,"{facebook,mandate divide,mixed-member electoral systems,political communication,regional representation,social media,twitter}",Social Sciences,SS,3,"political, multilevel, perception, germany, trust",0.22099183533653882
User-centric approaches for collecting Facebook data in the ‘post-API age’: experiences from two studies and recommendations for future research,"{Although other social media platforms have seen a steeper increase in users recently, Facebook is still the social networking site with the largest number of users worldwide. A large number of studies from the social and behavioral sciences have investigated the antecedents, types, and consequences of its use. In addition or as an alternative to self-reports from users, many studies have used data from the platform itself, usually collected via its Application Programming Interfaces (APIs). However, with the drastic reduction of data access via the Facebook APIs following the Cambridge Analytica scandal, this data source has essentially become unavailable to academic researchers. Hence, there is a need for different modes of data access for what Freelon (2018) has called the ‘post-API age’. One promising approach is to directly collaborate with platform users to ask them to share (parts of) their personal Facebook data with researchers. This paper presents experiences from two studies employing such approaches. The first used a browser plugin to unobtrusively observe Facebook use while users are active. The second asked participants to export and share parts of their personal Facebook data archive. While both approaches yield promising insights suitable to extend or replace self-reports, both also entail specific limitations. We discuss and compare the unique advantages and limitations of both approaches and provide a list of recommendations for future research.}",2023,Information Communication and Society,"{api,data donation,digital trace data,facebook,social media}",Social Sciences,SS,2,"facebook, reliability, web browsing, tracking, life",0.10597654737304374
PREDICTING NONRESPONSE IN FUTURE WAVES OF A PROBABILITY-BASED MIXED-MODE PANEL WITH MACHINE LEARNING,"{Nonresponse in panel studies can lead to a substantial loss in data quality owing to its potential to introduce bias and distort survey estimates. Recent work investigates the usage of machine learning to predict nonresponse in advance, such that predicted nonresponse propensities can be used to inform the data collection process. However, predicting nonresponse in panel studies requires accounting for the longitudinal data structure in terms of model building, tuning, and evaluation. This study proposes a longitudinal framework for predicting nonresponse with machine learning and multiple panel waves and illustrates its application. With respect to model building, this approach utilizes information from multiple waves by introducing features that aggregate previous (non)response patterns. Concerning model tuning and evaluation, temporal crossvalidation is employed by iterating through pairs of panel waves such that the training and test sets move in time. Implementing this approach with data from a German probability-based mixed-mode panel shows that aggregating information over multiple panel waves can be used to build prediction models with competitive and robust performance over all test waves.}",2023,Journal of Survey Statistics and Methodology,"{machine learning,nonresponse,panel attrition,prediction,temporal crossvalidation}",Mathematics,SS,6,"nonresponse, waves, machine learning, mixed mode panel, population",0.07326147559991021
A Multidisciplinary Lens of Bias in Hate Speech,"{Hate speech detection systems may exhibit discriminatory behaviours. Research in this field has focused primarily on issues of discrimination toward the language use of minoritised communities and non-White aligned English. The interrelated issues of bias, model robustness, and disproportionate harms are weakly addressed by recent evaluation approaches, which capture them only implicitly. In this paper, we recruit a multidisciplinary group of experts to bring closer this divide between fairness and trustworthy model evaluation. Specifically, we encourage the experts to discuss not only the technical, but the social, ethical, and legal aspects of this timely issue. The discussion sheds light on critical bias facets that require careful considerations when deploying hate speech detection systems in society. Crucially, they bring clarity to different approaches for assessing, becoming aware of bias from a broader perspective, and offer valuable recommendations for future research in this field.}",2023,"Proceedings of the 2023 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2023","{bias,hate speech,multidisciplinary methods}",Social Sciences,SS,5,"trust, learning, journalism, measurement, groups",0.5553863155373417
"Measurement invariance in the social sciences: Historical development, methodological challenges, state of the art, and future perspectives","{This review summarizes the current state of the art of statistical and (survey) methodological research on measurement (non)invariance, which is considered a core challenge for the comparative social sciences. After outlining the historical roots, conceptual details, and standard procedures for measurement invariance testing, the paper focuses in particular on the statistical developments that have been achieved in the last 10 years. These include Bayesian approximate measurement invariance, the alignment method, measurement invariance testing within the multilevel modeling framework, mixture multigroup factor analysis, the measurement invariance explorer, and the response shift-true change decomposition approach. Furthermore, the contribution of survey methodological research to the construction of invariant measurement instruments is explicitly addressed and highlighted, including the issues of design decisions, pretesting, scale adoption, and translation. The paper ends with an outlook on future research perspectives.}",2023,Social Science Research,"{comparative research,item bias,measurement invariance,multiple group confirmatory factor analysis,noninvariance detection,scale construction}",Social Sciences,SS,12,"digital, frameworks, social science, measurement invariance, error",1.0
"Privacy Is Dead, Long Live Privacy!: Two Diverging Perspectives on Current Issues Related to Privacy","{Privacy is a hotly debated topic in academia and society. The digitalization of our world has had enormous implications for our privacy. Some researchers and public figures agree that privacy has changed substantially, that we are living in a post-privacy world, and that we need to address privacy differently. Conversely, others maintain that privacy remains a relevant concept in our society, and that, although facets and degrees of privacy change, the conceptual core and societal relevance remain unchanged and intact. In this paper, we discuss the current state and future of privacy, presenting two opposing stances on four central questions: Has privacy changed? Is privacy dead? Have we lost control over our own privacy? How should we react? With this dialogue we hope to provide an overview of current positions on privacy by presenting divergent lines of reasoning and thinking, while outlining potential paths forward.}",2023,Journal of Media Psychology,"{control,privacy calculus,privacy online,privacy paradox,social media,social networking sites}",Psychology,SS,5,"trust, learning, journalism, measurement, groups",1.0
Are candidates rational when it comes to negative campaigning? Empirical evidence from three German candidate surveys,"{This article tests the assumption that candidates’ attack behavior is a result of their rational consideration of potential benefits and likely risks. Based on candidate surveys from three German state elections, we demonstrate that (i) attacks are an important strategy; (ii) on balance, candidates regard attacking opponents as a costly instead of a beneficial strategy; (iii) the differential between benefits and costs is positively associated with attack behavior; nevertheless, most candidates attack at least sometimes even when costs exceed benefits; (iv) candidate characteristics and the electoral context are rarely reflected in benefit-cost calculations; and (v) the theoretically assumed mediating role of the benefit-cost differential on attack behavior applies only to some explanatory factors. While the findings provide some evidence for rational choice explanations of negative campaigning, they also challenge some central assumptions. As such, they demonstrate the need for more comprehensive theoretical explanations and measurements of negative campaigning.}",2023,Party Politics,"{candidate survey,germany,negative campaigning,rational choice}",Social Sciences,SS,4,"polarization, security, misinformation, social media, election",0.08150890780492333
