Topic,Count,Name,CustomName,CustomLabel
-1,141,-1_gender_online_election_panel,"gender, online, election, panel, german","gender, online, election, panel, german"
0,58,0_social media_exposure_trust_periods,"social media, exposure, trust, periods, politics","social media, exposure, trust, periods, politics"
1,45,1_family_german_differences_cross,"family, german, differences, cross, federal","family, german, differences, cross, federal"
2,42,2_climate_voters_germany_traits,"climate, voters, germany, traits, ideology","climate, voters, germany, traits, ideology"
3,38,3_web_sharing_willingness_machine learning,"web, sharing, willingness, machine learning, actors","web, sharing, willingness, machine learning, actors"
4,38,4_detection_performance_text_machine learning,"detection, performance, text, machine learning, social media","detection, performance, text, machine learning, social media"
5,36,5_open ended_cognitive_scale_invariance,"open ended, cognitive, scale, invariance, version","open ended, cognitive, scale, invariance, version"
6,30,6_energy_european_migration_benefits,"energy, european, migration, benefits, individual level","energy, european, migration, benefits, individual level"
7,28,7_waves_differences_response behavior_questionnaire,"waves, differences, response behavior, questionnaire, general population","waves, differences, response behavior, questionnaire, general population"
8,27,8_digital trace_sharing_web browsing_training,"digital trace, sharing, web browsing, training, social sciences","digital trace, sharing, web browsing, training, social sciences"
9,25,9_pandemic_cohort_designs_hybrid,"pandemic, cohort, designs, hybrid, wave","pandemic, cohort, designs, hybrid, wave"
10,22,10_students_personality_integration_success,"students, personality, integration, success, interests","students, personality, integration, success, interests"
11,21,11_models_identification_frame_architecture,"models, identification, frame, architecture, networks","models, identification, frame, architecture, networks"
12,21,12_adolescents_literacy_differences_inequalities,"adolescents, literacy, differences, inequalities, training","adolescents, literacy, differences, inequalities, training"
13,21,13_german_chapter_changes_political attitudes,"german, chapter, changes, political attitudes, scholars","german, chapter, changes, political attitudes, scholars"
14,20,14_trust_risk_cognitive_countries,"trust, risk, cognitive, countries, covid 19 pandemic","trust, risk, cognitive, countries, covid 19 pandemic"
15,19,15_parliamentary_comparability_instruments_database,"parliamentary, comparability, instruments, database, projects","parliamentary, comparability, instruments, database, projects"
16,19,16_errors_version_languages_machine,"errors, version, languages, machine, comparability","errors, version, languages, machine, comparability"
17,19,17_negative_engines_search engines_voters,"negative, engines, search engines, voters, attitudes","negative, engines, search engines, voters, attitudes"
18,18,18_participation_google_effects_probability based,"participation, google, effects, probability based, demographic","participation, google, effects, probability based, demographic"
19,17,19_reliability_political_engines_search engines,"reliability, political, engines, search engines, health","reliability, political, engines, search engines, health"
20,16,20_variables_attitudes_regional_german,"variables, attitudes, regional, german, democracies","variables, attitudes, regional, german, democracies"
21,15,21_bias_gender_speech_detection,"bias, gender, speech, detection, work","bias, gender, speech, detection, work"
22,14,22_immigration_media_voting_right wing,"immigration, media, voting, right wing, german longitudinal","immigration, media, voting, right wing, german longitudinal"
23,14,23_sampling_costs_self administered_germany,"sampling, costs, self administered, germany, modes","sampling, costs, self administered, germany, modes"
24,13,24_immigration_covid 19 pandemic_cross sectional_attitudes,"immigration, covid 19 pandemic, cross sectional, attitudes, labour","immigration, covid 19 pandemic, cross sectional, attitudes, labour"
25,12,25_framework_language models llms_ideological_linking,"framework, language models llms, ideological, linking, testing","framework, language models llms, ideological, linking, testing"
26,12,26_texts_income_recognition_countries,"texts, income, recognition, countries, domains","texts, income, recognition, countries, domains"
27,11,27_incentives_panel_mail_demographic,"incentives, panel, mail, demographic, tested","incentives, panel, mail, demographic, tested"
