Topic,Count,Name,CustomName,CustomLabel,LLM_Label,LLM_Labels
-1,79,-1_energy_political_moderation_network,"energy, political, moderation, network, europe","energy, political, moderation, network, europe",,
0,181,0_germany_migration_differences_personality,"germany, migration, differences, personality, election","germany, migration, differences, personality, election",Migration and integration in Germany,Migration and integration in Germany; Personality and political differences; Social diversity and elections
1,50,1_machine learning_large language models_llms_mining,"machine learning, large language models, llms, mining, errors","machine learning, large language models, llms, mining, errors",Large language models in research,Large language models in research; Automated text analysis methods; Machine learning errors in annotation
2,43,2_facebook_reliability_web browsing_tracking,"facebook, reliability, web browsing, tracking, life","facebook, reliability, web browsing, tracking, life",Digital trace data collection,Digital trace data collection; Web browsing behavior analysis; Data sharing and privacy
3,40,3_political_multilevel_perception_germany,"political, multilevel, perception, germany, trust","political, multilevel, perception, germany, trust",Political attitudes and perceptions,Political attitudes and perceptions; Multilevel political trust in Germany; Ideology and political participation
4,37,4_polarization_security_misinformation_social media,"polarization, security, misinformation, social media, election","polarization, security, misinformation, social media, election",Social media and political polarization,"Social media and political polarization; Misinformation, elections, and media security; News framing and democratic attitudes"
5,35,5_trust_learning_journalism_measurement,"trust, learning, journalism, measurement, groups","trust, learning, journalism, measurement, groups",Media trust and measurement,"Media trust and measurement; Fake news and hate speech; Journalism, bias, and group attitudes"
6,32,6_nonresponse_waves_machine learning_mixed mode panel,"nonresponse, waves, machine learning, mixed mode panel, population","nonresponse, waves, machine learning, mixed mode panel, population",Panel survey nonresponse modeling,Panel survey nonresponse modeling; Machine learning in panel attrition; Mixed-mode panel data quality
7,31,7_face_sampling_mixed mode_costs,"face, sampling, mixed mode, costs, web","face, sampling, mixed mode, costs, web",Mixed-mode survey methodologies,Mixed-mode survey methodologies; Face-to-face versus web surveys; Survey mode effects and costs
8,31,8_recruitment_online panel_probability based_mixed mode,"recruitment, online panel, probability based, mixed mode, access","recruitment, online panel, probability based, mixed mode, access",Probability-based online panel recruitment,Probability-based online panel recruitment; Mixed-mode survey participation; Online panel incentives and access
9,31,9_government_metadata_channels_recognition,"government, metadata, channels, recognition, energy","government, metadata, channels, recognition, energy",Open scholarly metadata analysis,Open scholarly metadata analysis; Scientific communication channels; Named entity recognition in research
10,24,10_covid 19 pandemic_trust_actor_social science,"covid 19 pandemic, trust, actor, social science, hybrid","covid 19 pandemic, trust, actor, social science, hybrid",COVID-19 social science surveys,COVID-19 social science surveys; Pandemic trust and data quality; Conspiracy beliefs during COVID-19
11,23,11_comparability_big_governance_personality traits,"comparability, big, governance, personality traits, level","comparability, big, governance, personality traits, level",Survey data harmonization methods,Survey data harmonization methods; Comparability in cross-national surveys; Non-probability sampling and governance
12,21,12_digital_frameworks_social science_measurement invariance,"digital, frameworks, social science, measurement invariance, error","digital, frameworks, social science, measurement invariance, error",Digital data quality frameworks,Digital data quality frameworks; Measurement invariance in social science; Social media data management
13,21,13_gender_organizations_europe_inclusion,"gender, organizations, europe, inclusion, measurement","gender, organizations, europe, inclusion, measurement",Gender equality in European organizations,Gender equality in European organizations; Measuring gender-based violence; Inclusive policies in higher education
14,21,14_arguments_quality_mining_language model,"arguments, quality, mining, language model, artificial intelligence","arguments, quality, mining, language model, artificial intelligence",Argument quality assessment methods,Argument quality assessment methods; Computational argument mining techniques; Large language models in argumentation
15,21,15_closed_quality_pretesting_coding,"closed, quality, pretesting, coding, interviewing","closed, quality, pretesting, coding, interviewing",Web survey question pretesting,Web survey question pretesting; Open-ended and closed probes; Survey response quality assessment
16,19,16_public opinion_driven_psychology_privacy,"public opinion, driven, psychology, privacy, cross","public opinion, driven, psychology, privacy, cross",Public opinion and privacy,Public opinion and privacy; Data-driven political campaigning; Psychology of political communication
17,16,17_split_questionnaire_errors_machine,"split, questionnaire, errors, machine, languages","split, questionnaire, errors, machine, languages",multilingual questionnaire translation methods,multilingual questionnaire translation methods; machine translation in surveys; translation errors in survey research
18,16,18_content_political attitudes_web tracking_measure,"content, political attitudes, web tracking, measure, tweets","content, political attitudes, web tracking, measure, tweets",Online political information seeking,Online political information seeking; Web tracking and political attitudes; Incivility and political content exposure
19,15,19_chapter_processes_germany_changes,"chapter, processes, germany, changes, political attitudes","chapter, processes, germany, changes, political attitudes",German unification and transformation,German unification and transformation; Post-war German social change; Political attitudes in unified Germany
20,15,20_open science_social media_publications_training,"open science, social media, publications, training, retrieval","open science, social media, publications, training, retrieval",Open science communication practices,Open science communication practices; Scientific information on social media; Reproducibility and research training
21,14,21_modeling_detection_correlation_gender,"modeling, detection, correlation, gender, depth","modeling, detection, correlation, gender, depth",Gender bias in image modeling,Gender bias in image modeling; AI-generated image detection; Goodness-of-fit index evaluation
22,14,22_voting_immigration_media_right wing,"voting, immigration, media, right wing, individual level","voting, immigration, media, right wing, individual level",National identity and right-wing voting,"National identity and right-wing voting; Immigration, media, and far-right politics; Nationalism, voting behavior, and media"
23,13,23_european_governance_crises_attitudes,"european, governance, crises, attitudes, levels","european, governance, crises, attitudes, levels",European welfare attitudes and crises,European welfare attitudes and crises; Solidarity and governance in Europe; Public opinion on EU welfare
24,13,24_search engines_performance_open science_political science,"search engines, performance, open science, political science, 2021","search engines, performance, open science, political science, 2021",Search engines in political science,Search engines in political science; Open science and algorithm audits; News search performance and bias
25,13,25_risk_children_immigration_19 pandemic,"risk, children, immigration, 19 pandemic, 2020","risk, children, immigration, 19 pandemic, 2020",Children and youth at risk,Children and youth at risk; Migration and pandemic vulnerabilities; Social risks during COVID-19
26,12,26_discourse_social media_polarization_scenarios,"discourse, social media, polarization, scenarios, election","discourse, social media, polarization, scenarios, election",Political discourse on social media,Political discourse on social media; Social media polarization and elections; Online political campaigning analysis
27,11,27_family_network_italy_united states,"family, network, italy, united states, correlation","family, network, italy, united states, correlation",Family network structure analysis,Family network structure analysis; Kinship networks in Italy and US; Intergenerational relationships and correlations
28,10,28_interviewing_performance_pretesting_machine learning,"interviewing, performance, pretesting, machine learning, prevalence","interviewing, performance, pretesting, machine learning, prevalence",Survey pretesting and measurement quality,Survey pretesting and measurement quality; Questionnaire design and response bias; Prevalence estimation in survey research
