Topic,Count,Name,Representation,Representative_Docs
-1,141,-1_gender_online_election_panel,"['gender', 'online', 'election', 'panel', 'german']","['in recent years, several longitudinal studies have transitioned from an interviewer-administered to a mixed-mode design, using the internet as one of the modes of data collection. however, a substantial proportion of panelists are reluctant to participate in web surveys when offered a choice in an ongoing mixed-mode panel. we still know little about the characteristics of panel members that drive them to comply with the request to complete surveys via the internet. this study aims to fill this gap by investigating how internet-related characteristics are linked to the willingness of panelists to switch from the mail mode to the web. we use data from multiple waves of the gesis panel, a probability-based mixed-mode panel in germany (n = 5734). a web-push intervention motivated 28% of 1364 panelists of the mail mode to complete the survey online in a single wave and 70% of these 380 short-term switchers to switch to the web mode permanently. we measured indicators of internet use, internet skills, and attitudes toward the internet as potential mechanisms of this short-term and long-term mode switching in the two waves before the intervention. our results suggest that internet use and internet skills affect respondents’ willingness to switch modes in a single wave. for these short-term switchers, however, none of the internet-related characteristics could explain mode switching in the long term. we also present self-reported reasons by panelists for not accepting the offer to switch modes that correspond to these findings. the results of this study can be used to develop effective push-to-web methods for longitudinal mixed-mode surveys.', 'in recent years, several longitudinal studies have transitioned from an interviewer-administered to a mixed-mode design, using the internet as one of the modes of data collection. however, a substantial proportion of panelists are reluctant to participate in web surveys when offered a choice in an ongoing mixed-mode panel. we still know little about the characteristics of panel members that drive them to comply with the request to complete surveys via the internet. this study aims to fill this gap by investigating how internet-related characteristics are linked to the willingness of panelists to switch from the mail mode to the web. we use data from multiple waves of the gesis panel, a probability-based mixed-mode panel in germany (n = 5734). a web-push intervention motivated 28% of 1364 panelists of the mail mode to complete the survey online in a single wave and 70% of these 380 short-term switchers to switch to the web mode permanently. we measured indicators of internet use, internet skills, and attitudes toward the internet as potential mechanisms of this short-term and long-term mode switching in the two waves before the intervention. our results suggest that internet use and internet skills affect respondents’ willingness to switch modes in a single wave. for these short-term switchers, however, none of the internet-related characteristics could explain mode switching in the long term. we also present self-reported reasons by panelists for not accepting the offer to switch modes that correspond to these findings. the results of this study can be used to develop effective push-to-web methods for longitudinal mixed-mode surveys.', 'in recent years, several longitudinal studies have transitioned from an interviewer-administered to a mixed-mode design, using the internet as one of the modes of data collection. however, a substantial proportion of panelists are reluctant to participate in web surveys when offered a choice in an ongoing mixed-mode panel. we still know little about the characteristics of panel members that drive them to comply with the request to complete surveys via the internet. this study aims to fill this gap by investigating how internet-related characteristics are linked to the willingness of panelists to switch from the mail mode to the web. we use data from multiple waves of the gesis panel, a probability-based mixed-mode panel in germany (n = 5734). a web-push intervention motivated 28% of 1364 panelists of the mail mode to complete the survey online in a single wave and 70% of these 380 short-term switchers to switch to the web mode permanently. we measured indicators of internet use, internet skills, and attitudes toward the internet as potential mechanisms of this short-term and long-term mode switching in the two waves before the intervention. our results suggest that internet use and internet skills affect respondents’ willingness to switch modes in a single wave. for these short-term switchers, however, none of the internet-related characteristics could explain mode switching in the long term. we also present self-reported reasons by panelists for not accepting the offer to switch modes that correspond to these findings. the results of this study can be used to develop effective push-to-web methods for longitudinal mixed-mode surveys.']"
0,58,0_social media_exposure_trust_periods,"['social media', 'exposure', 'trust', 'periods', 'politics']","[""most scholars focus on the prevalence and democratic effects of (partisan) news exposure. this focus misses large parts of online activities of a majority of politically disinterested citizens. although political content also appears outside of news outlets and may profoundly shape public opinion, its prevalence and effects are under-studied at scale. this project combines three-wave panel survey data from three countries (total n = 7,266) with online behavioral data from the same participants (over 106m visits). we create a multi-lingual classifier to identify political content both in news and outside (e.g. in shopping or entertainment sites). we find that news consumption is infrequent: just 3.4% of participants’ online browsing comprised visits to news sites. only between 14% (nl) and 36% (us) of these visits were to news about politics. the overwhelming majority of participants' visits were to non-news sites. although only 1.6\\\\% of those visits related to politics, in absolute terms, citizens encounter politics more frequently outside of news than within news. out of every 10 visits to political content, 3.4 come from news and 6.6 from non-news sites. furthermore, exposure to political content outside news domains had the same–and in some cases stronger - associations with key democratic attitudes and behaviors as news exposure. these findings offer a comprehensive analysis of the online political (not solely news) ecosystem and demonstrate the importance of assessing the prevalence and effects of political content in non-news sources."", 'media coverage of political actors and debates is a crucial avenue for voters to learn about political parties and their policies. however, nowadays party-media agenda-setting is increasingly shaped by large-scale transformations and the fragmentation of political communication across various party channels (e.g., press releases, social media, speeches) and media types (e.g., newspapers, television, online news), potentially affecting the provision of political information. this article examines these dynamics using large-scale textual data from political parties (n = 17,677) and media outlets (n = 90,531) published in the run-up to the austrian national election in 2019. building on the measurement of text similarity with state-of-the-art transformer-based models and multiverse analysis, we investigate the success of party messages from press releases, parliamentary speeches, facebook and twitter making it into important national newspapers, online news sites as well as television and radio news programs. the article shows that the variety in party channels and media outlets—with their distinct characteristics, modalities, and (technological) affordances—create different flows of information between the parties and the media. press releases remain crucial tools for parties to get their messages into the media, while social media and parliamentary speeches also matter, albeit with varying effects by party. we also find that online news is more receptive to party messages than print, television, or radio news. despite these differences, journalistic gate-keeping consistently favors large and government parties across all media types. these findings underscore the need for nuanced research into the interaction between party communication channels and media outlets in contemporary democracies.', 'media coverage of political actors and debates is a crucial avenue for voters to learn about political parties and their policies. however, nowadays party-media agenda-setting is increasingly shaped by large-scale transformations and the fragmentation of political communication across various party channels (e.g., press releases, social media, speeches) and media types (e.g., newspapers, television, online news), potentially affecting the provision of political information. this article examines these dynamics using large-scale textual data from political parties (n = 17,677) and media outlets (n = 90,531) published in the run-up to the austrian national election in 2019. building on the measurement of text similarity with state-of-the-art transformer-based models and multiverse analysis, we investigate the success of party messages from press releases, parliamentary speeches, facebook and twitter making it into important national newspapers, online news sites as well as television and radio news programs. the article shows that the variety in party channels and media outlets—with their distinct characteristics, modalities, and (technological) affordances—create different flows of information between the parties and the media. press releases remain crucial tools for parties to get their messages into the media, while social media and parliamentary speeches also matter, albeit with varying effects by party. we also find that online news is more receptive to party messages than print, television, or radio news. despite these differences, journalistic gate-keeping consistently favors large and government parties across all media types. these findings underscore the need for nuanced research into the interaction between party communication channels and media outlets in contemporary democracies.']"
1,45,1_family_german_differences_cross,"['family', 'german', 'differences', 'cross', 'federal']","['background: beliefs about gender roles develop in a complex interplay of individual factors with the sociopolitical and historical context. they differ between birth cohorts, depend on individual age, and change over time. in recent years, a certain retraditionalization was observed, especially in younger east german birth cohorts. this study investigates whether younger cohorts indeed show more traditional beliefs when considering age and period effects as well as sociodemographic factors. methods: using data from seven cross sections (1992 to 2016) of an east german sample of the german general social survey (n = 5,426), hierarchical age-period-cohort (hapc) analyses were applied to simultaneously estimate the effects of age, birth cohort, and time period on gender role beliefs. results: significant cohort effects were observed, with those cohorts born and raised in the german democratic republic (gdr) showing the most egalitarian views. similar to the oldest cohorts, the youngest cohorts exhibited more traditional beliefs. conclusion: the results indeed suggest a trend toward retraditionalization of the gender role beliefs in the generations born after the end of the gdr compared to those born during its existence. implications as well as limitations of the hapc method are critically discussed.', 'background: beliefs about gender roles develop in a complex interplay of individual factors with the sociopolitical and historical context. they differ between birth cohorts, depend on individual age, and change over time. in recent years, a certain retraditionalization was observed, especially in younger east german birth cohorts. this study investigates whether younger cohorts indeed show more traditional beliefs when considering age and period effects as well as sociodemographic factors. methods: using data from seven cross sections (1992 to 2016) of an east german sample of the german general social survey (n = 5,426), hierarchical age-period-cohort (hapc) analyses were applied to simultaneously estimate the effects of age, birth cohort, and time period on gender role beliefs. results: significant cohort effects were observed, with those cohorts born and raised in the german democratic republic (gdr) showing the most egalitarian views. similar to the oldest cohorts, the youngest cohorts exhibited more traditional beliefs. conclusion: the results indeed suggest a trend toward retraditionalization of the gender role beliefs in the generations born after the end of the gdr compared to those born during its existence. implications as well as limitations of the hapc method are critically discussed.', 'background: beliefs about gender roles develop in a complex interplay of individual factors with the sociopolitical and historical context. they differ between birth cohorts, depend on individual age, and change over time. in recent years, a certain retraditionalization was observed, especially in younger east german birth cohorts. this study investigates whether younger cohorts indeed show more traditional beliefs when considering age and period effects as well as sociodemographic factors. methods: using data from seven cross sections (1992 to 2016) of an east german sample of the german general social survey (n = 5,426), hierarchical age-period-cohort (hapc) analyses were applied to simultaneously estimate the effects of age, birth cohort, and time period on gender role beliefs. results: significant cohort effects were observed, with those cohorts born and raised in the german democratic republic (gdr) showing the most egalitarian views. similar to the oldest cohorts, the youngest cohorts exhibited more traditional beliefs. conclusion: the results indeed suggest a trend toward retraditionalization of the gender role beliefs in the generations born after the end of the gdr compared to those born during its existence. implications as well as limitations of the hapc method are critically discussed.']"
2,42,2_climate_voters_germany_traits,"['climate', 'voters', 'germany', 'traits', 'ideology']","['this study challenges the conventional conceptualisation of political space in european countries as a two-dimensional socio-economic and socio-cultural structure. utilising data from the 2024 european election study, it argues that no national political space is fully captured by these traditional axes. instead, it introduces a novel framework based on two overarching socio-economic processes–globalisation and modernisation. the study identifies two core social dimensions that also include economic considerations: the modernisation dimension, which links traditional gender roles and opposition to same-sex marriage with attitudes toward climate change, often accompanied by support for wealth redistribution; and the globalisation dimension, which, although less uniform, consistently centres around immigration. these findings underscore the complexity of political conflict across eu countries and emphasise the role of party strategies, particularly those of far-right parties and mainstream party responses, in shaping voters’ political alignments.', 'this study challenges the conventional conceptualisation of political space in european countries as a two-dimensional socio-economic and socio-cultural structure. utilising data from the 2024 european election study, it argues that no national political space is fully captured by these traditional axes. instead, it introduces a novel framework based on two overarching socio-economic processes–globalisation and modernisation. the study identifies two core social dimensions that also include economic considerations: the modernisation dimension, which links traditional gender roles and opposition to same-sex marriage with attitudes toward climate change, often accompanied by support for wealth redistribution; and the globalisation dimension, which, although less uniform, consistently centres around immigration. these findings underscore the complexity of political conflict across eu countries and emphasise the role of party strategies, particularly those of far-right parties and mainstream party responses, in shaping voters’ political alignments.', 'this study challenges the conventional conceptualisation of political space in european countries as a two-dimensional socio-economic and socio-cultural structure. utilising data from the 2024 european election study, it argues that no national political space is fully captured by these traditional axes. instead, it introduces a novel framework based on two overarching socio-economic processes–globalisation and modernisation. the study identifies two core social dimensions that also include economic considerations: the modernisation dimension, which links traditional gender roles and opposition to same-sex marriage with attitudes toward climate change, often accompanied by support for wealth redistribution; and the globalisation dimension, which, although less uniform, consistently centres around immigration. these findings underscore the complexity of political conflict across eu countries and emphasise the role of party strategies, particularly those of far-right parties and mainstream party responses, in shaping voters’ political alignments.']"
3,38,3_web_sharing_willingness_machine learning,"['web', 'sharing', 'willingness', 'machine learning', 'actors']","['while survey data has long been the focus of quantitative social science analyses, observational and content data, although long-established, are gaining renewed attention; especially when this type of data is obtained by and for observing digital content and behavior. today, digital technologies allow social scientists to track “everyday behavior” and to extract opinions from public discussions on online platforms. these new types of digital traces of human behavior, together with computational methods for analyzing them, have opened new avenues for analyzing, understanding, and addressing social science research questions. however, even the most innovative and extensive amounts of data are hollow if they are not of high quality. but what does data quality mean for modern social science data? to investigate this rather abstract question the present study focuses on four objectives. first, we provide researchers with a decision tree to identify appropriate data quality frameworks for a given use case. second, we determine which data types and quality dimensions are already addressed in the existing frameworks. third, we identify gaps with respect to different data types and data quality dimensions within the existing frameworks which need to be filled. and fourth, we provide a detailed literature overview for the intrinsic and extrinsic perspectives on data quality. by conducting a systematic literature review based on text mining methods, we identified and reviewed 58 data quality frameworks. in our decision tree, the three categories, namely, data type, the perspective it takes, and its level of granularity, help researchers to find appropriate data quality frameworks. we, furthermore, discovered gaps in the available frameworks with respect to visual and especially linked data and point out in our review that even famous frameworks might miss important aspects. the article ends with a critical discussion of the current state of the literature and potential future research avenues.', 'while survey data has long been the focus of quantitative social science analyses, observational and content data, although long-established, are gaining renewed attention; especially when this type of data is obtained by and for observing digital content and behavior. today, digital technologies allow social scientists to track “everyday behavior” and to extract opinions from public discussions on online platforms. these new types of digital traces of human behavior, together with computational methods for analyzing them, have opened new avenues for analyzing, understanding, and addressing social science research questions. however, even the most innovative and extensive amounts of data are hollow if they are not of high quality. but what does data quality mean for modern social science data? to investigate this rather abstract question the present study focuses on four objectives. first, we provide researchers with a decision tree to identify appropriate data quality frameworks for a given use case. second, we determine which data types and quality dimensions are already addressed in the existing frameworks. third, we identify gaps with respect to different data types and data quality dimensions within the existing frameworks which need to be filled. and fourth, we provide a detailed literature overview for the intrinsic and extrinsic perspectives on data quality. by conducting a systematic literature review based on text mining methods, we identified and reviewed 58 data quality frameworks. in our decision tree, the three categories, namely, data type, the perspective it takes, and its level of granularity, help researchers to find appropriate data quality frameworks. we, furthermore, discovered gaps in the available frameworks with respect to visual and especially linked data and point out in our review that even famous frameworks might miss important aspects. the article ends with a critical discussion of the current state of the literature and potential future research avenues.', 'while survey data has long been the focus of quantitative social science analyses, observational and content data, although long-established, are gaining renewed attention; especially when this type of data is obtained by and for observing digital content and behavior. today, digital technologies allow social scientists to track “everyday behavior” and to extract opinions from public discussions on online platforms. these new types of digital traces of human behavior, together with computational methods for analyzing them, have opened new avenues for analyzing, understanding, and addressing social science research questions. however, even the most innovative and extensive amounts of data are hollow if they are not of high quality. but what does data quality mean for modern social science data? to investigate this rather abstract question the present study focuses on four objectives. first, we provide researchers with a decision tree to identify appropriate data quality frameworks for a given use case. second, we determine which data types and quality dimensions are already addressed in the existing frameworks. third, we identify gaps with respect to different data types and data quality dimensions within the existing frameworks which need to be filled. and fourth, we provide a detailed literature overview for the intrinsic and extrinsic perspectives on data quality. by conducting a systematic literature review based on text mining methods, we identified and reviewed 58 data quality frameworks. in our decision tree, the three categories, namely, data type, the perspective it takes, and its level of granularity, help researchers to find appropriate data quality frameworks. we, furthermore, discovered gaps in the available frameworks with respect to visual and especially linked data and point out in our review that even famous frameworks might miss important aspects. the article ends with a critical discussion of the current state of the literature and potential future research avenues.']"
4,38,4_detection_performance_text_machine learning,"['detection', 'performance', 'text', 'machine learning', 'social media']","[""automated content analyses have become a popular tool in communication science. while standard procedures for manual content analysis were established decades ago, it remains an open question whether these standards are sufficient for the use of human-annotated data to train supervised machine learning models. scholars typically follow a two-stage procedure to obtain high prediction accuracy: manual content analysis followed by model training with human-annotated samples. we argue that a loss in prediction accuracy in supervised machine learning builds up over this two-stage procedure. in a monte carlo simulation, we tested (1) human coder errors (random, individual systematic, joint systematic) and (2) curation strategies for human-annotated datasets (one coder per document, majority rule, full agreement) as two sequential sources of accuracy loss of automated content analysis. coder agreement prior to conducting manual content analysis remains an important quality criterion for automated content analyses. a krippendorff's alpha of at least 0.8 is desirable to achieve satisfying prediction results after machine learning. systematic errors (individual and joint) must be avoided at all costs. the best training samples were obtained using one coder per document or the majority coding curation strategy. ultimately, this paper can help researchers produce trustworthy predictions when combining manual coding and machine learning."", ""automated content analyses have become a popular tool in communication science. while standard procedures for manual content analysis were established decades ago, it remains an open question whether these standards are sufficient for the use of human-annotated data to train supervised machine learning models. scholars typically follow a two-stage procedure to obtain high prediction accuracy: manual content analysis followed by model training with human-annotated samples. we argue that a loss in prediction accuracy in supervised machine learning builds up over this two-stage procedure. in a monte carlo simulation, we tested (1) human coder errors (random, individual systematic, joint systematic) and (2) curation strategies for human-annotated datasets (one coder per document, majority rule, full agreement) as two sequential sources of accuracy loss of automated content analysis. coder agreement prior to conducting manual content analysis remains an important quality criterion for automated content analyses. a krippendorff's alpha of at least 0.8 is desirable to achieve satisfying prediction results after machine learning. systematic errors (individual and joint) must be avoided at all costs. the best training samples were obtained using one coder per document or the majority coding curation strategy. ultimately, this paper can help researchers produce trustworthy predictions when combining manual coding and machine learning."", ""automated content analyses have become a popular tool in communication science. while standard procedures for manual content analysis were established decades ago, it remains an open question whether these standards are sufficient for the use of human-annotated data to train supervised machine learning models. scholars typically follow a two-stage procedure to obtain high prediction accuracy: manual content analysis followed by model training with human-annotated samples. we argue that a loss in prediction accuracy in supervised machine learning builds up over this two-stage procedure. in a monte carlo simulation, we tested (1) human coder errors (random, individual systematic, joint systematic) and (2) curation strategies for human-annotated datasets (one coder per document, majority rule, full agreement) as two sequential sources of accuracy loss of automated content analysis. coder agreement prior to conducting manual content analysis remains an important quality criterion for automated content analyses. a krippendorff's alpha of at least 0.8 is desirable to achieve satisfying prediction results after machine learning. systematic errors (individual and joint) must be avoided at all costs. the best training samples were obtained using one coder per document or the majority coding curation strategy. ultimately, this paper can help researchers produce trustworthy predictions when combining manual coding and machine learning.""]"
5,36,5_open ended_cognitive_scale_invariance,"['open ended', 'cognitive', 'scale', 'invariance', 'version']","['cognitive interviewing in the form of probing is key for developing methodologically sound survey questions. for a long time, probing was tied to the laboratory setting, making it difficult to achieve large sample sizes and creating a time-intensive undertaking for both researchers and participants. web surveys paved the way for administering probing questions over the internet in a time- and cost-efficient manner. in so-called web probing studies, respondents first answer a question and then they receive one or more open-ended questions about their response process, with requests for written answers. however, participants frequently provide very short or no answers at all to open-ended questions, in part because answering questions in writing is tedious. this is especially the case when the web survey is completed via a smartphone with a virtual on-screen keypad that shrinks the viewing space. in this study, we examine whether the problem of short and uninterpretable answers in web probing studies can be mitigated by asking respondents to complete the web survey on a smartphone and to record their answers via the built-in microphone. we conducted an experiment in a smartphone survey (n= 1,001), randomizing respondents to different communication modes (written or oral) for answering two comprehension probes about two questions on national identity and citizenship. the results indicate that probes with requests for oral answers produce four to five times more nonresponse than their written counterparts. however, oral answers contain about three times as many words, include about 0.3 more themes (first probing question only), and the proportion of clearly interpretable answers is about 6 percentage points higher (for the first probing question only). nonetheless, both communication modes result in similar themes mentioned by respondents.', 'cognitive interviewing in the form of probing is key for developing methodologically sound survey questions. for a long time, probing was tied to the laboratory setting, making it difficult to achieve large sample sizes and creating a time-intensive undertaking for both researchers and participants. web surveys paved the way for administering probing questions over the internet in a time- and cost-efficient manner. in so-called web probing studies, respondents first answer a question and then they receive one or more open-ended questions about their response process, with requests for written answers. however, participants frequently provide very short or no answers at all to open-ended questions, in part because answering questions in writing is tedious. this is especially the case when the web survey is completed via a smartphone with a virtual on-screen keypad that shrinks the viewing space. in this study, we examine whether the problem of short and uninterpretable answers in web probing studies can be mitigated by asking respondents to complete the web survey on a smartphone and to record their answers via the built-in microphone. we conducted an experiment in a smartphone survey (n= 1,001), randomizing respondents to different communication modes (written or oral) for answering two comprehension probes about two questions on national identity and citizenship. the results indicate that probes with requests for oral answers produce four to five times more nonresponse than their written counterparts. however, oral answers contain about three times as many words, include about 0.3 more themes (first probing question only), and the proportion of clearly interpretable answers is about 6 percentage points higher (for the first probing question only). nonetheless, both communication modes result in similar themes mentioned by respondents.', 'cognitive interviewing in the form of probing is key for developing methodologically sound survey questions. for a long time, probing was tied to the laboratory setting, making it difficult to achieve large sample sizes and creating a time-intensive undertaking for both researchers and participants. web surveys paved the way for administering probing questions over the internet in a time- and cost-efficient manner. in so-called web probing studies, respondents first answer a question and then they receive one or more open-ended questions about their response process, with requests for written answers. however, participants frequently provide very short or no answers at all to open-ended questions, in part because answering questions in writing is tedious. this is especially the case when the web survey is completed via a smartphone with a virtual on-screen keypad that shrinks the viewing space. in this study, we examine whether the problem of short and uninterpretable answers in web probing studies can be mitigated by asking respondents to complete the web survey on a smartphone and to record their answers via the built-in microphone. we conducted an experiment in a smartphone survey (n= 1,001), randomizing respondents to different communication modes (written or oral) for answering two comprehension probes about two questions on national identity and citizenship. the results indicate that probes with requests for oral answers produce four to five times more nonresponse than their written counterparts. however, oral answers contain about three times as many words, include about 0.3 more themes (first probing question only), and the proportion of clearly interpretable answers is about 6 percentage points higher (for the first probing question only). nonetheless, both communication modes result in similar themes mentioned by respondents.']"
6,30,6_energy_european_migration_benefits,"['energy', 'european', 'migration', 'benefits', 'individual level']","['support for eu membership has long been an important topic of study. individual-level research shows that winners of globalisation, including the higher educated, express greater eu support as they profit from economic and cultural conditions resulting from european integration. recent context-focused work suggests that individuals in ‘left-behind’ places are less supportive of eu integration because of their home regions’ weaker long-term economic conditions. this paper brings these two research strands into conversation with each other by examining how the relationship between eu support and individual-level education is contingent on subnational economic conditions. using harmonised eurobarometer data from almost 750,000 respondents spanning 2004–2019, combined with subnational economic data from 201 european regions, we find no evidence that subnational economic conditions influence the relationship between eu support and respondents’ education level. at the same time, when cross-sectionally comparing long-term differences between regions, we find that eu support is positively related to regional gdp per capita (though unrelated to regional unemployment), among both the higher and lower educated, and especially in the post-great recession period. longitudinally, eu support is positively related to declining regional unemployment, both among the higher and lower educated, but not to increasing regional gdp per capita.', 'support for eu membership has long been an important topic of study. individual-level research shows that winners of globalisation, including the higher educated, express greater eu support as they profit from economic and cultural conditions resulting from european integration. recent context-focused work suggests that individuals in ‘left-behind’ places are less supportive of eu integration because of their home regions’ weaker long-term economic conditions. this paper brings these two research strands into conversation with each other by examining how the relationship between eu support and individual-level education is contingent on subnational economic conditions. using harmonised eurobarometer data from almost 750,000 respondents spanning 2004–2019, combined with subnational economic data from 201 european regions, we find no evidence that subnational economic conditions influence the relationship between eu support and respondents’ education level. at the same time, when cross-sectionally comparing long-term differences between regions, we find that eu support is positively related to regional gdp per capita (though unrelated to regional unemployment), among both the higher and lower educated, and especially in the post-great recession period. longitudinally, eu support is positively related to declining regional unemployment, both among the higher and lower educated, but not to increasing regional gdp per capita.', 'support for eu membership has long been an important topic of study. individual-level research shows that winners of globalisation, including the higher educated, express greater eu support as they profit from economic and cultural conditions resulting from european integration. recent context-focused work suggests that individuals in ‘left-behind’ places are less supportive of eu integration because of their home regions’ weaker long-term economic conditions. this paper brings these two research strands into conversation with each other by examining how the relationship between eu support and individual-level education is contingent on subnational economic conditions. using harmonised eurobarometer data from almost 750,000 respondents spanning 2004–2019, combined with subnational economic data from 201 european regions, we find no evidence that subnational economic conditions influence the relationship between eu support and respondents’ education level. at the same time, when cross-sectionally comparing long-term differences between regions, we find that eu support is positively related to regional gdp per capita (though unrelated to regional unemployment), among both the higher and lower educated, and especially in the post-great recession period. longitudinally, eu support is positively related to declining regional unemployment, both among the higher and lower educated, but not to increasing regional gdp per capita.']"
7,28,7_waves_differences_response behavior_questionnaire,"['waves', 'differences', 'response behavior', 'questionnaire', 'general population']","['learning effects due to repeated interviewing, also known as panel conditioning, are a major threat to response quality in later waves of a panel study. to date, research has not provided a clear picture regarding the circumstances, mechanisms, and dimensions of potential panel conditioning effects. in particular, the effects of conditioning frequency, that is, different levels of experience within a panel, on response quality are underexplored. against this background, we investigated the effects of panel conditioning by using data from the gesis panel, a german mixed-mode probability-based panel study. using two refreshment samples, we compared three panel cohorts with differing levels of experience on several response quality indicators related to the mechanisms of reflection, satisficing, and social desirability. overall, we find evidence for both negative (i.e., disadvantageous for response quality) and positive (i.e., advantageous for response quality) panel conditioning. highly experienced respondents were more likely to satisfice by speeding through the questionnaire. they also had a higher probability of refusing to answer sensitive questions than less experienced panel members. however, more experienced respondents were also more likely to optimize the response process by needing less time compared to panelists with lower experience levels (when controlling for speeding). in contrast, we did not find significant differences with respect to the number of \\""don\'t know\\""responses, nondifferentiation, the selection of first response categories and mid-responses, and the number of nontriggered filter questions. of the observed differences, speeding showed the highest magnitude with an average increase of 6.0 percentage points for highly experienced panel members compared to low experienced panelists.', 'learning effects due to repeated interviewing, also known as panel conditioning, are a major threat to response quality in later waves of a panel study. to date, research has not provided a clear picture regarding the circumstances, mechanisms, and dimensions of potential panel conditioning effects. in particular, the effects of conditioning frequency, that is, different levels of experience within a panel, on response quality are underexplored. against this background, we investigated the effects of panel conditioning by using data from the gesis panel, a german mixed-mode probability-based panel study. using two refreshment samples, we compared three panel cohorts with differing levels of experience on several response quality indicators related to the mechanisms of reflection, satisficing, and social desirability. overall, we find evidence for both negative (i.e., disadvantageous for response quality) and positive (i.e., advantageous for response quality) panel conditioning. highly experienced respondents were more likely to satisfice by speeding through the questionnaire. they also had a higher probability of refusing to answer sensitive questions than less experienced panel members. however, more experienced respondents were also more likely to optimize the response process by needing less time compared to panelists with lower experience levels (when controlling for speeding). in contrast, we did not find significant differences with respect to the number of \\""don\'t know\\""responses, nondifferentiation, the selection of first response categories and mid-responses, and the number of nontriggered filter questions. of the observed differences, speeding showed the highest magnitude with an average increase of 6.0 percentage points for highly experienced panel members compared to low experienced panelists.', 'learning effects due to repeated interviewing, also known as panel conditioning, are a major threat to response quality in later waves of a panel study. to date, research has not provided a clear picture regarding the circumstances, mechanisms, and dimensions of potential panel conditioning effects. in particular, the effects of conditioning frequency, that is, different levels of experience within a panel, on response quality are underexplored. against this background, we investigated the effects of panel conditioning by using data from the gesis panel, a german mixed-mode probability-based panel study. using two refreshment samples, we compared three panel cohorts with differing levels of experience on several response quality indicators related to the mechanisms of reflection, satisficing, and social desirability. overall, we find evidence for both negative (i.e., disadvantageous for response quality) and positive (i.e., advantageous for response quality) panel conditioning. highly experienced respondents were more likely to satisfice by speeding through the questionnaire. they also had a higher probability of refusing to answer sensitive questions than less experienced panel members. however, more experienced respondents were also more likely to optimize the response process by needing less time compared to panelists with lower experience levels (when controlling for speeding). in contrast, we did not find significant differences with respect to the number of \\""don\'t know\\""responses, nondifferentiation, the selection of first response categories and mid-responses, and the number of nontriggered filter questions. of the observed differences, speeding showed the highest magnitude with an average increase of 6.0 percentage points for highly experienced panel members compared to low experienced panelists.']"
8,27,8_digital trace_sharing_web browsing_training,"['digital trace', 'sharing', 'web browsing', 'training', 'social sciences']","['digital trace data are increasingly used in the social sciences. given the risks associated with data access via application programming interfaces (apis) as well as ethical discussions around the use of such data, data donations have been proposed as a methodologically reliable and ethically sound way of collecting digital trace data. while data donations have many advantages, study participants may be reluctant to share their data, for example, due to privacy concerns. to assess which factors in a data donation request are relevant for participants’ acceptance and decisions, we conducted a vignette experiment investigating the general acceptability and personal willingness to donate various data types (i.e., data from gps, web browsing, linkedin/xing, facebook, and tiktok) for research purposes. the preregistered study was implemented in the probability-based german internet panel (gip) and gathered responses from n = 3821 participants. results show that people rate the general acceptability of data donation requests higher than their own willingness to donate data. regarding the different data types, respondents indicated that they would be more willing to donate their linkedin/xing, tiktok, and gps data compared to web browsing and facebook data. in contrast, information about whether the donated data would be shared with other researchers and data security did not affect the responses to the respective donation scenarios. based on these results, we discuss implications for studies employing data donations.', 'digital trace data are increasingly used in the social sciences. given the risks associated with data access via application programming interfaces (apis) as well as ethical discussions around the use of such data, data donations have been proposed as a methodologically reliable and ethically sound way of collecting digital trace data. while data donations have many advantages, study participants may be reluctant to share their data, for example, due to privacy concerns. to assess which factors in a data donation request are relevant for participants’ acceptance and decisions, we conducted a vignette experiment investigating the general acceptability and personal willingness to donate various data types (i.e., data from gps, web browsing, linkedin/xing, facebook, and tiktok) for research purposes. the preregistered study was implemented in the probability-based german internet panel (gip) and gathered responses from n = 3821 participants. results show that people rate the general acceptability of data donation requests higher than their own willingness to donate data. regarding the different data types, respondents indicated that they would be more willing to donate their linkedin/xing, tiktok, and gps data compared to web browsing and facebook data. in contrast, information about whether the donated data would be shared with other researchers and data security did not affect the responses to the respective donation scenarios. based on these results, we discuss implications for studies employing data donations.', 'digital trace data are increasingly used in the social sciences. given the risks associated with data access via application programming interfaces (apis) as well as ethical discussions around the use of such data, data donations have been proposed as a methodologically reliable and ethically sound way of collecting digital trace data. while data donations have many advantages, study participants may be reluctant to share their data, for example, due to privacy concerns. to assess which factors in a data donation request are relevant for participants’ acceptance and decisions, we conducted a vignette experiment investigating the general acceptability and personal willingness to donate various data types (i.e., data from gps, web browsing, linkedin/xing, facebook, and tiktok) for research purposes. the preregistered study was implemented in the probability-based german internet panel (gip) and gathered responses from n = 3821 participants. results show that people rate the general acceptability of data donation requests higher than their own willingness to donate data. regarding the different data types, respondents indicated that they would be more willing to donate their linkedin/xing, tiktok, and gps data compared to web browsing and facebook data. in contrast, information about whether the donated data would be shared with other researchers and data security did not affect the responses to the respective donation scenarios. based on these results, we discuss implications for studies employing data donations.']"
