Topic,Words,Frequency,Timestamp,LLM_Label
-1,"mobile, political, children, european, attitudes",15,2023,
0,"election, germany, migration, differences, age",50,2023,German Migration Patterns
1,"machine learning, accuracy, access, text, language models",16,2023,Machine Learning Errors
2,"cases, reliability, behaviors, tracking, web browsing",12,2023,Facebook Reliability Concerns
3,"party, trust, populist, personality traits, voting behavior",10,2023,German Political Perception
4,"media, candidate, negative, refugee, polarization",7,2023,Polarization and Misinformation
5,"privacy, journalism, learning, groups, robustness",21,2023,Media Trust Research
6,"nonresponse, waves, machine learning, population, mixed mode panel",15,2023,Panel Nonresponse Prediction
7,"sampling, mixed mode, germany, difference, addresses",12,2023,Mixed Mode Survey Design
8,"recruitment, online panel, probability based, mixed mode, quality",23,2023,Online Panel Recruitment
9,"types, authors, web, correlation, machine learning",7,2023,Government Metadata Channels
10,"framing, search engines, covid 19 pandemic, beliefs, significant differences",3,2023,COVID-19 Trust Research
11,"reduction, sampling, big, correlation, personality traits",13,2023,Survey Data Harmonization
12,"work, digital, inclusion, measurement invariance, social science",9,2023,Digital Data Quality
14,"option, assessment, competing, hypotheses, cross cultural",2,2023,Argument Quality Assessment
15,"classification, closed, web, german language, interviewing",7,2023,Open-ended probing
16,"public opinion, hypothesis, process, policymakers, forms",6,2023,Public Opinion Research
17,"split, questionnaire, errors, comparability, languages",7,2023,Questionnaire Translation Methods
18,"political, scores, german internet panel, uses, large scale",6,2023,Political Knowledge Measurement
19,"processes, map, germany, past, heterogeneous",2,2023,German Unification Processes
20,"open science, training, institutions, social media, yield",4,2023,Open Science Training
22,"large scale, salience, parties, right wing, cross cultural",3,2023,National Identity Formation
23,"european, levels, heterogeneity, communities, comparisons",4,2023,European Welfare Attitudes
24,"political science, open science, 2021, german federal election, engines",2,2023,Search Engine Performance Metrics
25,"children, risk, immigration, 19 pandemic, europe",6,2023,Children at Risk
27,"complexity, machine learning, relationships, framework, network",2,2023,Family Network Similarity
28,"cognitive, pretesting, version, interviews, algorithms",3,2023,Survey Question Pretesting
-1,"political, networks, search, natural language, long term",34,2024,
0,"german, engagement, differences, age, migration",65,2024,German Migration Patterns
1,"large language models, domain, machine learning, llms, parliamentary",27,2024,Machine Learning Errors
2,"facebook, web browsing, tracking, reliability, privacy",20,2024,Facebook Reliability Concerns
3,"political, regional, germany, multilevel, preferences",14,2024,German Political Perception
4,"privacy, journalism, hybrid, russian, election campaigns",13,2024,Polarization and Misinformation
5,"media, trust, learning, western, right wing",12,2024,Media Trust Research
6,"probability based, nonresponse, waves, gesis panel, different levels",8,2024,Panel Nonresponse Prediction
7,"mixed mode, face, web, sampling, wave",14,2024,Mixed Mode Survey Design
8,"recruitment, affects, probability based, german internet panel, mixed mode",7,2024,Online Panel Recruitment
9,"energy, pipeline, recognition, news articles, architecture",13,2024,Government Metadata Channels
10,"covid 19 pandemic, trust, social science, key, assessment",14,2024,COVID-19 Trust Research
11,"governance, comparability, projects, health, trust",5,2024,Survey Data Harmonization
12,"social science, digital, linking, position, exposure",4,2024,Digital Data Quality
13,"contextual, women, impact, diversity, europe",8,2024,Gender Inequality in Academia
14,"arguments, mining, fine tuning, language model, llms",15,2024,Argument Quality Assessment
