count,count
Social Sciences,431
Computer Science,239
UNKNOWN,218
Psychology,96
Mathematics,81
Medicine,41
Arts and Humanities,39
Decision Sciences,31
"Business, Management and Accounting",24
Multidisciplinary,20
Neuroscience,15
Environmental Science,13
Engineering,12
"Biochemistry, Genetics and Molecular Biology",7
"Economics, Econometrics and Finance",7
Agricultural and Biological Sciences,3
Nursing,2
Energy,2
Health Professions,2
Earth and Planetary Sciences,1
Immunology and Microbiology,1
Physics and Astronomy,1
