Topic,Label,Count
0,German Election Candidate Attitudes,42
1,European Party Dimensionality,40
2,Covid Trust Cohort Dynamics,36
3,Social Media Publication Uncertainty,35
4,Knowledge Graph Extraction Performance,34
5,Populist Right Wing Voting Behavior,33
6,Open Science Package Training,32
7,Graph Family Consistency,29
8,AI-Driven Uncertainty Analysis,28
9,Facebook Social Inclusion Metrics,28
10,Knowledge Graph Argumentation Pipeline,28
11,Parental Socioeconomic Disparities,28
12,Personality Vocational Matching Outcomes,28
14,Probability Sampling Methods,23
13,Cognitive Label Loss Coding,23
