Year,Topic,Label,Frequency
2023,0,German Election Candidate Attitudes,18
2023,1,European Party Dimensionality,20
2023,2,Covid Trust Cohort Dynamics,6
2023,3,Social Media Publication Uncertainty,11
2023,4,Knowledge Graph Extraction Performance,13
2023,5,Populist Right Wing Voting Behavior,11
2023,6,Open Science Package Training,10
2023,7,Graph Family Consistency,12
2023,8,AI-Driven Uncertainty Analysis,13
2023,9,Facebook Social Inclusion Metrics,12
2023,10,Knowledge Graph Argumentation Pipeline,12
2023,11,Parental Socioeconomic Disparities,8
2023,12,Personality Vocational Matching Outcomes,6
2023,13,Cognitive Label Loss Coding,7
2023,14,Probability Sampling Methods,17
2024,0,German Election Candidate Attitudes,10
2024,1,European Party Dimensionality,9
2024,2,Covid Trust Cohort Dynamics,20
2024,3,Social Media Publication Uncertainty,8
2024,4,Knowledge Graph Extraction Performance,16
2024,5,Populist Right Wing Voting Behavior,11
2024,6,Open Science Package Training,9
2024,7,Graph Family Consistency,4
2024,8,AI-Driven Uncertainty Analysis,9
2024,9,Facebook Social Inclusion Metrics,7
2024,10,Knowledge Graph Argumentation Pipeline,13
2024,11,Parental Socioeconomic Disparities,9
2024,12,Personality Vocational Matching Outcomes,14
2024,13,Cognitive Label Loss Coding,8
2024,14,Probability Sampling Methods,6
2025,0,German Election Candidate Attitudes,14
2025,1,European Party Dimensionality,11
2025,2,Covid Trust Cohort Dynamics,10
2025,3,Social Media Publication Uncertainty,16
2025,4,Knowledge Graph Extraction Performance,3
2025,5,Populist Right Wing Voting Behavior,11
2025,6,Open Science Package Training,13
2025,7,Graph Family Consistency,13
2025,8,AI-Driven Uncertainty Analysis,6
2025,9,Facebook Social Inclusion Metrics,9
2025,10,Knowledge Graph Argumentation Pipeline,3
2025,11,Parental Socioeconomic Disparities,11
2025,12,Personality Vocational Matching Outcomes,8
2025,13,Cognitive Label Loss Coding,8
