Year,Topic,Label,Frequency
2023,0,German Migration Personality Differences,50
2023,1,LLM Error Detection,16
2023,2,Facebook Life Tracking,12
2023,3,German Multilevel Trust Perception,10
2023,4,Social Media Election Polarization,7
2023,5,Media Trust in Learning Groups,21
2023,6,Mixed Mode Panel Nonresponse,15
2023,7,Web Face Sampling Costs,12
2023,8,Online Panel Recruitment Methods,23
2023,9,Government Metadata Channels,7
2023,10,Covid Trust in Hybrid Actors,3
2023,11,Governance Personality Trait Levels,13
2023,14,Argument Quality Mining Techniques,2
2023,15,Interview Protocol Development,7
2024,0,German Migration Personality Differences,65
2024,1,LLM Error Detection,27
2024,2,Facebook Life Tracking,20
2024,3,German Multilevel Trust Perception,14
2024,4,Social Media Election Polarization,13
2024,5,Media Trust in Learning Groups,12
2024,6,Mixed Mode Panel Nonresponse,8
2024,7,Web Face Sampling Costs,14
2024,8,Online Panel Recruitment Methods,7
2024,9,Government Metadata Channels,13
2024,10,Covid Trust in Hybrid Actors,14
2024,11,Governance Personality Trait Levels,5
2024,13,European Gender Inclusion Metrics,8
2024,14,Argument Quality Mining Techniques,15
2024,15,Interview Protocol Development,8
2025,0,German Migration Personality Differences,64
2025,1,LLM Error Detection,7
2025,2,Facebook Life Tracking,11
2025,3,German Multilevel Trust Perception,16
2025,4,Social Media Election Polarization,17
2025,5,Media Trust in Learning Groups,2
2025,6,Mixed Mode Panel Nonresponse,9
2025,7,Web Face Sampling Costs,5
2025,8,Online Panel Recruitment Methods,1
2025,9,Government Metadata Channels,11
2025,10,Covid Trust in Hybrid Actors,7
2025,11,Governance Personality Trait Levels,5
2025,13,European Gender Inclusion Metrics,13
2025,14,Argument Quality Mining Techniques,4
2025,15,Interview Protocol Development,6
